('【云计算概念股被公募基金重仓持有】合计持股数量为6.81亿股，合计持股市值约119.38亿元。其中，亚联发展（002316）、深信服、华东电脑（600850）、工业富联、二三四五、恒华科技（300365）、捷成股份、浪潮信息（000977）、万达信息、中国长城（000066）、中科曙光（603019）、泛微网络（603039）、 ...展开全文c', '2018-07-18 20:33:03')
('发布了头条文章：《A股走势大揭秘：保利地产 思维列控 泛微网络 新安股份》 $保利地产 sh600048$ $思维列控 sh603508$ $泛微网络 sh603039$ $新安股份 sh600596$ |A股走势大...', '2018-02-02 22:41:01')
('小而美，已经在某一个细分领域有一定的竞争力的公司，经营比较稳健，盈利能力强，有一定护城河的，比如泛微网络，大博医疗，拓斯达，中颖电子，联合光电，富瀚微。', '2018-02-01 17:47:00')
('#短线牛股汇集# #股评师问答# #泛微网络 sh603039[股票]# 震荡整理，关注上方70元关口压力，不能突破无力上行， 下行可以66元附近止损，暂持', '2018-02-01 00:37:28')
('360科技通过江南嘉捷实现重组上市，带动实现我国网络安全技术体系自主可控，夯实我国网络强国的坚实技术基础，成为沪市“新蓝筹”行动的标志性事件。泛微网络现金收购上海市数字证书认证中心，完善协同管理软件中身份认证、电子签名和电子印章的集成应用。国电南瑞收购继保电气，获得智能电网保护与运 ...展开全文c', '2018-01-28 09:52:33')
('上海泛微网络科技股份有限公司宁波分公司招：OA协同办公软件 项目经理薪资待遇：10K-15K/月职位类别：项目经理/主管工作地点：宁波市鄞州区惠风西路城南商务大厦A座2203#宁波招聘# 投递简历点击:网页链接', '2018-01-26 08:02:03')
('发布了头条文章：《最新主力布局： 科达洁能 大豪科技 泛微网络 万和电气》 #财经头条文章# #宝鼎科技 sz002552[股票]# #吉艾科技 sz300309[股票]# #吉祥航空 sh603885[股票]# |最新主力布...', '2018-01-25 22:31:05')
('实时播报：【上海CA公司完成战略重组，引入战略及财务投资人】上海市信息投资股份有限公司所属上海市数字证书认证中心有限公司（上海CA中心）已于近期完成重大战略重组项目。上海CA中心通过股权增资方式，成功引入战略投资人——上海泛微网络科技股份有限公司、上海点甲创业投资有限公司联合体，以及财 ...展开全文c', '2018-01-24 02:20:04')
('泛微网络（603039），首发上市限售股解禁后明日通过大宗交易正式开卖（175万股），2月12日将在二级市场直接开卖（69.27万+75万股）。短期承压。但同时也向市场注入了新的流动性，未来取决于成长。', '2018-01-23 17:49:16')
('网页链接 京东方A：重庆渝资完成减持计划 累计减持3.47亿股顺丰控股：部分重组限售股将上市流通 三股东拟合计减持不超1.8亿股中装建设：两股东拟合计减持不超6.54%股份泛微网络：两股东拟合计减持不超4.61%股份江龙船艇：两股东拟... 网页链接', '2018-01-22 00:26:22')
('周末披露减持计划个股：美联新材，振动制药，箱油泵，科达股份，岳阳兴长，华统股份，晨曦航空，阳光城，中洲控股，当代东方，泛微网络，再升科技，江龙船艇，中装建设，泰嘉股份，顺丰控股', '2018-01-21 21:02:02')
('【早评参考】#今日看盘#1、减持个股注意下，中装建设，两股东拟合计减持不超6.54%股份；晨曦航空，高文舍拟减持不超6%股份；泛微网络，两股东拟合计减持不超4.61%股份。江龙船艇、顺丰控股、振东制药，控股股东计划减持在4%左右；中洲控股、再升科技、华统股份，控股股东计划减持不超过2%股份；泰嘉 ...展开全文c', '2018-01-21 20:49:04')
('股份增减持：京东方A：重庆渝资完成减持计划 累计减持3.47亿股顺丰控股：部分重组限售股将上市流通 三股东拟合计减持不超1.8亿股钱江摩托：股东汇洋企业减持至持股5%以下再升科技：控股股东拟减持不超2%股份泛微网络：两股东抛减持计划中装建设：两股东拟合计减持不超6.54%股份', '2018-01-21 20:38:10')
('（603039）泛微网络公司持股3.61%的股东锐合创投计划6个月内，减持公司股份不超250万股，即不超过公司总股本的3.61%.另外，公司持股5.91%的股东华软创投计划90天内，减持公司股份不超69.27万股，即不超过公司总股本的1%', '2018-01-21 20:14:41')
('（603039）泛微网络公司股东华软创投拟自15个交易日后的90天内，减持不超69.27万股，即不超公司总股本1%.此外，股东锐合创投拟在未来六个月内减持不超250万股，即不超公司总股本3.61%.', '2018-01-21 20:14:24')
('【利空公告】○ ST景谷：终止筹划重大资产重组○ 凯撒文化：终止重大战略协议的签署 股票复牌○ 西部创业：控股股东终止筹划公司控制权变更 股票复牌 ...展开全文c', '2018-01-21 20:11:02')
('影响股价的个股利空公告乐视网提示股票风险：预计公司2017年全年累计归属上市公司股东净利润为亏损。贵州燃气区间涨幅高达910% 提示风险明日复牌。泛微网络：两股东抛减持计划，共不超过公司总股本的4.61%。...展开全文c', '2018-01-21 20:10:03')
('多家上市公司披露减持消息，京东方A的股东重庆渝资减持346,999,959股，持股占总股本比例由8.62%降至7.62%；泰嘉股份持股5.2931%的股东上海柏智拟减持不超过 0.9880 %；顺丰控股三股东计划减持累计不超过约1.8亿股；江龙船艇两股东拟合计减持不超4.35%股份；再升科技控股股东拟减持不超2%股份；泛微网络 ...展开全文c', '2018-01-21 09:14:17')
('【泛微网络：股东华软创投拟减持不超过692,699股】 云财经讯，据泛微网络1月21日晚间公告，自本公告披露日起15个交易日后的90天内，华软创投拟通过集中竞价交易方式减持股份数量不超过692,699股，即不超过公司股份总数的1%，且在任意连续90日内，以集中竞价交易方式减持股份的总数不超过公司股份总数的 ...展开全文c', '2018-01-21 05:02:04')
('#沪市解禁股及其类别#投资理财#沪市15家公司中，上汽集团600104、紫江企业601899、万华化学600309、中油工程600339共4家公司的解禁股份是定向增发限售股份。贵阳银行601997、华立股份603038、泛微网络603039、荣晟环保、杰克股份、天马科技、至纯科技共7家公司的解禁股份是首发原股东限售股份。山鹰 ...展开全文c', '2018-01-15 20:22:33')
('发布了头条文章：《2018年A股最新狙击 : 大晟文化 泛微网络 广东骏亚 维科精华》 $大晟文化 sh600892$ $泛微网络 sh603039$ $广东骏亚 sh603386$ $维科精华 sh600152$ |2018年A股...', '2018-01-14 22:00:46')
('【停/复牌、解禁股数据】复牌个股：中洲控股、冀东水泥、襄阳轴承、滨海能源、泰禾集团、伊戈尔、永清环保、游久游戏、南京医药、西部黄金停牌个股：泛海控股、*ST天化、东方通、汉商集团、维力医疗解禁个股：华测检测、联络互动、省广股份、银河电子、四方精创、三全食品、北纬科技、泛微网络、江 ...展开全文c', '2018-01-14 20:21:41')
('限售股解禁：603690至纯科技、603039泛微网络、300593新雷能、300589 江龙船艇、300012华测检测、002280 联络互动、 002216三全食品、002148北纬科技。', '2018-01-14 20:19:03')
('发布了头条文章：《明日有可能赚钱的股票： 荣盛发展 云图控股 天保基建 康达尔 》 $荣盛发展 sz002146$ $云图控股 sz002539$ $天保基建 sz000965$ $康达尔 sz000048$ #每日热点# 蒙娜丽莎润禾材料金健米业泛微网络神州易桥周大生宁夏建材神州信息实丰文化海特生物广济药业会稽山润和软件 ...展开全文c', '2018-01-08 10:11:28')
('发布了头条文章：《A股最新狙击：傲农生物 泛微网络 大理药业 华泰证券 》 #新浪股吧# #微博股票# $傲农生物 sh603363$ $泛微网络 sh603039$ $大理药业 sh603963$ $华泰证券 sh601688$ |A股最新狙...', '2018-01-08 04:46:48')
('发布了头条文章：《本周热门股票展望：陕西煤业+傲农生物+泛微网络+大理药业》 #新浪股吧# #微博股票# $陕西煤业 sh601225$ $傲农生物 sh603363$ $泛微网络 sh603039$ $大理药业 sh603963$ |本周热门股...', '2018-01-08 02:06:40')
('早盘（华森制药）、（泛微网络）再次上攻刷新收益至10%以上', '2018-01-07 21:13:24')
('在过去10分钟内，沪深两市涨速排名前10的个股是华统股份，山煤国际，建科院，新晨科技，泛微网络，绿地控股，药石科技，西部黄金，金杯汽车，麦格米特；跌速排名前10的个股是东方航空，华锋股份，国科微，广和通，新光圆成，新易盛，瑞丰光电，科创信息，科大国创，聚灿光电。', '2018-01-07 21:00:10')
('吉峰农机 宏辉果蔬 银宝山新 大丰实业 西藏城投 美丽生态 泛微网络 洪涛股份', '2018-01-05 10:12:17')
('超短线收盘前顺序关注：中航黑豹，光明乳业，海天味业，志邦股份，泛微网络，塞利斯', '2018-01-04 01:47:35')
('发布了头条文章：《你真的会看盘吗？关于盘口语言的干货分享》 $泛微网络 sh603039$ $佳都科技 sh600728$ $东软集团 sh600718$ $海量数据 sh603138$ $网达软件 sh603189$ |你真的会看...', '2017-12-25 03:55:03')
('泛微网络（603039），OA办公入口，17年30%的增长，新签订单、预收账款都在同步增长，增长质量高；入股上海CA，战略投资切入数字认证领域，18年或可确认投资收益2000万；18年预估增长40%，估值约40倍。股权减励18年将分摊1275万元是个拖累。底仓3000股。基本面不变不减即为胜利。', '2017-12-22 02:06:48')
('目前在过去10分钟内，沪深两市涨速排名前10的个股是三江购物，中国巨石，四方精创，天际股份，新 华 都，深华发Ａ，深圳燃气，深物业A，生益科技，长海股份；跌速排名前10的个股是中央商场，奇精机械，怡达股份，昭衍新药，沧州大化，泛微网络，皖通高速，立昂技术，赛摩电气，韶钢松山。', '2017-12-20 00:14:30')
('【个股公告】泛微网络（603039）1.84亿元增资上海CA 12月20日复牌苏州科达（603660）推771万股股票激励计划 12月20日复牌玲珑轮胎（601966）：拟40亿元在湖北荆门建设轮胎生产项目融钰集团（002622）第一大股东拟变更 董事长控制企业将接盘延华智能（002178）实际控制人拟发生变更股票 12月20日起 ...展开全文c', '2017-12-19 20:14:43')
('发布了头条文章：《A股史上绝无仅有的连续12个跌停板，一场最大的“阴谋”》 $泛微网络 sh603039$ |A股史上绝...', '2017-11-27 19:55:22')
