('目前来说，会员布局抄底成功002366台海核电涨7.37%。000413东旭光电+300534陇神戎发+002154报喜鸟 都在盈利，其他都在保本。配资刚好适合操作短线，加油，股市没毛病，抄底。', '2018-07-16 03:02:44')
('#股市下午茶# 【#闪崩股频现#】近日受市场情绪影响，个股出现闪崩的现象频频发生，其中午后首航节能和台海核电双双封上跌停。而近期出现闪崩的个股中，基本都会有一个共同的特点，就是其持股股东均出现信托字样，而无独有偶，首航节能和台海核电双双存在信托公司持股现象。#红周刊，职业投资人之选#', '2018-05-28 01:24:35')
('拿着首航节能，台海核电的可以直接私信找我，一一解答。$首航节能 sz002665$ $台海核电 sz002366$', '2018-05-28 01:21:27')
('市场闪崩股有出现了--首航节能、台海核电。首航节能是一个庄股，这个就是早上说的那种情形，私募信托机构扎堆，一旦下就是失控状态。台海核电则是利空所致，违规信披、审计被罚，以及相关媒体进一步核查。', '2018-05-28 01:17:42')
('午后两市延续反弹，但两市分时成交显示反弹动能不足，$首航节能 sz002665$ 、$台海核电 sz002366$ 等出现闪崩个股，量能依然制约着反弹空间，在量能萎缩的情况下，反弹向上空间只能寄希望于最后一个小时的交易时间多头发力', '2018-05-28 01:11:59')
('#微博股票# #新浪财经# #大盘直击# 午后多只庄股跌停 台海核电 首航节能跌停$上证指数 sh000001$', '2018-05-28 01:10:31')
('惊讶发现，市场竟然还有这种股，这股是什么情况？跌成这狗样$台海核电 sz002366$', '2018-05-28 01:10:08')
('\ue627 基金 台海核电涉嫌伪造12.56亿元关联交易虚增业绩。好像又是一个雷，最近雷挺多的。基金持仓最多的也就富国基金了，约持股17亿台海核电。', '2018-05-28 00:28:28')
('台海核电涉嫌伪造12.56亿元关联交易虚增业绩', '2018-05-28 00:04:23')
('#上市公司那点事儿# 【台海核电涉嫌伪造12.56亿元关联交易虚增业绩】台海核电2014年借壳丹甫股份时，台海核电大股东烟台市台海集团有限公司曾做出2015~2017年三年内实现净利润13.89亿元的业绩承诺。新浪财经发现就在台海核电业绩承诺的最后一年，公司和台海集团之间一笔12.56亿元的关联交易存在诸 ...展开全文c', '2018-05-28 00:08:05')
('今日利好曝光 台海核电 睿康股份 双一科技@微博股票#新浪财经# #格力电器 sz000651[股票]# #头条# #万兴科技 sz300624[股票]# 小伊看盘的...', '2018-05-26 22:53:29')
('发布了头条文章：《同德化工 台海核电 伟星新材 章源钨业：多次试盘，拉升在即？！》 $同德化工 sz002360$ $台海核电 sz002366$ $伟星新材 sz002372$ $章源钨业 sz002378$ $上证指数 sh000001$ |同德化工 ...', '2018-05-24 11:31:05')
('发布了头条文章：《002366 台海核电：上升通道正在打开，暴涨一触即发！》 #股票分析# #财经头条文章# $台海核电 sz002366$ |002366 台...', '2018-05-23 06:14:23')
('发布了头条文章：《明日主力最新动作：沧州大化+格林美+台海核电》 $沧州大化 sh600230$格林美 sz002340$台海核电 sz002366$ #盘前必读#股票#A股# |明日主力最...', '2018-05-22 09:34:54')
('发布了头条文章：《重磅消息：台海核电+陕西煤业+双成药业，本周详细操作策略》 $台海核电 sz002366$ +$陕西煤业 sh601225$ +$双成药业 sz002693$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-05-22 03:31:54')
('发布了头条文章：《002366台海核电：重磅利好强袭，短期股价将暴涨》#财经头条文章# #股票分析# $台海核电 sz002366$ |002366台海...', '2018-05-21 05:49:52')
('发布了头条文章：《002366 台海核电：底部潜伏现金叉，主力狂飙主节奏！》 #股票分析# #财经头条文章# $台海核电 sz002366$ |002366 台...', '2018-05-21 05:40:39')
('发布了头条文章：《台海核电002366：即将猛烈上涨，能看出来的都是大师！》 #财经# $台海核电 sz002366$ #股市~a股~大盘~股票# |台海核电00...', '2018-05-21 03:21:35')
('$台海核电(002366)$下跌趋势中的横向整理，尽量规避。仅供参考', '2018-05-20 20:54:03')
('发布了头条文章：《重磅消息：台海核电+西藏药业+景嘉微，下周详细操作策略》 $台海核电 sz002366$ +$西藏药业 sh600211$ +$景嘉微 sz300474$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-05-19 22:46:57')
('发布了头条文章：《天神娱乐 同德化工 台海核电 伟星新材：是欲迎还拒？还是就此止步？》 $天神娱乐 sz002354$ $同德化工 sz002360$ $台海核电 sz002366$ $伟星新材 sz002372$ $上证指数 sh000001$ |天神娱乐 ...', '2018-05-14 10:54:29')
('发布了头条文章：《月中走势精彩大揭秘：华菱钢铁 九芝堂 横店东磁 台海核电》 $华菱钢铁 sz000932$ $九芝堂 sz000989$ $横店东磁 sz002056$ $台海核电 sz002366$ #上证快讯# |月中走势精...', '2018-05-13 05:36:58')
('#台海核电 sz002366[股票]# 中国能源结构极不合理，70%以上是火电，而法国70%以上是核电，因此中国核电发展空间巨大，零部件类个股，台海核电适度关注。#今日看盘# #投资达人说# #股票#', '2018-05-12 22:36:37')
('台海核电：控股股东增持386万股公司于近日接到控股股东台海集团的通知，后者于5月7日通过陕国投-正灏74号证券投资集合资金信托计划在深交所增持公司股份386万股，约占公司总股本的0.4453%。', '2018-05-12 18:55:33')
('发布了头条文章：《下周超级强势黑马：台海核电 长生生物 赛为智能 安科生物》 $台海核电 sz002366$ $长生生物 sz002680$ $赛为智能 sz300044$ $安科生物 sz300009$ $上证指数 sh000001$ $深证成指 sz399001$ #短线牛股# #投资达人说# #股票分析# #财经头条文章# |下周超级强...', '2018-05-11 22:47:13')
('发布了头条文章：《最具潜力掘金妖股：高新兴 方大炭素 台海核电 新城控股》$高新兴 sz300098$ $方大炭素 sh600516$ $台海核电 sz002366$ $新城控股 sh601155$ $上证指数 sh000001$ $深证成指 sz399001$ #短线牛股# #投资达人说# #财经头条文章# #股票分析# |最具潜力掘...', '2018-05-11 11:10:29')
('5月11日1:海兴电力两万股没动，除了忍住一肚子气没别的办法。2:早上露天煤业下探5日线，煤炭板块前期调整相对充分，考虑到大盘总得需要板块护驾，煤炭非常合适，于是买了5000股露天煤矿，理由是负债，资产状况及营收不错，盘子相对小，换手也还马虎。3：中午收盘报消息台海核电股东增持，去年在20 ...展开全文c', '2018-05-11 03:45:33')
('【午间公告】天神娱乐：停牌核实海南投资信息；三泰控股：董事兼副总经理增持20万股；维业股份：签订工程施工合同。台海核电：控股股东增持386万股华谊兄弟：与冯小刚合作影片《手机2》开拍', '2018-05-11 01:10:23')
('午间公告1、天神娱乐：10日有媒体报道称“百亿元级项目集体开工，天神娱乐等助力海南自由贸易区（港）建设”，今起停牌核实2、三泰控股：公司董事兼副总经理朱江增持20万股，增持后合计持股0.16%3、台海核电：控股股东台海集团增持386万股，占总股本0.4453%', '2018-05-11 01:04:24')
('【午间公告】1，天神娱乐：停牌核实媒体报道，日前有消息称“百亿元级项目集体开工。2，三泰控股：董事兼副总经理朱江于5月11日增持公司股份，数量为20万股；3，维业股份：签订施工合同，约定公司承接福建省泉州市泉港区天马城室内精装修设计与施工；4，台海核电：获控股股东增持0.445%股权....展开全文c', '2018-05-11 01:02:46')
('下午分析几只票，手中持有以下几只票的同学们，有什么不懂的可以过来找我，在线解答~$奥联电子 sz300585$ $台海核电 sz002366$ $古井贡酒 sz000596$#微博股票#', '2018-05-10 23:47:59')
('发表了博文《【军工-冯福章】台海核电深度：大堆推进，小堆兴起，军工起航》重新定位：“材料研制+金属成型”领先企业，不止于核电设备制造商。不同于市场普遍认为的台海核电仅是一家核电设备商，我们认为，其拥有|【军工-冯...', '2018-05-10 21:15:54')
('核动力舰艇建造势在必行，$台海核电(002366)$ 台海核电或切入配套体系。当前我国核潜艇数量仅有9艘且均是二代核潜艇而美拥有71艘，数量相对美国差距甚大，我国核潜艇发展空间巨大。台海核电与渤船重工合作研发AP1000主管道，或已切入我国核潜艇建造配套... 网页链接', '2018-05-10 02:27:48')
('发布了头条文章：《002366 台海核电：重磅利好强袭，下半周将火箭式涨停！》 #股票分析# #财经头条文章# $台海核电 sz002366$ |002366 台...', '2018-05-09 12:01:47')
('发布了头条文章：《重磅消息：胜宏科技+东土科技+台海核电，本周详细操作策略》 $胜宏科技 sz300476$ +$东土科技 sz300353$ +$台海核电 sz002366$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-05-09 07:04:11')
('【个股资金流向解析】截至目前，中小板资金资金流出最多的十家公司分别为：科大讯飞、麦达数字、赣锋锂业、紫光国微、东方嘉盛、华森制药、辉煌科技、三泰控股、智光电气、台海核电。沪市主板资金流出最多的十家公司分别为：贵州茅台、贵州燃气、华友钴业、中国联通、用友网络、恒生电子、工商银行 ...展开全文c', '2018-05-09 02:07:58')
('兄弟科技002562（股价11.15）：维生素，高年复合增长率，超跌；台海核电002366（股价25.60）：营收增长，毛利率亮眼，超跌；朗科智能300543（股价30.50）：智能终端，上升走势平稳。 |无锡·硕放...', '2018-05-08 21:47:44')
('台海核电：海上核电起航，潜力巨大。该股在市场唯此一只，缺少可比标的，有核电装备“独角兽”特征。昨日两机构净买入，有一机构卖出，疑似资管信托去杠杆，主要是停牌被锁资金出局，昨日底部放量，依据其基本面估值和成长前景有望形成筑底。', '2018-05-07 20:07:55')
('发布了头条文章：《台海核电002366：小心前方危险，后期走势大揭秘！》#股票分析# #财经头条文章# $台海核电 sz002366$ 台海核电002366：小心前方危险，后期走势大揭秘！ |台海核电00...', '2018-05-07 07:49:13')
('发布了头条文章：《台海核电002366：主力意图之深,后期走势大揭秘 !》 #财经# $台海核电 sz002366$ #股市~a股~大盘~股票# |台海核电00...', '2018-05-07 04:14:34')
('发布了头条文章：《A股走势精彩揭秘：台海核电 蓝黛传动 宝鹰股份 睿康股份》 |A股走势精...', '2018-05-07 03:07:35')
('解波票$台海核电 sz002366$ $雅克科技 sz002409$ $超讯通信 sh603322$ $中国国航 sh601111$不懂的来找我吧。#微博股票#', '2018-05-06 23:34:35')
('【个股观察】台海核电（002366）今日复牌，国之清洁能源重器，重要性不亚芯片，半年报预增，大单在手，表现值得关注。', '2018-05-06 22:39:07')
('周一上午来给大家解析一波票，持有大湖股份、今飞凯达、台海核电、奋达科技的老铁有问题的可以评论留言，我来帮你们看看。$大湖股份 sh600257$ $今飞凯达 sz002863$$台海核电 sz002366$ $奋达科技 sz002681$', '2018-05-06 21:45:14')
('【停牌个股】安阳钢铁、城市传媒、中国中铁、*ST海投、*ST宜化【复牌个股】大湖股份、*ST三泰、广博股份、台海核电、银鸽投资、南风股份、宝鹰股份、新华锦、济民制药', '2018-05-06 21:36:58')
('限售股解禁：金龙汽车、新五丰、中闽能源、明泰铝业、恒润股份、鲁阳节能、步步高、软控股份、顺网科技、新时达、天泽信息、尚荣医疗、华宇软件、光环新网、诚益通、浩云科技、索菱股份、金冠电气。复牌公司：新华锦、*ST三泰、天津松江、济民制药、天成控股、银鸽投资、台海核电、大湖股份、南风 ...展开全文c', '2018-05-06 21:23:26')
('今日停牌提示：*ST海投、湖北宜化、城市传媒、安阳钢铁、中国中铁今日复牌提示：光韵达、济民制药、新华锦、大湖股份、银鸽投资、台海核电、宝鹰股份、广博股份、*ST三泰、南风股份、*ST松江、*ST天成', '2018-05-06 21:19:05')
('5.7【重大事项】恒华科技：拟推股权激励计划雪迪龙：预中标8580万元项目远兴能源：拟斥资不超10亿元回购股份 ...展开全文c', '2018-05-06 20:41:28')
('【台海核电：收购事宜尚未完成 明起复牌】台海核电(002366)5月6日晚公告，公司拟收购法国玛努尔工业集团(含在购企业)100%股权，构成关联交易。由于本次重大资产重组工作涉及的工作量较大，且尚需取得法国玛努尔工业集团所在国政府批复。', '2018-05-06 09:28:04')
('台海核电：收购事宜尚未完成 明起复牌台海核电公告，公司拟收购法国玛努尔工业集团(含在购企业)100%股权，构成关联交易。由于本次重大资产重组工作涉及的工作量较大,且尚需取得法国玛努尔工业集团所在国政府批复。预计无法于原计划时间前披露本次重大资产重组预案(或报告书)，公司股票将于5月7日开市 ...展开全文c', '2018-05-06 08:42:48')
('台海核电：收购法国玛努尔工业集团100%股权事宜尚未完成，明起复牌。', '2018-05-06 06:12:53')
('公募基金持仓前十大军工股票为中航光电、台海核电、中直股份、航发动力、中国重工、中航飞机、中航机电、内蒙一机、航天电子、中国动力，集中于主机厂及低估值零部件品种。', '2018-05-01 20:01:29')
('三门1号装料启动，后续核电建设周期重启在即，兼具高端制造与扩大内需属性的核电主题，弹性在途。继续积极布局核电，抓住几条主线。1、弹性最大的主设备供应商，推荐核岛设备和主管道设备，受益标的：应流股份（603308）、台海核电（002366）、东方电气（600875）；2、配套设备的核级电线电缆，推荐： ...展开全文c', '2018-04-27 01:22:07')
('【三代核电将进入批量建设阶段 9只成长股迎“升”机】可关注技术领先、供货业绩优异的设备制造企业，相关公司有东方电气、上海电气、台海核电、江苏神通、中核科技、纽威股份、盾安环境、南风股份；业绩确定性最高的工程建设企业，相关公司有中国核建；成长性较强的核燃料循环企业，相关公司有应流股份 ...展开全文c', '2018-04-26 21:15:03')
('#4月20日券商晨会研报汇编#【银河证券】电力：三门核电站中标交易电量，三代核电发展即将步入正轨。核电重启在即，利好长周期设备商及运营商。推荐核岛设备供应商台海核电、三大运营商之一的中国核电，建议关注久立特材、浙富控股、江苏神通、应流股份、海陆重工等。网页链接', '2018-04-19 21:35:41')
('【基金持仓比例10%以上者达8只】据统计发现，截至4月14日，共有238只基金正处在停牌状态，其中有166只基金重仓股。有7只个股在去年四季度末被基金持有超过了1亿股，这7只个股分别是包钢股份、海航控股、东山精密、康得新、$万华化学 sh600309$ 、台海核电和渤海金控。其中，包钢股份和 ...展开全文c', '2018-04-16 06:17:21')
('#烟台关注#【烟台编制实施7大产业发展规划 优化产业结构】今年，烟台将推动重点产业项目建设。围绕电子信息制造业、食品加工业、装备制造业等七大支柱产业，重点实施万华百万吨乙烯、南山乙烷综合利用、海上清洁能源综合供给平台、台海核电装备模块化等一批重大项目建设。加强制造业领域招商引资工作， ...展开全文c', '2018-04-15 21:53:41')
('牛股网宿科技（300017）该股属于创业板权重品种，从最近走势来看，已经完成突破，后面有继续加速的可能性，这一次又判断准确！说明独立思考、判断的重要性。还有可怜的台海核电还在继续停牌中。上班时间炒股是对对不起公司的啊！#今日贴纸打卡##三月再见##冒个泡#', '2018-03-30 14:00:19')
('顾地科技：底部5连阳，今日涨停，均量上方压力14元。macd即将金叉后市必突破短线逢低积极低吸。最近属于在底部堆量，这样的趋势后市持续走强大概率。最近状态不错，几支票的判断基本符合预期！只是我的重仓股台海核电002366已经停牌三个多月了，什么时候才能复牌呢？#今日贴纸打卡#', '2018-03-15 14:36:20')
('#川股新闻早知道# 【川股目标价出炉 最大涨幅或达八成】近段时间机构调研报告发布的节奏在加快，近一个月多的共有29家券商对近20只川股发布了最新的研究报告，其中16家券商对12只川股给出了目标价。可以看到，白酒板块仍是券商集体看到的板块，此外中铁工业、台海核电等距离券商给出的目标价有较大的上 ...展开全文c', '2018-03-14 03:37:07')
('台海核电昨晚公布了年报业绩预告净利10.43亿落在预告的上限达到所有券商的业绩预期可惜在停牌，不然今天就是一个涨停了估摸着他复牌了我就能把今年的本回了', '2018-02-28 20:52:03')
('新的一年要求不高挣五千块钱就行拜托了刘士余拜托了我的台海核电和顾地科技', '2018-02-21 10:47:20')
('理念这个东西比操作重要 好多人一辈子也入不了投机的门 关键就是理念难以突破 理念对了 不会技术也可以决胜千里 我办公室大妈这几年玩工行就是个很好的案例而所有的技术在理念这个总指挥下 都是次级别的小聪明 所以缠说不要只是做一个匠人呢台海核电这个公司的核技术是相当的厉害 所以我一直收藏着 ...展开全文c', '2018-02-19 08:31:08')
('潮宏基 富临运业 森源电气 北讯集团 $潮宏基 sz002345$ $富临运业 sz002357$ $森源电气 sz002358$ $北讯集团 sz002359$ #台海核电 sz002366[股票]# 《亚太药业东山精密建研集团齐心集团中利集团*ST三泰华英农业！和而泰雷科防务中原特钢ST尤夫誉衡药业龙星化工中南文化康得新摩恩电气天马精化》 ...展开全文c', '2018-02-13 08:00:03')
('台海核电及国内核岛主管道设备市场研究报告常规岛557659592601', '2018-02-06 21:58:28')
('电力：三代机组投产在即，核电重启一触即发。持续推荐中国核电（601985），公司是三大核电运营商中唯一在A股上市的标的，稀缺性凸显。建议关注设备供应商台海核电（002366）、应流股份（603308）、纽威股份（603699）、久立特材（002318）等。在沉寂两年后，风电迎来复苏期。持续推荐整机龙头金风科技 ...展开全文c', '2018-01-30 20:09:57')
('核电概念：华尔通看好核电运营领域的中国核电、中广核电力，核电建设龙头中国核建，核电设备细分子领域龙头台海核电、中核科技、江苏神通、浙富控股、纽威股份，核岛主设备制造商上海电气、东方电气，核级材料供应商东方锆业，铀资源垄断者中广核矿业、中核国际，有望在后处理领域取得突破的应流股份 ...展开全文c', '2018-01-26 07:53:33')
('【多重利好激活核电板块 10只龙头股价值凸显】从五领域布局龙头标的后市机会:1.看好核电运营领域龙头的中国核电;2.核电设备领域龙头台海核电、中核科技、江苏神通、浙富控股、纽威股份;3.核岛主设备制造商上海电气、东方电气;4.核级材料供应商东方锆业;5.有望在后处理领域取得突破的应流股份。 ...展开全文c', '2018-01-26 02:52:17')
('2018.01.26【盘前资讯】核电板块：以国内现有核电建设能力，未来几年我国每年将新增建设6~8台百万千瓦核电机组，高峰期将有40台机组同时在建，万亿投资市场即将开启。未来三年我国核电有望迎来加速增长期。相关上市公司：台海核电、江苏神通、日机密封、应流股份、中国核建、中核科技。染料行 ...展开全文c', '2018-01-25 20:14:47')
('20180126早盘资讯板块掘金核电板块：以国内现有核电建设能力，未来几年我国每年将新增建设6~8台百万千瓦核电机组，高峰期将有40台机组同时在建，万亿投资市场即将开启。未来三年我国核电有望迎来加速增长期。推荐关注：台海核电、江苏神通、日机密封、应流股份、中国核建、中核科技。...展开全文c', '2018-01-25 19:10:03')
('市场在变，热点在变，操作思路也要与时俱进！踏准节奏很重要！等待重仓台海核电002366春节前复牌！', '2018-01-22 03:36:38')
('其中，南极电商最新价11.21元，较阶段低点11.03元，仅仅反弹1.63%，位居滞涨榜单首位；金城医药最新价18.78元，较18.39元的阶段低点，仅上涨2.12%；长江润发最新价17.43元，较阶段低点17.02元，上涨2.41%。此外，台海核电、三峡新材、艾格拉斯等个股最新价较阶段低点反弹不足3%。', '2018-01-04 13:03:12')
('【宣亚国际停牌八个月后终止重组 “锁”住的18只基金迎交易时刻】从持股方面，基金持有比例最高的因重大事项停牌个股是宣亚国际，共有18只基金持有合计持有该股1033.39万股，持股比例达到38.27%。此外，国瓷材料、广博股份和台海核电均被基金持有超过15%。|宣亚国际停...', '2017-12-17 23:30:03')
