('盲目没有方向吗？指导后市如何操作，投资股票可以加wei信：371540346，指导买卖点和解套方法！方正证券(sh601901) 亚夏汽车(sz002607) 金信诺(sz300252) 旗滨集团(sh601636) 江苏国信(sz002608) 捷顺科技(sz002609)', '2018-07-24 14:06:02')
('资深操盘手犀利指出散户在中线中常犯的错误,告别亏损，学到即赚$中国重工 sh601989$ $建新矿业 sz000688$ $中兴通讯 sz000063$ $亚夏汽车 sz002607$ 胡亦彰的秒...', '2018-06-26 08:41:40')
('低吸短线标的：002607亚夏汽车 002917金奥博昨天提示的CDR京泉华早盘企稳，低吸的话今天也有7个点的收益，对于这种没涨停的个股明天就可以走了。昨天提示的来伊份食品大消费，18.4元附近低吸。开盘最低18.9证明非常强势，低吸也有5个点的收益。明天冲高可以卖出。亚夏汽车前期人气龙头，重组+ ...展开全文c', '2018-06-26 08:41:26')
('6月26日重点股发布大单流向超短线格林美、高风险福达合金、科锐国际、星网宇达、路畅科技、森霸传感、跃岭股份、翔港科技、亿嘉和、欣天科技、当升科技、工业富联、智动力、阿石创、宁德时代、京泉华、晓程科技、世名科技、澄天伟业、亚夏汽车、地素时尚、宏川智慧、 ...展开全文c', '2018-06-26 08:25:06')
('三大消息暗示A股牛市将启，大盘将绝地暴涨$亚夏汽车 sz002607$ 小慧看盘的...', '2018-06-26 08:21:30')
('发布了头条文章：《华尔街教父：投资中的首要敌人，很可能就是其自己！》 $亚夏汽车 sz002607$|华尔街教父...', '2018-06-26 08:16:20')
('中国股市宣布百年难遇消息，本周千股涨停已成定局$亚夏汽车 sz002607$ 小慧看盘的...', '2018-06-26 08:06:17')
('中国股市宣布一件重大消息，节前A股行情大局已定$亚夏汽车 sz002607$ 小慧看盘的...', '2018-06-26 07:58:29')
('发布了头条文章：《7月涨停潮震撼来袭！三一重工+亚夏汽车+紫金矿业+华平股份》 $三一重工 sh600031$ $亚夏汽车 sz002607$ $紫金矿业 sh601899$ $华平股份 sz300074$ \ue627 股票分析 \ue627 短线牛股 #财经趣闻# |7月涨停潮...', '2018-06-26 07:40:06')
('上海一女博士自白“内盘外盘”口诀，庄家听后跪求删帖，永久珍藏 $天华超净 sz300390$ $通海高科 sz000991$ $哈投股份 sh600864$ $亚夏汽车 sz002607$ 我的小蜗牛...', '2018-06-26 07:28:23')
('集泰股份、猛狮科技、红宇新材，都是前几日仅次于超频三的牛股。今日竟在妖股超频三，不连板的影响下，基本全部跌停了。追高容易当接盘侠，再强势的非龙头股，追高就是容易掉坑里。当下环境不适合追高妖股，只能最妖的股大跌参与。昨天涨停俱乐部参与了亚夏汽车，赚了3-5个点就止盈出局了，不冒险，不 ...展开全文c', '2018-06-26 06:54:14')
('股票一旦出现“MACD水上金叉”龙头股形态，散户坚决捂股股价飙涨$豪能股份 sh603809$ $珠江钢琴 sz002678$ $高新发展 sz000628$ $亚夏汽车 sz002607$ 马旷盈的秒...', '2018-06-26 06:38:17')
('如何看MACD指标顶底背离#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-26 05:14:08')
('真正的短线高手编写的选股公式，堪称无价之宝$分众传媒 sz002027$ $五粮液 sz000858$ $亚夏汽车 sz002607$ $中信证券 sh600030$ 马旷盈的秒...', '2018-06-26 05:12:41')
('均线经典实战口诀三：半年线下穿，千万不要沾#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-26 05:02:31')
('北京教授扬言：股市唯一不骗人”月线选股“，从未亏过，建议收藏$乐视网 sz300104$ $华工科技 sz000988$ $亚夏汽车 sz002607$ $科大智能 sz300222$ 郑傅琦看盘...', '2018-06-26 04:37:00')
('东旭光电(000413)主力纷纷跑步进场 后市真能一触即发？$紫金矿业 sh601899$ $润建通信 sz002929$ $科大讯飞 sz002230$ $亚夏汽车 sz002607$ 论A股堂的...', '2018-06-26 04:26:46')
('发布了头条文章：《亚夏汽车002607：大盘再次低开，个股该如何操作》#财经头条文章# #股市~a股~大盘~股票# #股票技术分享# #亚夏汽车 sz002607[股票]# |亚夏汽车00...', '2018-06-26 04:14:52')
('庄家最害怕的盘中擒牛股技巧，出手全是大牛股，堪称经典价值连城$乐视网 sz300104$ $亚夏汽车 sz002607$ $中兴通讯 sz000063$ $华谊兄弟 sz300027$ 郑傅琦看盘...', '2018-06-26 04:14:33')
('北京教授扬言：股市唯一不骗人”月线选股“，从未亏过，建议收藏$浙大网新 sh600797$$光明乳业 sh600597$ $工业富联 sh601138$ $亚夏汽车 sz002607$ 郑傅琦看盘...', '2018-06-26 03:59:54')
('“擒龙术”核心——抓龙头让你不错过题材或者板块龙头的任何机会$亚夏汽车 sz002607$ $海马汽车 sz000572$ $乐视网 sz300104$ $华鲁恒升 sh600426$ 郑傅琦看盘...', '2018-06-26 03:56:06')
('上海一女博士看破股市“内盘外盘”口诀，只分享一次，凌晨就删$亚夏汽车 sz002607$ $华谊兄弟 sz300027$ $深深宝Ａ sz000019$ $可立克 sz002782$ 鬼手老周看...', '2018-06-26 03:46:22')
('上海一女博士看破股市“内盘外盘”口诀，只分享一次，凌晨就删 $苏宁易购 sz002024$ $亚夏汽车 sz002607$ $猛狮科技 sz002684$ $集泰股份 sz002909$ 鬼手老周看...', '2018-06-26 03:34:13')
('股票资金流向分析：主力入资异常介入点#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-26 03:24:16')
('个人觉得很多顶级的游资都不打2板，而是去打龙头的4板五板，比如欢乐海，只做每波行情的龙头股，从中科信息到贵州燃气，万兴科技，再到最近的亚夏汽车，超频三，无一不是市场的龙头高位接力，虽然也就是赚1-3个板，但是板板都是妖，板板都是确定的套利，妖一般股散户在后期是绝对不敢上的，而游资们敢 ...展开全文c', '2018-06-26 03:19:08')
('股神谈抄底：切勿认为自己能准确抄到底-经典抄底形态—“黄金坑#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-26 03:14:01')
('KDJ和MACD指标哪个分析起来更准确？几分钟读完你将会明白！#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-26 03:13:37')
('独角兽、芯片充电桩概念强势、通达信抓起飞黑马、量能线指标公#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-26 03:09:17')
('#002607亚夏汽车#遭机构百亿抢筹，现金叉大股东增持5400万股，暴涨封妖 先锋晓晓的...', '2018-06-26 03:06:15')
('发布了头条文章：《A股本周走势精彩揭秘 ： 红宇新材 浪潮软件 亚夏汽车 华灿光电》 $红宇新材 sz300345$ $浪潮软件 sh600756$ $亚夏汽车 sz002607$ $华灿光电 sz300323$ ##上证快讯# |A股本周走...', '2018-06-26 02:52:38')
('股票书上永远学不到的，MACD指标大全，堪称中国股市必修课！ $兄弟科技 sz002562$ $陕西金叶 sz000812$ $亚夏汽车 sz002607$ $赣锋锂业 sz002460$ 马旷盈的秒...', '2018-06-26 02:48:21')
('一旦出现“一阳穿三线”形态，事不宜迟满仓干，股价将火山爆发上上海$盐田港 sz000088$ $永泰能源 sh600157$ $博迈科 sh603727$ $亚夏汽车 sz002607$ 马旷盈的秒...', '2018-06-26 02:41:52')
('$集泰股份 sz002909$ $亚夏汽车 sz002607$ $中弘股份 sz000979$ $猛狮科技 sz002684$这几只票的后市，有一人看的准。6月14号早盘选出猛狮科技超跌反弹股。短线涨幅50%以上。在6月1号选出的超频三，主力洗盘完毕后开始拉升，截止目前10个周期上涨83%。6月13号选出西宁特钢600117，连续突破站上半年线， ...展开全文c', '2018-06-26 02:32:05')
('中国股市暴跌行情遭人唾骂，明日即将亮出底牌，是谁嘲弄中国股#亚夏汽车 颂娟评股的...', '2018-06-26 02:08:52')
('简直不是一个A股：为何内资恐慌 外资却在“抄底”#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-26 02:04:10')
('精准短线出击选股+中长短线出击+超短线王者#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-26 01:59:41')
('低位+预警+方向——资金运作方向指标公式#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-26 01:57:05')
('KDJ实战选股图解，值得散户收藏！#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-26 01:49:43')
('$东方嘉盛 sz002889$ $超频三 sz300647$ $华自科技 sz300490$ $亚夏汽车 sz002607$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票目前 资金依然 围绕 中报送转，新能源 次新股 一条线 逐步的展开攻击，弱势行情，操作上资金都是抱团取暖，目前我们的操作也是如此，原理杂毛股，和主力游资一 ...展开全文c', '2018-06-26 01:43:55')
('骨灰级牛散教你，仅需一招，就可以抓获成功率极高的短线选股法$南京证券 sh601990$ $亚夏汽车 sz002607$ $中兴通讯 sz000063$ $华谊兄弟 sz300027$ 郑傅琦看盘...', '2018-06-26 01:21:36')
('$东方嘉盛 sz002889$ $超频三 sz300647$ $华自科技 sz300490$ $亚夏汽车 sz002607$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票喜报，喜报，早盘金股之一的(阿科力603722)午后盘中开始翻红三个点以上了，早盘跟上老张节奏做了低吸的朋友也有六个点左右的收益，不错吧，继续潜伏好！', '2018-06-26 01:17:47')
('股市永不骗人“换手率”4条黄金口诀，一旦学会，下个股神就是你$佳创视讯 sz300264$ $电科院 sz300215$ $佳创视讯 sz300264$ $亚夏汽车 sz002607$ 郑傅琦看盘...', '2018-06-26 00:53:59')
('【上半年风云激荡 “十大牛股”怎样炼成】2018上半年A股市场风云激荡，伴随2月初的调整以及近期的低迷，绩差股股价不断下挫，“杀小杀差”持续上演。与此同时，亚夏汽车、顺鑫农业等“十大牛股”也凸显出来，半年内股价涨幅超100%。|上半年风云...展望下半年，分析人士指出，市场信心将逐步恢复， ...展开全文c', '2018-06-25 23:30:03')
('一位顶级操盘手的均线秘籍：此线往上拐，回踩坚决买！大道至简 #亚夏汽车 sz002607[股票]# 彭曲评股的...', '2018-06-25 23:26:58')
('#002607亚夏汽车#一招“美人肩”经典选股战法，捕抓主升浪，出手就是潜力大牛股！ 先锋晓晓的...', '2018-06-25 23:25:29')
('独家分享，抄底不败，双信号更准确#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-25 23:20:02')
('涨停选股的经典形态——出水芙蓉，至今还无人知晓的选牛股精髓$工业富联 sh601138$ $振德医疗 sh603301$ $亚夏汽车 sz002607$ $招商银行 sh600036$ 郑傅琦看盘...', '2018-06-25 22:56:23')
('趋势博弈：为什么你选择的个股容易一日游#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-25 22:51:20')
('#行情分析#【上半年A股“十大牛股”是怎样炼成的?了解这些你也能骑上牛股】2018年上半年,A股走势严重分化。绩差股、问题股股价不断下挫,闪崩、腰斩频现;同时也不乏亚夏汽车、建新股份、神马股份等翻倍牛股。纵观上半年的“十大牛股”,既有游资炒作,也有价值投资。在前海方舟资本总裁成书新看来,A股上半 ...展开全文c', '2018-06-25 22:50:13')
('“擒龙术”核心——抓龙头让你不错过题材或者板块龙头的任何机会 $凯伦股份 sz300715$ $工业富联 sh601138$ $天邑股份 sz300504$ $亚夏汽车 sz002607$ 郑傅琦看盘...', '2018-06-25 22:21:55')
('中国股市高含金量绝密选股经典教程，堪称人间极品$亚夏汽车 sz002607$ $北新建材 sz000786$ $晨鑫科技 sz002447$ $南京证券 sh601990$ 郑傅琦看盘...', '2018-06-25 22:08:13')
('发布了头条文章：《中兴通讯 罗牛山 亚夏汽车 京东方A：股价徘徊，震荡欲求突破? 》 |中兴通讯 ...', '2018-06-25 20:42:53')
('6.26盘前预测A股今天将走出独立的行情集泰股份:会出现放量震荡!科创新源:继续上扬看涨!亚夏汽车:继续看空!板块:次新板块、5g板块、汽车零部件板块看涨。', '2018-06-25 19:47:06')
('厦门博士豪言“集合竞价”口诀，庄家听后跪求删帖，建议珍藏$青岛海尔 sh600690$ $冀凯股份 sz002691$ $亚夏汽车 sz002607$ $潍柴动力 sz000338$ 马旷盈的秒...', '2018-06-25 18:40:13')
('一旦股价出现“跌停式”试盘，必定是大牛股，成功率达百分百！$徐工机械 sz000425$ $冀凯股份 sz002691$ $亚夏汽车 sz002607$ $潍柴动力 sz000338$ 马旷盈的秒...', '2018-06-25 18:33:48')
('42岁杭州女股民首次透露：“线上阴线，线下阳线”炒股变得更简单$中国重工 sh601989$ $建新矿业 sz000688$ $中兴通讯 sz000063$ $亚夏汽车 sz002607$ 胡亦彰的秒...', '2018-06-25 18:25:56')
('【上半年A股“十大牛股”是怎样炼成的？ 了解这些你也能骑上牛股】2018年上半年，A股走势严重分化。绩差股、问题股股价不断下挫，闪崩、腰斩频现；同时也不乏亚夏汽车、建新股份、神马股份等翻倍牛股。纵观上半年的“十大牛股”，既有游资炒作，也有价值投资。|上半年A股“...', '2018-06-25 18:22:45')
('49岁杭州股神曝:“三不卖七不买”,字字珠玑,牢住6句实现千万本金$南京证券 sh601990$ $工业富联 sh601138$ $亚夏汽车 sz002607$ $江丰电子 sz300666$ 胡亦彰的秒...', '2018-06-25 18:20:57')
('你们今天买了啥？我说了这次不告诉你们了我自己买自己的亚夏汽车，避免惹是生非了当然，也没赚多少，也就小赚七八个点而已', '2018-06-25 12:22:49')
('6月25日重点股发布大单流向超短线高风险智动力、亚夏汽车、世名科技、淳中科技、振静股份、晓程科技、中大力德、欣锐科技、星网宇达、森霸传感、宏川智慧、邦宝益智、威星智能、阿石创、跃岭股份、翔港科技、路畅科技、金奥博、欣天科技、延华智能超跌股备选长园集团、ST天马、金力泰、奥瑞德、 ...展开全文c', '2018-06-25 12:01:12')
('关注股池新股：宁德时代、药明康德、宏川智慧、亿嘉和送转+业绩：新余国科、创业黑马、中大力德超跌：猛狮科技、冀凯股份新能源+填权：超频三、星云股份、川环股份rmb贬值：振静股份、延江股份其它：红宇新材、星网宇达、亚夏汽车、跃岭股份、乐视网', '2018-06-25 10:30:03')
('发布了头条文章：《掘金启辰：刺激！降准还跌，央行还有大招？》 #上证指数sh000001# #猛狮科技 sz002684[股票]# #路畅科技 sz002813[股票]# #亚夏汽车 sz002607[股票]# |掘金启辰：...', '2018-06-25 10:25:58')
('7.6日快来了，全球市场普跌。$亚夏汽车 sz002607$ $红宇新材 sz300345$ $五粮液 sz000858$ $宁德时代 sz300750$', '2018-06-25 09:45:31')
('深证公司热度#蚁坊指数# 正式发布！统计时间：6月18日-24日；海南板块出现了一波力度较大的弹升行情，#罗牛山 sz000651# 仍然是较为清晰的龙头品种。妖股#亚夏汽车 sz002607[股票]# 热度空降榜单第二位，中公教育拟借壳上市。详细榜单如下：1 罗牛山 972 亚夏汽车 633 建新股份 554 中兴通讯 52 ...展开全文c', '2018-06-25 08:49:03')
('为什么近期不发话 连续两次满仓被特停搞死 科创新源、亚夏汽车，都是大肉变面。所以，只能转型，新开了一家小龙虾，各位走过路过，希望了解一下。另外，每天祈祷cp3别特停，在特停搞死，我这种死多头都要感到绝望了', '2018-06-25 08:41:43')
('上海炒股冠军分享：终于把庄家吸筹说透彻了，学会轻松跟庄获利！$中国重工 sh601989$ $建新矿业 sz000688$ $中兴通讯 sz000063$ $亚夏汽车 sz002607$ 胡亦彰的秒...', '2018-06-25 07:42:57')
('股市永不坑人的黄金铁律：股票七不买三不卖，句句经典，永珍藏$中国重工 sh601989$ $建新矿业 sz000688$ $中兴通讯 sz000063$ $亚夏汽车 sz002607$ 胡亦彰的秒...', '2018-06-25 07:00:39')
('49岁杭州女股民讲透了“K线的线上阴线买，线下阳线抛”，太绝了$中国重工 sh601989$ $建新矿业 sz000688$ $中兴通讯 sz000063$ $亚夏汽车 sz002607$ 胡亦彰的秒...', '2018-06-25 06:14:33')
('K线图中最全的金叉死叉信号，轻松把握最佳买卖点再忙都得学习#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-25 05:45:29')
('超频三，红宇新材，宏川智慧，亚夏汽车明日策略大展望 |南通·城隍...', '2018-06-25 05:23:39')
('生物制药又一龙头，泰和健康尾盘大单锁仓，6月或将赶超亚夏汽车$必创科技 sz300667$ $惠博普 sz002554$ $华谊嘉信 sz300071$ $华谊嘉信 sz300071$ 郑傅琦看盘...', '2018-06-25 05:23:25')
('发布了头条文章：《一文读懂庄家操盘五步曲，掌握庄家动向快人一步，“跟庄吃肉”！》 #002607亚夏汽车# |一文读懂庄...', '2018-06-25 05:21:25')
('想在股市中长期生存？必须掌握这几个实战抄底技巧#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-25 05:21:03')
('生物制药又一龙头，泰和健康尾盘大单锁仓，6月或将赶超亚夏汽车$厦门港务 sz000905$ $闽东电力 sz000993$ $高升控股 sz000971$ $海联讯 sz300277$ 郑傅琦看盘...', '2018-06-25 05:17:01')
('锂电池+石墨烯+稀有金属下周精准走势分析（附妖股）#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-25 04:57:26')
('芯片最强龙头曝光，大股东豪斥890万股增持，18年超亚夏汽车$浦发银行 sh600000$ #齐鲁石化(sh600002)# $白云机场 sh600004$ $武钢股份 sh600005$ 郑傅琦看盘...', '2018-06-25 04:43:59')
('#002607亚夏汽车#温州帮发出最强加仓信号，拟10股送95股派20元，目标价15元！ 先锋晓晓的...', '2018-06-25 04:20:09')
('股海高手20年悟出伏击强势股秘诀，上万次实战验证牛散专用#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-25 04:01:31')
('发布了头条文章：《一旦遇到以下MACD形态走势，大胆买进！》 #新浪财经头条# #新浪看点# #股市~a股~大盘~股票# \ue627头条文章 $方大炭素 sh600516$ +$宁德时代 sz300750$ +$亚夏汽车 sz002607$ +$深深宝Ａ sz000019$ |一旦遇到以...', '2018-06-25 03:35:31')
('#002607亚夏汽车#股东数从47万降至6.9万！涨停狂潮将载入股市史册暴涨成妖！ 先锋晓晓的...', '2018-06-25 03:29:44')
('中国股市赚钱必备条件之一—止损！散户必学！建议收藏#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-25 03:23:55')
('一万次交易的反复验证，唯一成功率接近100%的指标：MACD三线金叉 $上海医药 sh601607$ $三维丝 sz300056$ $东土科技 sz300353$ $亚夏汽车 sz002607$ 论A股堂的...', '2018-06-25 02:36:06')
('亚洲股神爆：”股票七不买“是股市唯一100%盈利法，建议收藏$建新股份 sz300107$ $亚夏汽车 sz002607$ $中兴通讯 sz000063$ $华谊兄弟 sz300027$ 论A股堂的...', '2018-06-25 02:30:27')
('【中公教育借壳亚夏汽车狂割韭菜 实控人曾因合同诈骗罪被立案】近期，亚夏汽车公告称，拟进行重大资产重组以收购中公教育100%股权，暨中公教育借壳上市。此前中公教育拟创业板上市，但在2018年4月3日，中公教育IPO辅导终止。近日，有投资者反映中公教育实际控制人之一李永新曾因合同诈骗罪被邵阳市公 ...展开全文c', '2018-06-25 02:09:11')
('年度黑马来袭？南方航空+奥瑞德+亚夏汽车+波导股份,$南方航空 sh600029$ $奥瑞德 sh600666$ $亚夏汽车 sz002607$ $波导股份 sh600130$ #财经趣闻# #个股推荐与走势分析# #短线牛股# 月落玩财经...', '2018-06-25 02:08:42')
('准备好弹药！医药股回调曝光罕见入场机会 一场盛宴又将开席#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-25 02:07:10')
('#002607亚夏汽车# 史上最“傻”的大爷，输错代码买了20万股，关了9个月，卖不出去了 先锋晓晓的...', '2018-06-25 02:04:39')
('就在刚刚：六大利好引爆A股反弹，这4支股后续必将暴涨#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-25 01:53:58')
('A股在像风一样奔跑。$猛狮科技 sz002684$ $中信证券 sh600030$ $亚夏汽车 sz002607$ $杉杉股份 sh600884$', '2018-06-25 01:47:20')
('史无前例大利好！A股入摩正式生效，本周开始这些概念股爆涨在即#亚夏汽车 sz002607[股票]# 颂娟评股的...', '2018-06-25 01:27:34')
('连续走强的锂电池开始回落了，热点要轮转，看看有没有接力热点出现！大家选股前千万注意，像此前大炒的$亚夏汽车 sz002607$ 已经在走下降趋势了，此类股是一定要避开的，高位股，没有补跌的都是有巨大风险的！弱势行情下，少追高，就是明智的选择！$宏辉果蔬 sh603336$ 开始逆势拉升，农业股要被带起了 ...展开全文c', '2018-06-25 01:22:09')
('资深牛散从万卷股票书中总结的波段操作技巧，深知股市涨跌 $亚夏汽车 sz002607$ $中兴通讯 sz000063$ $华谊兄弟 sz300027$ $网达软件 sh603189$ 马旷盈的秒...', '2018-06-25 00:40:23')
('继“亚夏汽车”后，又一独角兽龙头底部吸筹，6月或将一飞冲天$光一科技 sz300356$ $梅泰诺 sz300038$ $同德化工 sz002360$ $海立股份 sh600619$ 马旷盈的秒...', '2018-06-25 00:38:27')
('锂电池第一龙头从89跌至4元，主力疯狂抢筹，洗牌后爆涨已成定局$绿色动力 sh601330$ $会畅通讯 sz300578$ $亚夏汽车 sz002607$ $宁德时代 sz300750$ 马旷盈的秒...', '2018-06-25 00:34:53')
('股市唯一不败的黄金组合：MACD+KDJ，牢记5条，轻松盈利 $引力传媒 sh603598$ $云南城投 sh600239$ $亚夏汽车 sz002607$ $五粮液 sz000858$ 马旷盈的秒...', '2018-06-25 00:32:36')
('“七不买”是A股唯一获利黄金指标，过了今夜永久删除，建议珍藏 $亚夏汽车 sz002607$ $潍柴动力 sz000338$ $创维数字 sz000810$ $创业软件 sz300451$ 马旷盈的秒...', '2018-06-24 23:18:15')
('“七不买”是A股唯一获利黄金指标，过了今夜永久删除，建议珍藏 $必康股份 sz002411$ $徐工机械 sz000425$ $冀凯股份 sz002691$ $亚夏汽车 sz002607$ 马旷盈的秒...', '2018-06-24 23:18:05')
('怎么用集合竞价选股？比集合竞价抓涨停收益更高的选股技巧！sz300578$ $亚夏汽车 sz002607$ $宁德时代 sz300750$ $京泉华 sz002885$ $安阳钢铁 sh600569$ 马旷盈的秒...', '2018-06-24 23:08:22')
('利好消息：姚记扑克 大连电瓷 亚夏汽车 刘庆谈财的...', '2018-06-24 23:06:45')
('一位香港金融教授把“换手率+筹码分布”讲得一清二楚，适合抄底 $格力电器 sz000651$ +$亚夏汽车 sz002607$ +$陕西煤业 sh601225$ +$中科曙光 sh603019$ 郑傅琦看盘...', '2018-06-24 22:37:59')
('贸易战概念股先锋龙头集泰股份（有机硅）6天4板再度打开高度，农发种业、丰乐种业、阿科力等跟风助攻。并购重组方面前期受中公教育借壳亚夏汽车复牌连续大涨16天14板后遭到监管特停后，超频三（9天8板）、红宇新材（7天6板）均上演天地板大长腿走势接力成为补涨龙头。金杯汽车、渤海汽车、会畅通讯、远 ...展开全文c', '2018-06-24 22:22:45')
('$东方嘉盛 sz002889$ $超频三 sz300647$ $华自科技 sz300490$ $亚夏汽车 sz002607$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票指数研判，大盘和创业板今天都有向上的跳空缺口，必须要回补，这是弱势市场，回补之后也没有大跌的可能，技术小级别还不错，指数冲高回落了，早上给大家的操作 ...展开全文c', '2018-06-24 22:12:29')
('生物制药又一龙头，泰和健康尾盘大单锁仓，6月或将赶超亚夏汽车$中房股份 sh600890$$中航电子 sh600372$ $海立股份 sh600619$ $广电网络 sh600831$ 论A股堂的...', '2018-06-24 22:11:32')
('A股史上最强的“洗盘”全解析，散户一旦读懂，少走30年弯路！$中国重工 sh601989$ $建新矿业 sz000688$ $中兴通讯 sz000063$ $亚夏汽车 sz002607$ 胡亦彰的秒...', '2018-06-24 21:52:55')
('发布了头条文章：《股市神奇的均线有“四种”买点，如果坚持了，你肯定多赚少赔！》 #亚夏汽车 sz002607[股票]# |股市神奇的...', '2018-06-24 21:51:14')
('都错了，这才是“成交量”准确的使用方法,如果学会,炒股犹如提款$中国重工 sh601989$ $建新矿业 sz000688$ $中兴通讯 sz000063$ $亚夏汽车 sz002607$ 胡亦彰的秒...', '2018-06-24 21:37:38')
('CDR独角兽仍是主线！亚夏汽车和可立克带有独角兽的属性双双3板！$中房股份 sh600890$ $天沃科技 sz002564$ $中航电子 sh600372$ $广电网络 sh600831$ 马旷盈的秒...', '2018-06-24 21:27:10')
('股市不会骗人的走势——三金叉见底，字字珠玑，建议散户收藏！$亚夏汽车 sz002607$ $宁德时代 sz300750$ $安阳钢铁 sh600569$ $欣锐科技 sz300745$ 马旷盈的秒...', '2018-06-24 21:24:59')
('芯片最强龙头曝光，大股东豪斥890万股增持，18年超亚夏汽车$中房股份 sh600890$ $梅泰诺 sz300038$ $中航电子 sh600372$ $海立股份 sh600619$ 马旷盈的秒...', '2018-06-24 21:20:00')
('$中兴通讯 sz000063$ $宁德时代 sz300750$ $亚夏汽车 sz002607$ 胡亦彰的秒...', '2018-06-24 20:11:10')
('中信上海接力2板以上模式，做蓝筹加速板。（战例，必创科技，贵州燃气，方大炭素，科大讯飞，罗牛山。）光大金田路4板接力妖股模式。（几乎所有妖股的4板都有金田路的影子）欢乐海岸妖股接力加锁仓（冀东装备，中科信息，贵州燃气，万兴科技，亚夏汽车）佛山季华六路，北京方 ...展开全文c', '2018-06-24 20:02:32')
('天才操盘手自爆分时图技巧，成功率非常高，散户千万要谨记！$亚夏汽车 sz002607$ $宁德时代 sz300750$ $京泉华 sz002885$ $中国重工 sh601989$ 马旷盈的秒...', '2018-06-24 10:50:20')
('沈阳一女博士豪言“CCI”顺口溜，庄家听后跪求删帖，建议珍藏$中国重工 sh601989$ $建新矿业 sz000688$ $中兴通讯 sz000063$ $亚夏汽车 sz002607$ 胡亦彰的秒...', '2018-06-24 08:04:46')
('MACD背离准确判断买卖点，一买就上涨,赚钱原来这么简单!$中国重工 sh601989$ $建新矿业 sz000688$ $中兴通讯 sz000063$ $亚夏汽车 sz002607$ 胡亦彰的秒...', '2018-06-24 06:02:24')
('6月22日，证监会官网披露了中国广核电力股份有限公司A股上市材料，公司拟发行不超过50.5亿股，募集资金150亿元，将投资于阳江5号、6号及防城港3号、4号等核电机组建设和补充流动资金。解读：全球第一核电股IPO，中广核电力现有在运机组20台、在建机组8台，装机容量分别为21,470兆瓦和10,270兆瓦，占 ...展开全文c', '2018-06-24 04:24:09')
('新华社6月23日消息，国家863计划项目“高密度分布式能源接入交直流混合微电网关键技术”23日在浙江上虞通过验收。该技术提供了高密度分布式能源接入电网的新模式，为光伏、风电等新能源安全稳定接入大电网扫除了技术障碍。解读：分布式能源是未来光伏太阳能和风电发展的重要方式，目前阶段光伏产业处 ...展开全文c', '2018-06-24 04:23:05')
('欢乐海越位了。周末反复思量了最近亚夏汽车和超频三上面的买点得失。得出的结论是欢乐海越位了。从跟随龙头变化为打造龙头。从而让我被迫错过一买的位置，甚至由于他的席位溢价，连二买都只能望瞬间巨单封板兴叹。该怎么办？更敏感，更坚决！', '2018-06-24 04:02:04')
('操盘女神悟出的追涨杀跌套路，堪比无价之宝，写给过往亏损的散户 $会畅通讯 sz300578$ $亚夏汽车 sz002607$ $康泰生物 sz300601$ $华新水泥 sh600801$ 马旷盈的秒...', '2018-06-24 02:59:04')
('发布了头条文章：《一文教你巧用周K线选股铁律，简单高效，出手就是黑马股》 #002607亚夏汽车# |一文教你巧...', '2018-06-24 02:31:52')
('#002607亚夏汽车#极少人知道的庄家对倒出货手法，图文详解，摸透你就是股市高手！ 先锋晓晓的...', '2018-06-24 02:22:21')
('#002607亚夏汽车#“最傻”散户曝光，80元高位接盘3万股，堪称18年最倒霉散户 先锋晓晓的...', '2018-06-24 02:11:00')
('17岁股坛怪才放话：股市就是印钞机 2分钟尾盘买进法从未亏过#贵州茅台 sh600519[股票]# $中国平安 sh601318$ $五粮液 sz000858$ $亚夏汽车 sz002607$ 论A股堂的...', '2018-06-24 01:37:41')
('继“亚夏汽车”后，又一独角兽龙头底部吸筹，6月或将一飞冲天$传化智联 sz002010$ $新潮能源 sh600777$ $红宇新材 sz300345$ $宁德时代 sz300750$ 郑傅琦看盘...', '2018-06-24 00:40:15')
