('股市唯一不“骗人”的指标——“CCI”，句句经典，建议散户收藏 $新经典 sh603096$ $深南电A sz000037$ $步步高 sz002251$ $京威股份 sz002662$ 马旷盈的秒...', '2018-07-24 12:13:13')
('#奇点敲股# #牛股发现# 最近好股也比较多，看运气好了，抓住也能吃几个连板，我的$威唐工业 sz300707$ 就是一个，$京威股份 sz002662$ 是另一个。。。#超短线牛股#', '2018-07-13 08:21:47')
('昨天，首板七十多个今天就活下来了，京威股份，锦富技术，意华股份所以一进二时机很重要市场方向太多，资金也不知道怎么选了', '2018-07-13 07:04:38')
('今日强势股，天华超净六连板，可惜尾盘顶不住！市场总龙头，其他强势股，宏达矿业，长盛轴承，锐科激光，锦富技术，三变科技，通产丽星，京威股份，东尼电子！下周一关注这些强势股！', '2018-07-13 07:01:54')
('午评：还是围绕天华超净做题材发散。早上拉的独角兽的麦达数字、华金资本不是很看懂。这个逻辑有高度吗？还是要回归本色的天华超净拉升的主逻辑，就是宁德时代供货商，新能源方向。早上微博给的京威股份就是一个标的。宁德时代拉起来后，星云股份明显异动，下午还是关注星云股份的打板机会。绿色 ...展开全文c', '2018-07-13 06:17:57')
('6月28日提醒的京威股份已经2个涨停板，还会更疯狂！', '2018-07-13 05:57:43')
('【7.13复盘】今日市场规避周末消息面变化，指数整体震荡走势，创业板微涨0.3%。天华超净6连板，锂电池+独角兽属性，尾盘炸板回封带动新能源车产业链走强，京威股份2板、合纵科技、星云股份涨停。中报预增风华高科、鼎汉技术涨停。次新股分化，绿色动力封板。尾盘高位股长盛轴承、宏达矿业炸板；市场领 ...展开全文c', '2018-07-13 05:06:53')
('如今天超跌，跌到历史低涨停反弹股。超跌涨停反弹：科迪乳业、宁波东力、宏达矿业、维科技术、锦富技术、通产丽星、 鼎汉技术、京威股份、宜宾纸业、福瑞股份、英特集团、顾地科技、中能电气、先锋新材等。连板涨停：通产丽星、大通燃气、三变科技、乔治白、天华超净、玉龙股份等。', '2018-07-13 03:14:19')
('以下是未来两周重要事件前瞻#黑马集中营# $京威股份 sz002662$ @微博股票', '2018-07-13 02:02:57')
('2018年7月13日9点30到11点30盘面：强势板块：复牌：大通燃气、科迪乳业、京威股份、国泰集团、至纯科技、福瑞股份、医药：陇神戎发、东宝生物、海思科、福瑞股份、西藏药业食品：科迪乳业、海欣食品、元祖股份、中宠股份独角兽：天华超净、意华股份、麦达数字、华金资本业绩：鼎汉技术、宜宾纸业 ...展开全文c', '2018-07-13 00:58:04')
('$上证指数 sh000001$ 开盘30分钟 #今日看盘#央企改革板块异动，龙头瑞泰科技冲击涨停，中成股份涨5%，洛阳玻璃、国投中鲁小幅跟涨锂电板块现分歧，总龙头天华超净6连板带动低位中能电气、京威股份首板打开高度。独角兽方面受小米突破20元关口，创投类个股明显异动。权重方面受棚改落地，房地产板 ...展开全文c', '2018-07-13 00:35:16')
('宁德时代概念股厉害，天华超净，京威股份，长盛轴承涨停，轴承买少了。天华超净成妖，带动市场人气，山河药辅这是要复制超频三吗。追高还得挑股啊，昨天追深信服，华纺股份，环能科技的日子不好过啊。', '2018-07-12 23:42:23')
('#赢在早盘# 周五早盘指数小幅震荡，市场处在反弹周期，持续把握个股机会；超跌人气近期接力连板反包：宏达矿业高开4连板缩量，大通燃气一字4连板，锦富技术高开连板，三变科技高开3连板缩量，京威股份高开连板，新启动英特集团等；次新，南京证券加速后回落变为回锅绿色动力2+1，新开板的5G锐科激光高 ...展开全文c', '2018-07-12 23:38:47')
('回复@梦想家1711:我帮你盯股票？短线不管京威股份还是北京文化，是不是都强调了一点点玩玩？重要是我们布局的中线股盈利才是关键！//@梦想家1711:回复@迈克·陈:我看不到，到了没有?', '2018-07-12 22:14:48')
('不用说也不用直播，出来玩几天。点赞吧', '2018-07-12 22:32:46')
('短线那天直播聊的京威股份自己选择打开涨停才出！', '2018-07-12 22:09:40')
('\ue627 今日看盘 主板和创业板小幅低开，深市和中小板小幅高开，早盘还是有分化，板块和股票也会有分化，新能源车板块早盘很多高开高走，京威股份涨停。$京威股份 sz002662$ @微博股票', '2018-07-12 21:34:05')
('新能源汽车概念股京威股份拉升冲涨停2连扳', '2018-07-12 21:33:33')
('相比权重股的走势，今日题材板块反弹幅度较大，其中通信、科技股、软件股、OLED概念均是表现出色，两市最终涨停个股数量也是接近80支。但如果从资金状态来看，盘口涨幅大的如京威股份、实达集团、春秋电子等股票还是属于“短活跃”类型，那么我们如何把握到这些个股？', '2018-07-12 21:17:17')
('$好利来 sz002729$ $中润资源 sz000506$ #000063中兴通讯# $聚龙股份 sz300202$ $京威股份 sz002662$ $联明股份 sh603006$ 这几只股票都是超跌首板，今天肯定有连板的，上哪只就看你的实力和运气了。', '2018-07-12 19:11:03')
('31岁上海女股民公开庄家洗盘内幕，颠覆股民三观，赢得21次掌声！ $京威股份 sz002662$ $中航光电 sz002179$ $力源信息 sz300184$ $DR新黄浦 sh600638$ 姚晓浪的秒...', '2018-07-12 17:11:33')
('发布了头条文章：《【明日策略】小盘股因中兴而盘活，大盘股因缺钱而震荡》 #普邦股份 sz002663[股票]# #京威股份 sz002662[股票]# #星湖科技 sh600866[股票]# #金力泰 sz300225[股票]# |【明日策略...', '2018-07-12 08:04:25')
('发布了头条文章：《股票走势图解，学会看了，离赚钱就不远了》 $京东方Ａ sz000725$ $普邦股份 sz002663$ $京威股份 sz002662$ |股票走势图...', '2018-07-12 05:16:12')
('发布了头条文章：《一位深藏不露的交易者告诉你：成交量的精髓，看懂从此只赚不亏！》 $普邦股份 sz002663$ $京威股份 sz002662$ $星湖科技 sh600866$ $金力泰 sz300225$ |一位深藏不...', '2018-07-12 04:54:53')
('应该只有单身50年的朋友能买到实达集团和京威股份吧', '2018-07-12 04:54:32')
('A股唯一“不坑骗散户”的换手率顺口溜，背熟5句你离股神就很近了 $经纬纺机 sz000666$ $京威股份 sz002662$ $佳沃股份 sz300268$ $锋龙股份 sz002931$ 3305079245...', '2018-07-10 10:42:57')
('股市唯一“不骗人”的6大盘口顺口溜，一旦熟记股市就是取款机! $江龙船艇 sz300589$ $西部创业 sz000557$ $三六零 sh601360$ $京威股份 sz002662$ 李小麦同学...', '2018-07-09 04:46:57')
('预知后市是出是留，盲目没有方向的来，指点后市如何操做。凯文教育(sz002659) 京威股份(sz002662) 三六五网(sz300295) 利亚德(sz300296) 克明面业(sz002661) 蓝盾股份(sz300297) 静心静唔的...', '2018-07-09 02:43:26')
('A股短线买卖“指标之王”——CCI指标：连这个都不懂你不配炒股 $中国中车 sh601766$ $航天发展 sz000547$ $司尔特 sz002538$ $京威股份 sz002662$ 我的小蜗牛...', '2018-07-08 12:00:41')
('7月9日关注调整几日的锂电池板块：精选标的300490华自科技；300484蓝海华腾；002108沧州明珠；002622京威股份；002592比亚迪； |孟州·河雍...', '2018-07-08 09:55:39')
('发布了头条文章：《机构强行增持黑马逆势诞生？002792通宇通讯+002662京威股份》 $通宇通讯 sz002792$ $京威股份 sz002662$ #股票分析# #个股推荐与走势分析# #短线牛股# |机构强行增...', '2018-07-08 09:35:51')
('发布了头条文章：《庄家巨资抬轿新妖王诞生？002792通宇通讯+002662京威股份》 $通宇通讯 sz002792$ $京威股份 sz002662$ #股票分析# #个股推荐与走势分析# #短线牛股# |庄家巨资抬...', '2018-07-08 05:01:45')
('发布了头条文章：《超劲爆惊世妖王预警爆发？002792通宇通讯+002662京威股份》 $通宇通讯 sz002792$ $京威股份 sz002662$ #股票分析# #个股推荐与走势分析# #短线牛股# |超劲爆惊世...', '2018-07-07 03:18:16')
('A股史上唯一用上瘾的MACD金叉战法，十买九涨，值得散户深度 $深深房A sz000029$ $贵广网络 sh600996$ $京威股份 sz002662$ $东百集团 sh600693$ 李域悟看盘...', '2018-07-06 22:10:06')
('克明面业 京威股份 普邦股份 信质电机！ #云南城投 sh600239[股票]# #广汇能源 sh600256[股票]# #大名城 sh600094[股票]# 许楚沛分析...', '2018-07-06 06:12:08')
('发布了头条文章：《安凯客车+京威股份：不要掉以轻心 后势惊人已成定局》#财经头条文章# #股票技术分享# #安凯客车 sz000868[股票]# #京威股份 sz002662[股票]# |安凯客车+...', '2018-07-04 04:01:44')
('北京一老教授终于把“内盘外盘”讲清楚了，学会后，股市是提款机 $京威股份 sz002662$ $强生控股 sh600662$ $时代出版 sh600551$ $浙富控股 sz002266$ 3305079245...', '2018-07-03 12:56:36')
('【京威股份：为偿债拟21.28亿元向三花集团出售三家子公司股权】京威股份2日晚公告，拟向三花控股集团有限公司转让福尔达100%股权、福宇龙100%股权和福太隆54.4%股权。公司称出售是因为北京基地搬迁再投资占用资金较大，而且债券回售涉及约15亿元资金需求，难以筹措资金偿还。本次股权出售将有利于提升 ...展开全文c', '2018-07-02 06:24:49')
('利好消息：茂硕电源 克明面业 京威股份 刘庆谈财的...', '2018-07-01 03:40:01')
('真正的短线高手每天只看盘一个小时，值得散户认真研读！ $中来股份 sz300393$ $京威股份 sz002662$ $恒源煤电 sh600971$ $透景生命 sz300642$ QueenieL的...', '2018-07-01 02:26:04')
('发布了头条文章：《京威股份002662：主力透漏杀机，是满仓还是空仓？》$京威股份 sz002662$\ue627 微博股票股票[超话]#股市~a股~大盘~股票#微博股票热议榜#热门股票点评#股票分析#学点股票技术#股票推荐# |京威股份00...', '2018-06-30 05:01:57')
('沧州明珠.....绿庭投资...汉德信息...兆日科技..中国软件...京威股份。冰寒概念值得你等待吗？有没有满足你的欲望？', '2018-06-29 21:10:31')
('$绿庭投资 sh600695$ $京威股份 sz002662$ $沧州明珠 sz002108$ $汉得信息 sz300170$来撒....一个人给我一个么么哒撒！你想有个家.家里有个他！厨房么么哒、卧室么么哒！阳台么么哒！', '2018-06-29 07:34:29')
('大盘终于涨了，手上的高升控股000971一直板到收盘，早上水下低吸的京威股份002662没封上板，赚了10个点，下午半路的兄弟科技002562 也是封了个烂板，赚5个点。希望周一都给高抛的机会，妖股欣锐科技早上犹豫了没打板，还是先回点血再激进点吧。$欣锐科技 sz300745$ $高升控股 sz000971$', '2018-06-29 03:02:21')
('发布了头条文章：《华斯股份+中持股份+京威股份：后市买卖点精准爆出》 #场外期权# #个股场外期权# |华斯股份+...', '2018-06-29 02:38:46')
('看到超频三大幅低开，心里恐慌，把晓程科技给卖了，最后指数大涨，此时要好股都涨停了，没机会买，这时要及时把前几天错杀的强势股调出来，并看看现在什么板块最强，介入同板块的错杀强势股。比如今天的沧州明珠，神州信息，京威股份等。', '2018-06-29 02:37:20')
('新能源汽车里面，安凯客车、合康新能、京威股份的走势极其相似，大家后续可以注意一下', '2018-06-29 02:14:07')
('猛狮小赚点走了，踏马的，莫名其妙早上被摁核按钮，灯心人割肉割得都快腰斩了，还不反思，搞得现在生态很恶劣。欣锐买不到了，最想买的。挑个低位的反包板京威股份打了。', '2018-06-29 02:02:56')
('【每日更新涨停揭秘】新能源车：科泰电源，安凯客车，科达利，欣锐科技，合康新能，京威股份，晶瑞股份，猛狮科技猛狮科技由于消息面刺激再度妖股涨停，所以我就看这个作为板块龙头了；芯片：必创科技，长川科技 ...展开全文c', '2018-06-28 12:16:06')
('广州一女博士自暴“内盘外盘”口诀，庄家听后跪求删帖，建议珍藏 $玲珑轮胎 sh601966$ $京威股份 sz002662$ $金健米业 sh600127$ $同达创业 sh600647$ 我的小蜗牛...', '2018-06-28 03:19:14')
('发布了头条文章：《7月最具气质妖王登场：阳光电源+陕西金叶+新安股份+京威股份》 $阳光电源 sz300274$ $陕西金叶 sz000812$ $新安股份 sh600596$ $京威股份 sz002662$ \ue627 股票分析 #热门股票推荐# #财经趣闻# |7月最具气...', '2018-06-28 02:07:06')
('赚12个点出京威股份超频三意外被按跌停，如有撬板会出', '2018-06-27 22:18:26')
('新股与次新股绿色动力、锐科激光、欣锐科技、金奥博、锋龙股份新能源汽车概念安凯客车、京威股份、浩物股份、迪生力、今飞凯达、科泰电源、猛狮科技高送转填权雄帝科技、盛弘股份、三联虹普、凯伦股份、跃岭股份超跌股 ...展开全文c', '2018-06-27 21:13:21')
('【周三热点复盘】新能源汽车：欣锐科技、盛弘股份、京威股份、安凯客车、浩物股份、合康新能、今飞凯达、迪生力、锋龙股份、跃岭股份、科达利、猛狮科技、科泰电源、晶瑞股份填权：超频三、盛弘股份、科达利、今飞凯达、迪生力、晶瑞股份、跃岭股份、长川科技、必创科技、凯伦股份、双一科技人民币 ...展开全文c', '2018-06-27 21:09:51')
('2018.6.28[玫瑰]【600448华纺股份】[玫瑰][玫瑰]【000555神州信息】[玫瑰][玫瑰]【002662京威股份】[玫瑰]重点关注 非用户验证实力为主 没有提供买卖点 风险自理【温馨提示】推荐股为短期资金活跃股，建议添加自选关注，回调后在找机会介入，风险自理，切勿盲目追高。', '2018-06-27 21:02:09')
('盘面热点：国产替代芯片：晓程科技、万盛股份、必创科技软件：神州信息、中国软件填权+ 次新+ ...展开全文c', '2018-06-27 20:27:41')
('机构称汽车板块投资窗口来临 12只个股获近3亿元资金布局《证券日报》市场研究中心根据数据统计发现，在近两个交易日内，申万一级汽车行业161只可交易个股中共有122只实现逆市上涨，占比75.78%，包括安凯客车(000868)、欣锐科技(300745)、京威股份(002662)等个股均连续两日涨停，迪生力(603335)、越博 ...展开全文c', '2018-06-27 20:25:19')
('$上证指数 sh000001$核心1板：嘉麟杰、盛弘股份、汉嘉设计核心2板：合康新能、京威股份、神州信息核心3板：欣锐科技、华纺股份、晓程科技', '2018-06-27 20:21:09')
('26日，锂电及新能源汽车涨停8只；27日同样涨停8只，板块表现出比较好的持续性。充电桩，昨天万马股份、中能电气涨停，今天换科泰电源、盛弘股份。板块连板4只，3板的欣锐科技，2板的合康新能、京威股份、安凯客车，通常安凯客车的连板很有把握，炒市场记忆。（2017年9月）昨天首选是合康新能，次选 ...展开全文c', '2018-06-27 19:58:29')
('2、 新能源汽车：欣锐科技、合康新能、京威股份、安凯客车、科达利、科泰电源、猛狮科技点评：板块在分化中强势，个股强者恒强的特征明显，出现4个连板票，亮点次新叠加即底部超跌股，明天能否打出个标杆个股来将影响板块走势，超频三能带动的只是填权股而非锂电，欣瑞科技算是标杆，但这种连续缩量 ...展开全文c', '2018-06-27 10:48:18')
('市场底部出大妖（2018-06-27 游资复盘）打开公众号关注一下，看复盘更方便：网页链接#上证指数sh000001# \ue627 财经头条文章 \ue627 微博股评团 \ue627 投资 \ue627 今日看盘 #超频三 sz300647# #汉嘉设计 sz300746[股票]# #猛狮科技 sz002684[股票]# #兄弟科技 sz002562[股票]# ...展开全文c', '2018-06-27 10:19:42')
('新能源车算是今天最热的板块了，跟科技类有点类似，多数个股都是从超跌形态中走出来。 欣锐科技一个三连板和合康新能京威股份安凯客车3个二连板，但龙头今天属于缩量不利于明天接力，后面总体也是看龙头能否跨过眼下四板这个砍挤入妖股的行列。', '2018-06-27 10:18:03')
('$京威股份 sz002662$ ，京威股份，汽车配件超跌，虽然二板，但是上板动作很软，而且今天汽车配件都不错，明天市场反弹，就可以从容出局了', '2018-06-27 09:58:10')
('新能源概念这边龙头欣锐科技缩量一字板，非常强势，明天挑战新高了，接受放量考验，抗住了就是走妖了。中军宁德时代非常强势，午后跳水的时候，大资金一直在低吸维护，后面有走趋势性的机会安凯客车，京威股份2板，板块梯队比较完整，可以继续看好这边的机会，短线盯着龙头，或者首板 ...展开全文c', '2018-06-27 09:46:37')
('Y公式选出板块：锂电池、纺织、贸易；对应个股：京威股份、藏格控股、科泰电源、科利达、华自科技；华纺股份、孚日股份、华升股份；时代万恒、江苏国泰、中成股份、万方发展。', '2018-06-27 09:44:12')
('热点复盘（6-27）持续热点：1、高送转填权概念有9只股票涨停，其中盛弘股份、凯伦股份可以继续跟踪。2、新能源汽车概念有4只股票涨停，其中京威股份、安凯客车可以继续跟踪。新热点：1、人民币贬值概念有5只股票涨停，其中华纺股份、锋龙股份可以继续跟踪。 ...展开全文c', '2018-06-27 07:54:47')
('发布了头条文章：《6月最后的机会：恒天海龙 晋西车轴 珀莱雅 京威股份》 #xinlang 新浪财经# #新浪看点# #新浪理财师# $恒天海龙 sz000677$ $晋西车轴 sh600495$ $珀莱雅 sh603605$ $京威股份 sz002662$ |6月最后的...', '2018-06-27 07:33:34')
('发布了头条文章：《000802 北京文化 主力暗中释放阴谋，走势已有定局》 #股票喊停# #短线牛股# #股票推荐# $晋西车轴 sh600495$ $京威股份 sz002662$ |000802 北...', '2018-06-27 05:49:14')
('#华谊兄弟 sz300027[股票]# 盘中新热点，尾盘崛起稀土永磁概念。其中英洛华符合题材率先封板，五矿稀土、中钢天源等跟涨，该板块应属于中美贸易战利好板块，同时有属于稀缺资源板块，可以跟踪一下。盘中持续性热点，新能源车。其中，欣锐科技、安凯客车、合康新能、京威股份等7股涨停，该板块由于受到 ...展开全文c', '2018-06-27 03:54:56')
('利用K线+KDJ精准把握买卖点，实现低买高卖#京威股份 sz002662[股票]# 彭曲评股的...', '2018-06-27 01:36:34')
('朋友们下午好，继续看盘。\ue627 投资达人说 \ue627 今日股市 \ue627 新浪理财师股指早盘窄幅整理，回抽连昨日的缺口都不能直接回补，说明盘势格局很弱。但热点还是有，主要集中在新能源车、高送转、人民币贬值为主。——新能源汽车：欣锐科技、合康新能、京威股份、安凯客车、科达利、科泰电源 ...展开全文c', '2018-06-27 01:05:00')
('新能车继续带节奏，高送、贬值、芯片、软件多线开花1.指数昨天做完压力测试之后，低开高走，今天又是小幅冲高回落，非常类似于春节前指数的走势，需要一小段时间震荡筑底。2.主要热点：新能源车产业链，欣锐科技3连板，合康新能、盛弘股份、京威股份、安凯客车、科达利、科泰电源、晶瑞股份涨停；高 ...展开全文c', '2018-06-26 23:44:29')
('打板进场的今天又要死好多。好多炸板了！怕怕哒。欢乐哥狂拉超频三。后排小弟根本不听话，不跟风。还是底部1板2板去做2板3板的票靠谱啊！安凯客车、惠博普、京威股份、中国软件、元隆图雅、比较靠谱', '2018-06-26 23:20:13')
('发布了头条文章：《长川科技+京威股份+超频三,昔日王者再度归来》 \ue627 股票 #新浪看点# #股票# #头条文章# #上证指数# $长川科技 sz300604$ +$京威股份 sz002662$ +$超频三 sz300647$ |长川科技+...', '2018-06-26 23:07:22')
('汽车整车，充电桩，汽车零部件出现走强。 安凯客车上板，浩物股份，迪生力，欣锐科技，今飞凯达，京威股份等多只个股上板， 有望成为今日的超极热点。', '2018-06-26 22:27:16')
('汽车整车，充电桩，汽车零部件出现走强。#安凯客车 sz000868[股票]# 上板，#浩物股份 sz000757[股票]# ，#迪生力 sh603335[股票]# ，#智动力 sz300686[股票]# ，#今飞凯达 sz002863[股票]# ，#京威股份 sz002662[股票]# 等多只个股上板，有望成为今日的超极热点。', '2018-06-26 22:25:33')
('【盘口热点速递】新能源汽车产业链来袭随着次新龙头欣锐科技一字板实现三连板后，成功激活整个板块热度，大受资金追捧，汽车配件的浩物股份、迪生力、今飞凯达涨停；锂电池京威股份、科达利、科泰电源封板，超频三大涨维持板块热度不减；新能源汽车安凯客车、合康新能涨停；汽车零部件研发锋龙 ...展开全文c', '2018-06-26 22:22:14')
('今日操作结束，开盘竞价处理掉不及预期的天津普林，扫板超频三，原仓位持有京威股份，目前京威股份盈利10个点！', '2018-06-26 21:51:06')
('#股民故事# $京威股份 sz002662$ 大底，可以进场。。#bl布股# #牛股推介#', '2018-06-26 21:36:22')
('【周二热点复盘】人民币贬值：振静股份（龙头）、华纺股份新能源汽车：新锐科技、坚瑞沃能、京威股份、安凯客车、万马股份、合康新能、中能电气泛高送转：三联虹普、金奥博、中大力德、世嘉科技、雪浪环境、澄天伟业、川金诺、光库科技、国泰集团、沃特股份、长川科技次新：欣锐科技、南京证券、越 ...展开全文c', '2018-06-26 21:13:34')
('昨天首板的坚瑞沃能、安凯客车、京威股份，相对来说坚瑞沃能属于低价日内龙头首板，有2板的预期。指数反复摩底过程，急跌是介入点，高潮反而是卖出跟风个股的机会，这是底部的节奏。', '2018-06-26 20:59:03')
('复盘：在中美贸易战升级，美股大跌的影响下，今日A股出现大幅低开，上证50为首的权重股继续杀跌，银行、地产、煤炭、钢铁等成为下跌的重灾区，人民币也继续贬值，加上内部金融去杠杆政策延续、信用违约风险和股权质押融资风险仍存，内忧外患之下市场继续受到压制，短期投资者仍对市场存谨慎态度；就 ...展开全文c', '2018-06-26 18:34:35')
('军工+国产芯片第一龙头被严重低估，季报暴增47倍，本周将 $英搏尔 sz300681$ $京威股份 sz002662$ $捷顺科技 sz002609$ $宏图高科 sh600122$ 论A股堂的...', '2018-06-26 14:23:41')
('新能源概念，这个贯穿整个市场的主线，一直是一哥反复提及的。昨天消息刺激恒大入股FF，乐视网一字板，坚瑞沃能、京威股份、安凯客车，万马股份。次新方向欣锐科技二板，宁德时代继续反包新高。', '2018-06-26 10:10:03')
('马哥股票池（6-27）潜力妖股：欣锐科技、振静股份涨停追涨：京威股份、海得控制强势低买：星网宇达、阿石创中线低买：新光药业、岱勒新材...展开全文c', '2018-06-26 08:59:17')
('6.26热点题材白酒：水井坊、ST皇台、舍得酒业、今世缘、口子窖、青青裸酒汽车：安凯客车、中通客车、亚星客车、众泰汽车、东风汽车新能源汽车：尖锐我能、京威股份、安凯客车、欣锐科技国产软件：神州信息、中国软件、兆日科技、太极股份、同有科技、晓程科技、海特高新、浪潮软件、榕基软件、超图 ...展开全文c', '2018-06-26 07:44:58')
('欣锐科技涨停以后，把汉嘉设计也带起来了。次新，近端 还是有不错的赚钱效应。恒大健康67亿入驻法拉第未来，掀起了新能源的炒作热情， 京威股份，万马股份，坚瑞沃能，安凯客车，乐视网，都是这一条主线。... 网页链接', '2018-06-26 01:28:50')
('新能源方向就不用多说了吧，复盘重点提好几天了。超跌的乐视网，带动坚瑞沃能，京威股份，安凯客车、合康新能。充电桩，万马股份，中能电气。下午看看冀凯股份怎么走吧，作为前期超跌龙头，猛狮科技感觉被卡了 。', '2018-06-26 01:03:39')
('2018年6月26日9点30到10点30盘面：强势板块：高送转预期：金奥博、中大力德、雪浪环境、振静股份次新股：南京证券、新锐科技、越博动力、宏川智慧国产软件：中国软件、太极股份、超图软件、浪潮信息新能源车：坚瑞沃能、何康新能、安凯客车、新锐科技、越博动力、京威股份工业互联网：宜通世纪、 ...展开全文c', '2018-06-25 22:55:17')
('汽车板块快速拉升，安凯客车、欣锐科技、京威股份直线封板，中通客车、德宏股份、亚星客车、越博动力、渤海汽车纷纷大涨，众泰汽车、金杯汽车、鹏翎股份、东风汽车、松芝股份均有不错表现。', '2018-06-25 22:42:20')
('发表了博文《股市汽车板块暴动，哪些汽车股可以上涨？？？》汽车板块暴动，昔日妖股安凯客车封涨停，欣锐科技、京威股份相继打板，中通客车、亚星客车、众泰汽车、东风汽车等个股纷纷跟涨。|股市汽车板...', '2018-06-25 21:56:01')
('操盘手交易员自述：这辈子炒股只需要做精一只股，赢得盆满钵满 $京威股份 sz002662$ $安奈儿 sz002875$ $安居宝 sz300155$ $迪生力 sh603335$ 我的小蜗牛...', '2018-06-25 12:02:04')
('发布了头条文章：《重磅消息：京威股份+南岭民爆+得利斯，本周操作策略解读》 $京威股份 sz002662$ +$南岭民爆 sz002096$ +$得利斯 sz002330$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-06-19 04:03:36')
('个股要闻：维格娜丝：拟出售宝国国际股票预计收入1.8亿港元新筑股份：将在阜阳投资超级电容、轨道交通产业京威股份：五洲龙的氢燃料电池客车在大同试运营海南瑞泽：联合旗下17家控股子公司组建“瑞泽集团”骆驼股份：拟15亿元新增三个再生铅生产基地招商证券：获准设立16家分支机构 ...展开全文c', '2018-06-10 08:14:13')
('京威股份：参股公司深圳五洲龙氢燃料电池客车在大同市试运营', '2018-06-08 05:50:33')
('【每日一练】弱势震荡 10日均线附近震荡整理 跌多涨少 盘面情绪接受考验 大主力抗着权重板块 弱势震荡波动特征明显：板块轮动很快 逢高减仓短线快进快出操作时间段 特别不能追高 下午重点观察一下 只有小机会 超跌反击股 002662 京威股份 1.5成娱乐仓', '2018-03-08 10:22:41')
('开展【每日一练】栏目，说明：每天中午选一只短线票，统计次日涨跌幅情况！作为自己提高选股能力的一个重要指标！', '2018-06-07 00:32:35')
('雪迪龙 中泰桥梁 茂硕电源 克明面业 京威股份 股海大咖的...', '2018-06-06 03:17:32')
('$京威股份 sz002662$ （002662）：北京基地土地资产将由政府回购', '2018-06-05 20:57:40')
('京威股份在打什么算盘？新能源投资战略受质疑 |京威股份在...', '2018-06-03 08:44:26')
('#财经##财经头条##关注财经# 京威股份大股东放弃增持 新能源造车计划搁浅 财经那事儿...', '2018-05-31 18:08:17')
('网页链接 中环投资终止要约收购京威股份[股评]新能源投资将向“头部”企业集中每经实习记者蘧毛毛每经记者赵成每经编辑杨军近日，一则关...|京威股份股...', '2018-05-30 21:51:54')
('【京威股份三年砸200多亿造车 因资金问题难获资质】在业内人士看来，京威股份是想轻装上阵，押注江苏卡威，一举拿下新能源车的生产资质。然而，这个计划最近已宣告流产。被视为京威股份获得汽车生产资质，向新能源整车企业转型的关键一步，京威股份踏空了。 |京威股份三...', '2018-05-29 21:53:05')
('京威股份：北京生产基地搬迁完成京威股份公告，为响应政府号召，适应新时期北京工业调整，疏解非首都核心功能，同时满足公司全国基地布局的发展规划需要，公司北京生产基地已经全部搬迁至江苏无锡和河北秦皇岛南北两个重要生产基地。截止公告披露日，北京生产基地搬迁工作已全部完成。...展开全文c', '2018-05-29 10:22:03')
('【京威股份造车梦落空：三年砸200多亿 却难获生产资质】在新能源汽车成为国家和地方重点支持的产业之后，各界投资者纷纷看上了这一领域的巨大机遇，跨界投资者多如过江之鲫。现在看来，京威股份也想挤上这列快车，来赚些快钱，只是折腾了这么久，还没有买到火车票。网页链接', '2018-05-29 07:11:03')
('#上市公司那点事儿# 【京威股份造车梦落空：三年砸200多亿 却难获生产资质】京威股份发布的2018年一季度的财报显示，由于密集投资新能源车领域，京威股份已经由盈转亏，这是7年来的第一次首个季度亏损，甚至连二股东和三股东都坐不住了，纷纷投票反对京威股份继续布局新能源汽车领域。 ...展开全文c', '2018-05-28 21:19:24')
('个股利空：京威股份大股东所持部分股份被冻结；易事特：证监会对公司不予处罚 实控人被罚没1.28yi；鱼跃医疗董事长收到证监会行政处罚事先告知书；金字火腿终止重大资产重组；三晖电气终止筹划重大资产重组；*ST龙力终止重大资产重组事项；安居宝终止非公开发行股票事项并撤回申请文件；金龙机电控股 ...展开全文c', '2018-05-27 21:16:55')
('京威股份大股东所持部分股份被司法冻结中国证券网讯(记者 骆民)京威股份公告，公司大股东中环投资为公司参股的深圳市五洲龙汽车股份有限公司与中国银行股份有限公司深圳龙华支行签署的《流动资金借款合同》提供了连带责任保证担保，因该笔合同项下的部分借款，深圳五洲龙逾期未能偿还，中环投资所持 ...展开全文c', '2018-05-25 19:20:22')
('实时播报：京威股份：公司大股东中环投资为公司参股的深圳市五洲龙汽车股份有限公司与中国银行深圳龙华支行签署的《流动资金借款合同》提供了连带责任保证担保，因该笔合同项下的部分借款，深圳五洲龙逾期未能偿还，中环投资所持公司部分股份4257万股被深圳市中级人民法院司法冻结。此次股份被冻结事项 ...展开全文c', '2018-05-25 05:37:56')
('5.25【重大事项】江苏银行：触发稳定股价措施启动条件 5个工作日内制定具体方案国联水产：协议转让过户登记完成 永辉超市成第二大股东京威股份：中环投资终止筹划部分要约收购公司股票 ...展开全文c', '2018-05-24 22:55:26')
('个股利空：江苏银行触发实施稳定股价措施启动条件；好利来终止筹划重大资产重组 ；民盛金科：相关大股东所持部分股票面临平仓风险；金盾股份：公安机关鉴定公司的公章、财务专用章等均被伪造；南风股份实控人杨子善所持7.08%公司股份被司法冻结；京威股份股东中环投资终止筹划部分要约收购公司股票； ...展开全文c', '2018-05-24 21:50:27')
