('今天有一只新股，明德生物。别忘记申购，点赞的都中签。', '2018-06-28 21:36:03')
('证监会核发2家企业IPO批文 筹资总额不超10亿证监会周五晚间核发2家IPO批文，分别为密尔克卫（上交所）、明德生物（深交所中小板），筹资总额不超过9亿元，创新年内新低。', '2018-06-22 11:36:06')
('#搜狐新闻(资讯版)#《证监会核发2家IPO批文：筹资额9亿元，明德生物在列》6月22日，证监会按法定程序核准了2家企业的首发申请，上证所网页链接', '2018-06-22 09:54:19')
('【证监会核发2家企业IPO批文，拟筹资不超过9亿元】上交所主板：密尔克卫化工供应链服务股份有限公司，深交所中小板：武汉明德生物科技股份有限公司。其中，武汉明德生物科技股份有限公司将直接定价发行。', '2018-06-22 07:44:39')
('证监会核发2家企业IPO批文，拟筹资不超过9亿元，上交所主板：密尔克卫化工供应链服务股份有限公司，深交所中小板：武汉明德生物科技股份有限公司。其中，武汉明德生物科技股份有限公司将直接定价发行。', '2018-06-22 07:39:19')
('证监会核发2家企业IPO批文，拟筹资不超过9亿元。两家公司分别为：密尔克卫（上交所）、明德生物（深交所中小板）。 网页链接', '2018-06-22 07:13:44')
('今天第一家IPO—金华春光橡塑，过会！打破主板IPO的最近一年扣非后归母净利润8000万门槛！ 泰山数天前的笔记：2015-2017年公司扣非后归母净利润分别为6,558万元、7,114万元和7,708万元，2018年5月3日的武汉明德生物IPO过会系武汉东湖政策加持，而金华春光橡塑能否成为真正对此破题的IPO项目值得期待！', '2018-05-14 22:58:07')
('#李明德# 好不容易掰回来的生物钟……又毁了', '2018-05-13 11:11:59')
('【多地吹资本集结号:IPO、并购、三板、海外上市齐发力】5月10日，湖北省举行推进鼓励企业上市工作会议，提出多项政策促进企业上市。而在上周5月3日这一天，湖北就有三家企业顺利过会，分别是天风证券、武汉明德生物和长飞光纤。不仅是湖北，广东、浙江、江苏、安徽、湖南等多个省市也纷纷瞄准资本高地 ...展开全文c', '2018-05-11 02:33:14')
('【多地吹响资本集结号：IPO、并购、新三板、海外上市齐发力】5月10日，湖北省举行推进鼓励企业上市工作会议，提出多项政策促进企业上市。而在上周5月3日这一天，湖北就有三家企业顺利过会，分别是天风证券、武汉明德生物和长飞光纤。|多地吹响资...', '2018-05-10 20:46:53')
('明德生物通过IPO首发：去年上半年营收8393万(同步自@新浪看点)|明德生物通...', '2018-05-09 03:48:42')
('5月3日，中国证监会2018年第70次发审会议上，长飞光纤光缆股份有限公司、天风证券股份有限公司和武汉明德生物科技股份有限公司等3家光谷企业顺利通过审核。此前的4月17日，锐科激光公司率先通过发审会，成为今年我省首个通过IPO申请的企业。前后不到20天，4家光谷企业成功登陆内地资本市场，将助 ...展开全文c', '2018-05-07 22:12:10')
('【又一国产械企IPO审核通过！1年净利润或超8000万】5月3日，第十七届发审委2018年第70次工作会议召开，体外诊断行业大热的POCT领域，国产械企明德生物IPO审核通过。网页链接', '2018-05-07 04:30:54')
('5月3日，3家上会企业注册地均为湖北，长飞光纤、天风证券、及此前被暂缓否决的明德生物（430591）均获通过。其中明德生物系新一届发审委组建以来国金证券保荐第一单。', '2018-05-05 02:08:39')
('？？惊了感觉明德生物和长飞光纤非常耳熟……', '2018-05-02 07:41:03')
('明天属于湖北人民', '2018-05-04 12:52:53')
('【武汉明德生物获准上市】据中国证监会昨天发布的《第十七届发审委2018年第70次会议审核结果公告》，武汉明德生物科技股份有限公司等3家都在武汉的公司全部审核通过，成功上市。网页链接', '2018-05-04 02:00:42')
('#投行三皮匠#证监会公告称，长飞光纤、天风证券、明德生物首发申请周四上会，均获得通过。宜华生活配股事项获通过。', '2018-05-04 00:41:35')
('【光谷3家企业同日拿到上市“许可证”】同一日3家汉企IPO成功过会，是武汉历史上首次。3日，天风证券股份有限公司、长飞光纤光缆股份有限公司(下称“长飞光纤”)和武汉明德生物科技股份有限公司(下称“明德生物”)3家武汉企业的首次公开募股(IPO)通过证监会发审委审核。|光谷3家企...', '2018-05-03 22:50:28')
('证监会公告，长飞光纤光缆股份有限公司、天风证券股份有限公司、武汉明德生物科技股份有限公司首发获通过。宜华生活科技股份有限公司配股获通过', '2018-05-03 22:32:16')
('又一家新三板企业IPO成功，明德生物（430591）带领165名散户成功闯关IPO。中小板8000万红线或不成问题，明德生物破国金证券零过会“魔咒”#新三板#', '2018-05-03 11:18:36')
('三家武汉公司：长飞光纤、天风证券、明德生物IPO审核全过！', '2018-05-03 11:02:51')
('【三公司首发上会 全部成功过会】e公司讯，记者从投行人士处获悉，今日首发上会的3家企业长飞光纤光缆股份有限公司、天风证券股份有限公司、武汉明德生物科技股份有限公司的首发申请全部顺利过会。此外，人福医药5月3日晚间公告称，公司收到参股公司天风证券通知，天风证券首次公开发行股票申请于2018 ...展开全文c', '2018-05-03 10:38:27')
('【资本市场“光谷日”，长飞光纤、天风证券、明德生物IPO审核全过】5月3日，资本市场迎来“光谷日”。证监会召开发行审核委员会工作会议，对长飞光纤光缆股份有限公司、天风证券股份有限公司和武汉明德生物科技股份有限公司的首次公开募股（IPO）进行审核。据证监会最新消息，三家企业均已顺利通过审核 ...展开全文c', '2018-05-03 10:27:46')
('【天风证券等三公司首发获通过】据证监会网站5月3日晚间披露，最新审核结果显示，长飞光纤光缆股份有限公司、天风证券股份有限公司、武汉明德生物科技股份有限公司首发获通过。 （上海证券报） |福州·工业...', '2018-05-03 10:26:42')
('22:15 中国证监会在网站发表公告表示，5月3日的发审委会议审核通过了长飞光纤光缆、天风证券、武汉明德生物科技的首发申请。//@国老:回复@williamsong:我认为都过的机会大，武汉将是中部未来最其发展潜力的科技之城。//@williamsong:谁过谁不过，国老点评一下', '2018-05-02 02:00:22')
('【发审委明日将审核三家公司IPO 均来自武汉】中国证监会第十七届发审委定于2018年5月3日（本周四）召开2018年第70次发审委工作会议，将对长飞光纤光缆股份有限公司、天风证券股份有限公司和武汉明德生物科技股份有限公司的IPO进行审核。值得注意的是，这三家公司的一个共同点为总部均在湖北武汉。', '2018-05-03 10:17:47')
('证监会：长飞光纤光缆、天风证券、明德生物等首发获通过。', '2018-05-03 10:04:45')
('【3家武汉公司IPO上会集体过关】5月3日上会的接受IPO(首次公开发行)审核的长飞光纤光缆股份有限公司、天风证券股份有限公司、武汉明德生物科技股份有限公司的首发申请，全部顺利过会。这3家公司全部来自于武汉。|3家武汉公...', '2018-05-03 08:47:37')
('5月3日证监会发审武汉专场3家企业（长飞光纤、天风证券、明德生物）均顺利过会，这无疑提升了武汉利用多层次资本市场谋求“高质量发展”的信心。“和远气体”等28家企业在湖北证监局辅导备案，“奇致激光”等23家“金种子”企业在券商培育，形成“储备一批、培育一批、辅导一批、申报一批、上市一批” ...展开全文c', '2018-05-03 08:04:37')
('今天第三家IPO——武汉明德生物，过会！今天3过3！武汉明德生物的2017年6000万元净利润，突破了中小板（主板）最后一年不得低于8000万元净利润的隐性说法，东湖概念股，政治高度与党中央保持一致 也恭喜友商国金证券！', '2018-05-03 07:55:17')
('【光谷史上首次：3家企业同一天获得上市“许可证”】今天，长飞光纤、天风证券和明德生物成功过会，至此，今年武汉已有4家企业拿到了A股上市“许可证”。支点财经获悉，专业从事行业化视频监控系统的武汉微创光电、主营业务为精密激光加工解决方案的武汉帝尔激光，以及幼教行业的整体服务商武汉亿童文 ...展开全文c', '2018-05-03 05:46:56')
('据券商中国报道，证监会定于今日审核长飞光纤光缆、天风证券和明德生物IPO申请，这三家公司总部均在湖北武汉。目前，长飞光纤光缆、天风证券IPO已成功过会。#天风证券##明徳生物#', '2018-05-03 05:39:18')
('【天风证券等三公司今日IPO全部成功过会】据悉，今日首发上会的3家企业长飞光纤光缆股份有限公司、天风证券股份有限公司、武汉明德生物科技股份有限公司的首发申请全部顺利过会。人福医药称直接及间接持有的天风证券6.25亿股，占天风证券发行前总股本的13.40%。|天风证券等...（证券时报网）', '2018-05-03 05:26:10')
('热烈祝贺中国证监会第十七届发审委2018年5月3日湖北专场IPO首发申请企业：天风证券、长飞光纤光缆、明德生物科技顺利过会！“三发全中”！过会率：100%！', '2018-05-03 05:24:10')
('#IPO# 关于明德生物2017年净利润没有8000万元主板业绩门槛的问题，个人观点如下：1.没有到8000万也离得不远，毕竟2016年就有5000多万净利润。2.中小板可以参照创业板5000万门槛，毕竟都是为中小企业服务。3.武汉的企业，本次IPO有其他因素加成。这可能是最重要因素。', '2018-05-03 05:10:43')
('【三只光谷企业股票同日通过IPO审核】3日，资本市场迎来“光谷日”。证监会召开发行审核委员会工作会议，对长飞光纤光缆股份有限公司、天风证券股份有限公司和武汉明德生物科技股份有限公司的首次公开募股(IPO)进行审核。据证监会最新消息，三家企业均已顺利通过审核，将于A股上市。值得注意的是，这三 ...展开全文c', '2018-05-03 04:59:03')
('#商界快讯# 【一日三企冲击IPO成功 湖北上市公司增至100家】经历去年仅新增2家上市公司的尴尬后，湖北证券市场近日迎来一波利好，上市工作亦现“触底反弹”之势。据证监会公告，5月3日，将召开发行审核委员会工作会议，审核长飞光纤光缆股份有限公司、天风证券股份有限公司、和武汉明德生物科技股份有 ...展开全文c', '2018-05-03 04:27:50')
('【一日三企冲击IPO成功 湖北上市公司增至100家】经历去年仅新增2家上市公司的尴尬后，湖北证券市场近日迎来一波利好，上市工作亦现“触底反弹”之势。据证监会公告，5月3日，将召开发行审核委员会工作会议，审核长飞光纤光缆股份有限公司、天风证券股份有限公司、和武汉明德生物科技股份有限公司首发。 ...展开全文c', '2018-05-03 04:00:44')
('5月3日，中证监第十七届发审委召开发行审核委员会工作会议，审核长飞光纤、天风证券、明德生物首发，最终三家企业全部顺利过会。值得一提的是，三家企业均来自武汉，堪称“武汉专场”。', '2018-05-03 04:00:23')
('#快讯#【史无前例！湖北三家企业今日顺利过会】3日首发上会的3家企业长飞光纤光缆股份有限公司、天风证券股份有限公司、武汉明德生物科技股份有限公司的首发申请全部顺利过会。|史无前例！...', '2018-05-03 03:45:28')
('今天是湖北人的一天湖北仙桃人雷军的小米在香港联交所提交了招股说明书；天风证券，长飞光纤光缆，明德生物科技全部过会！@掌上安陆 @微博股票 @武汉同城 @湖北日报 @湖北卫视天生我财', '2018-05-03 03:43:08')
('据最新消息，长飞光纤和天风证券率先成功过会，明德生物也在稍晚顺利过会。三家光谷企业顺利过会，这也标志着光谷上市公司总量将增加至41家。2018年注定是触底反弹的一年：3月，光谷新晋独角兽尚德机构纽交所上市；4月，锐科激光创业板IPO过会成功，拿到上市“许可证”；5月，三家光谷企业集中冲击上 ...展开全文c', '2018-05-03 03:42:40')
('#今夜的资本市场属于福北人# 在一阵春风之后，分别代表湖北（或者说东湖）的三大产业转型升级方向的三家公司在今天依次上会并最终成功过会，其中武汉明德生物的2017年只有6000万元净利润，突破了之前中小板（主板）最后一年不得低于8000万元净利润的说法。另外还有一个出走半生，归来仍是少年的湖北仙 ...展开全文c', '2018-05-03 03:39:15')
('#e公司快讯# 【三公司首发上会 全部成功过会】e公司讯，记者从投行人士处获悉，今日首发上会的3家企业长飞光纤光缆股份有限公司、天风证券股份有限公司、武汉明德生物科技股份有限公司的首发申请全部顺利过会。网页链接', '2018-05-03 03:33:22')
('今天是湖北人的一天湖北仙桃人雷军的小米在香港联交所提交了招股说明书天风证券长飞光纤光缆两家A股IPO成功过会还有一家今日过会的明德生物科技也来自武汉', '2018-05-03 02:21:20')
('武汉光谷今日有3家同时上会，长飞、天风、明德药业，涵盖科技、金融、生物医药', '2018-05-03 02:18:55')
('#ipo动态# 5·3发审速递：欢迎来到湖北专场！业绩规模较大的长飞光纤已顺利过关。自大发审委2017.10.17首秀至今，国金证券没有一个项目过会，能否依靠明德生物破零是个问题...', '2018-05-02 23:21:06')
('证监会拍的一手好马屁！️（13:56 【发审委明日将审核三家公司IPO均来自武汉】，中国证监会第十七届发审委定于2018年5月3日（本周四）召开2018年第70次发审委工作会议，将对长飞光纤光缆股份有限公司、天风证券股份有限公司和武汉明德生物科技股份有限公司的IPO进行审核。值得注意的是，这三家公司 ...展开全文c', '2018-05-02 11:20:05')
('中国证监会第十七届发审委定于2018年5月3日（本周四）召开2018年第70次发审委工作会议，将对长飞光纤光缆股份有限公司、天风证券股份有限公司和武汉明德生物科技股份有限公司的ipo进行审核。长江通信（600345）持有长飞光纤25%股权.', '2018-05-02 10:15:46')
('长飞光纤，明德生物，天风证券，三家公司明天上会审核，全部来自湖北省武汉市。不得不佩服领导领会长江经济带的意图又快又准。', '2018-05-02 03:37:05')
('#IPO#武汉明德生物不同推广模式下的财务处理，同行业公司采用“配套销售”推广模式情况', '2018-05-02 02:57:17')
('新三板公司IPO在审期间摘牌、摘牌后发生少量股份转让（投资基金、集合资金依托计划、有限合伙等股东退出）-武汉明德生物', '2018-05-02 02:56:24')
('关于IPO中同业竞争的主体范围及口径-武汉明德生物反馈意见1、控股股东、实际控制人及其近亲属直接或间接控制的全部企业；2、上述企业的实际经营业务，说明是否简单依据经营范围对同业竞争做出判断，是否仅以经营区域、细分产品、细分市场的不同来认定不构成同业竞争；3、上述企业的历史沿革、资产、 ...展开全文c', '2018-05-02 02:11:25')
('反馈对IPO募投项目的细化问询，合规性、合理性、必要性和可行性，并补充披露-武汉明德生物反馈意见', '2018-05-01 02:18:28')
('IPO中间接持有发行人股份的自然人之穿透核查及信息披露-武汉明德生物科技IPO反馈意见1、与发行人及其控股股东、实际控制人、董监高、核心技术人员、本次发行的中介机构及其项目组成员是否存在关联关系、亲属关系、委托持股、信托持股或其他可能输送不当利益的关系；2、公司前十名股东中非自然人股东 ...展开全文c', '2018-05-01 02:17:47')
('发布了头条文章：《投行泰山读招股书之第180期——长飞光纤光缆、武汉明德生物IPO》 |投行泰山读...', '2018-05-01 02:16:57')
('业内同仁注：我国医药行业已有上百家上市公司，而我国医药产业根本支撑不了这么多上市公司，上市意味着护身符，重组机会变小，严重阻碍了产业整合；这些上市公司产品单一，上市就面临成长瓶颈，前几年还可以靠收购，现今医药并购几无可能。没有成长性，预期估值下跌，还不如趁早卖个好价。明德生物IPO', '2018-04-28 22:16:28')
('【报告期内不断变化销售手段】发行人生产的快速检测仪器在报告期内先后采用折扣销售、买试剂赠送仪器、配套销售等模式进行推广。反馈意见：补充披露公司试剂类产品是否存在与仪器类产品一一匹配的关系，报告期内仪器类产品用于直销销售及配套销售的种类、数目、占比及其配套的试剂种类，用于配套销售的 ...展开全文c', '2018-04-28 12:08:55')
('10.《陈阅增普通生物学笔记（第4版）》 主编 吴相钰 陈守良 葛明德 高等教育出版社 重温了一遍初中高中的生物', '2018-04-28 20:04:49')
('#安顺发布##安顺爆料# 【走进酒堡 走进贵州龙〔8〕贵州龙酒堡专家团高级专家介绍——吴天祥中国知名白酒专家】吴天样，男，贵州大学明德学院成长、教摄。从家酸酒科学与工程、生物技术与工程领域的教学与科研工作。国家酒类及饮料质量监督检验中心技术专家，贵州省委决策咨询专家智库成员，比利时布鲁 ...展开全文c', '2018-04-09 22:48:23')
('#清辉快讯# 截至2018年3月5日，大发审委共审核149家企业，其中77家闯关成功，过会率为51.68%。其中有3家医药制造业分别是明德生物（暂缓表决）、申联生物、威尔曼接受了审核，2家被否，1家暂缓表决，过会率为0。且结合以前的医药制造业的过会情况来看，其似乎也不受证监会的待见。', '2018-04-03 04:25:21')
('“明德至善 成就辉煌”中德生物10周年年会狂欢盛典。2007年8月，中德生物在无锡创立全资子公司，至今，中德生物在无锡已经走过了整整十个春夏秋冬。今天，是丰收的喜悦让我们相聚在一起，因为中德生物在过去的一年里又创造了奇迹。十年的艰苦创业，中德生物在历经磨难中茁壮成长。十年的开拓创新， ...展开全文c', '2018-03-05 04:28:04')
('#绥化爆料#【绥化市加快推进燃煤小锅炉淘汰工作 打响“蓝天白云”保卫战】近日，绥化市燃煤小锅炉淘汰现场推进会议在海伦市召开，绥化市各县（市、区）环保局长参加了会议。与会人员实地考察了海伦市海北镇生物质锅炉供热企业和明德小学供热情况，参观了利民节能锅炉制造有限公司生物质成型燃料厂和生 ...展开全文c', '2018-02-07 03:33:36')
('#上市公司那点事儿# 【新三板4家公司昨日IPO上会 三否一缓“全军覆没”】前不久，有接近发审委人士对《直通新三板》透露，实际上新三板上会公司并没有得到格外优待，甚至会遭遇更严格的审查。1月17日晚间，证监会发审委召开了2018年第16次、第17次发审委会议，3过3否1暂缓。同是来自新三板的明德生物、 ...展开全文c', '2018-02-04 01:06:45')
('#金洲街76号#证监会公告，7家企业首发申请周三上会，欣锐科技、天奥电子、华夏航空首发申请获通过，天元集团、龙利得、时代装饰被否，明德生物暂缓表决。', '2018-01-18 01:21:04')
('【惨惨惨！4家新三板企业转板IPO无一通过（3否1缓）】#IPO观察# 1月17日，发审委审核7家公司的IPO申请。结果是3家通过、3家被否、1家被暂缓表决。不幸被否决的公司是深圳时代装饰、广东天元实业集团、龙利得包装印刷，幸获通过的是深圳欣锐科技、成都天奥电子、华夏航空。被暂缓表决的是武汉明德生物科 ...展开全文c', '2018-01-17 19:50:28')
('今天第六家IPO—华夏航空过会了！还剩最后一家—武汉明德生物IPO准备上会！', '2018-01-17 09:53:52')
('明德生物今日IPO上会 “三类股东”已经清除(同步自@新浪看点)|明德生物今...', '2018-01-17 07:27:52')
('【“三类股东”审核口径明确后，明德生物本周IPO上会，是否后悔摘牌新三板？】1月17日，武汉明德生物科技股份有限公司即将上会。明德生物是一家主要从事POCT快速诊断试剂与快速检测仪器的自主研发、生产和销售的公司。近年来的业绩表现还算可圈可点。然而，漂亮的业绩背后还有什么样的故事呢? ...展开全文c', '2018-01-16 01:10:45')
('【Methods for High Dimensional Compositional Data Analysis with Applications in Microbiome Studies】2017年12月22日（周五）10:00【主讲】Hongzhe Li（宾夕法尼亚大学Perelman医学院的生物统计学教授）【地点】中国人民大学明德主楼1030会议室', '2017-12-18 06:47:06')
('【我市与甘肃明德伟业公司签署战略合作投资协议】为助推我市农业供给侧结构性改革，11月22日，我市与甘肃明德伟业生物科技有限公司举行推进本溪全域循环有机农业示范项目暨养殖业废弃物处理和复合生物酶生产项目签约仪式。网页链接', '2017-11-23 00:04:03')
('贵州大学明德学院生物工程系的学生身患尿毒症,希望大家能够帮帮他，救救这个年轻的生命好人一生平安网页链接', '2017-11-15 22:52:39')
('这是我的亲堂弟，是我叔叔唯一的独子，亦是他们唯一的希望，现患尿毒症晚期，这无凝是晴空一声霹雳，现换肾面临一笔高昂的费用，敬请我的亲朋好友和社会好心人士伸出您们的手帮他一把，挽救他年轻的生命为谢！『明德生物系学生身患尿毒症 请大家救救这个年轻的生命』网页链接', '2017-11-14 20:38:51')
('发布了头条文章：《(430495)奥远电子(430520)世安科技(430591)明德生物(430608)奇维科技》 |(430495)奥...', '2017-10-17 02:04:18')
('【明德生物2017CMEF秋季会邀请函】，赶紧报名吧！10.29-11.1 昆明见！ 网页链接', '2017-10-15 20:58:57')
('很喜欢#喜马拉雅#上尚学明德国际课程中心的节目《尚学明德AP 生物和SAT 生物对比讲解讲座》，快来听一听吧! 网页链接 。（分享自@喜马拉雅FM 加入#7天计划# 共你成长） 网页链接', '2017-10-03 05:31:40')
('#七夕# #情人节#快乐！ 明德生物~愿天下有情人终成眷属~', '2017-08-27 23:38:03')
('发表了博文《拟IPO企业自述清理三类股东难题，摘牌新三板成必选项？》近来，明德生物（430591.OC）、金丹科技（832821.OC）、新产业（830838.OC）、湘村股份（835920.OC）等|拟IPO企业...', '2017-08-03 01:54:08')
('2017年7月22-25日，武汉明德生物科技股份有限公司召开了2017年度销售年中工作会议。会议主要对上半年销售工作所取得的成绩和不足进行了总结分析，并按照全年目标的完成情况对下半年度的销售工作和执行策略进行了部署，同期还举行了产品进阶辅导、新产品知识考核以及阿米巴业绩分析会等项目。', '2017-07-27 03:54:29')
('7月14日新三板新挂牌公司2家 名品世家拟募资2亿开拓市场终止挂牌公司13家，挂牌公司数目为11276家。新挂牌公司：掌中飞天 丽正软件终止挂牌公司：明德生物 北方园林 木村树 盛景网联 易物恒通 裕田霸力 深装总 一方电气 元璋精工 菲格瑞特 鑫陶股份 精准传媒 新立讯', '2017-07-13 21:50:10')
('【明德生物12导联移动心电图机重磅上市！】，赶紧打开看看吧！ 网页链接', '2017-07-11 23:09:00')
('【湖北16家新三板企业市值均超10亿快来看看它们靠啥赚钱？】据有关数据显示，以6月22日收盘价计算，湖北新三板挂牌企业亿童文教、宏源药业、长江医药、禾元生物、江通传媒、明德生物等16家企业市值均超过10亿元，其中亿童文教、宏源药业、长江医药、禾元生物、江通传媒、明德生物6家企业市值超过 ...展开全文c', '2017-06-23 04:00:03')
('【不认真IPO？排到27名时要摘牌，明德生物在想啥】公司董秘周云称，留在新三板性价比不高，若此次未能过会，也不会再重新回到新三板。“摘牌是为了处理三类股东”，而对于是否需要重新排队，公司会和证监会沟通。。|不认真IPO...', '2017-06-13 17:15:01')
('2017中国POCT年会，明德生物大放光彩！', '2017-06-13 01:40:25')
('2017明德生物POCT高考在线答题开始！ 网页链接', '2017-06-08 03:52:21')
('#5.12国际护士季节#人间天使，生命同行——明德生物', '2017-05-11 21:55:05')
