('V+两只\ue627 短线牛股 $飞荣达 sz300602$ $纵横通信 sh603602$ 的上涨逻辑详解，品型战法，与龙虎榜的实战应用，欢迎大家参考，学习，顺手点赞！ 宇辉战舰的...', '2018-07-16 22:58:44')
('今日两市1479家上涨，1742家下跌，39家实体板，27家涨停被砸，32家跌停板——个股出现明显的分化。沪指全天维持低位窄幅震荡态势，银行、周期等权重板块拖累股指走弱，但5G、集成电路等题材股表现活跃，纵横通信等多只5G概念股涨停，整体市场观望情绪较强，板块持续性偏弱。沪指跌0.61%，报收2814点； ...展开全文c', '2018-07-16 04:55:17')
('【收评：沪指低位窄幅震荡 银行股领跌】沪指全天维持低位窄幅震荡态势，银行、周期等权重板块拖累股指走弱，但5G、集成电路等题材股表现活跃，纵横通信等多只5G概念股涨停，整体市场观望情绪较强，板块持续性偏弱。从板块涨幅上看，5G、数字中国、军工、集成电路、量子通信、煤炭、海工装备等涨幅居前 ...展开全文c', '2018-07-16 04:49:44')
('明天重点关注，买进盈亏自负$美格智能 sz002881$ $纵横通信 sh603602$', '2018-07-16 03:55:30')
('发布了头条文章：《5G概念股全面爆发 意华股份、纵横通信等多只个股掀起涨停潮》 |5G概念股全...', '2018-07-16 03:36:12')
('【市场回顾】周一两市小幅低开，开盘后迎来上冲， 但随即出现回落，并一度呈现跳水，指数跌破多条均线支撑，随后保持整理。午后，股指低位徘徊，板块分化严重下表现不一，市场延续上周五之后的震荡。销售禁令正式解除的中兴通讯三天两板，并继续带动5G概念走强，沃特股份、纵横通信纷纷跟随涨停；另外 ...展开全文c', '2018-07-16 03:31:45')
('连板：通产丽星-3、京威股份-3、意华股份-3、科迪乳业-2、维科技术-2、中能电气-2、玉龙股份-2、英特集团-2、盛洋科技-2、5G：意华股份、纵横通信、中兴通讯、8家唯一的题材了吧！带不动大盘啊！后面该怎么走呢？！', '2018-07-16 03:29:43')
('#上证快讯#【沪深两市小幅收跌 通信板块全天领涨】A股三大股指周一横盘震荡，小幅收跌。盘面上，通信板块全天领涨，纵横通信、奥维通信、意华股份等个股涨停，此外，国防军工板块也涨幅居前。另一方面，金融、地产板块跌幅较深。|沪深两市小...', '2018-07-16 03:14:08')
('今日沪深两市小幅低开，随后三大股指冲高回落，震荡下行，午盘前探底回升，创业板指一度翻红，午后股指再度持续走弱。截止收盘沪指跌0.6%，创业板指跌0.1%，上证50指数跌逾1%。盘面上，中兴通讯公告确认美国商务部解除对公司的禁令，中兴通讯A股涨停,H股暴涨，5G板块大涨，沃特股份、纵横通信、 ...展开全文c', '2018-07-16 03:02:56')
('天华超净，又一个天地板，现在太极端了，高位股真是不好追，题材启动阶段你没参与后面就风险大了。5G周五是最佳机会，今天是最确定的机会，纵横通信，美格智能都是可以做首板的。', '2018-07-16 02:52:24')
('指数在相对低位徘徊后有所回升，大盘股中煤炭表现最好，中小创科技股最活跃，目前5G股整体走高，$纵横通信(SH603602)$ 、$沃特股份(SZ002886)$ 、美格智能、中兴通讯、移为通信等领涨通信股。$上证指数 sh000001$ $华帝股份 sz002035$', '2018-07-16 02:41:04')
('中兴通讯周末重大利好，今天最强的板块就是以其为首的5G通信板块，最好打板的就是意华股份，美格智能，纵横通信，此3股还叠加高送转，本周继续火。', '2018-07-16 02:39:50')
('今天盘面最大的热点是科技股方向，5G表现是中兴通讯制裁解禁利好导致的，意华股份为高度龙头，中兴通讯为板块中军、纵横通信是人气先锋，这个板块基本看这三只股票的脸色，国产替代里面：5G、芯片和软件联动性最强，今天的盘面说实话，真的多亏了国产替代，不然指数这么弱，早把市场带沟里去了。', '2018-07-16 02:36:02')
('沪指和创业板指双双震荡，5G概念股活跃，纵横通信等7股涨停；此外，煤炭、军工、国产软件等板块也涨幅居前；保险、银行、环保板块表现不佳，位于跌幅榜前列。', '2018-07-16 02:21:37')
('#奇点敲股# #牛股发现# 5G很热闹啊.$纵横通信 sh603602$ #超短线牛股#', '2018-07-16 02:11:08')
('发布了头条文章：《603602 纵横通信：主力意欲何为？后期或将这样走！》 \ue627 财经头条文章 \ue627 股票分析 $纵横通信 sh603602$ |603602 纵...', '2018-07-16 02:09:30')
('沪指和创业板指双双震荡，盘面上5G概念股持续活跃，纵横通信等7股涨停；此外，煤炭、军工、国产软件等板块也涨幅居前；保险、银行、环保板块表现不佳，位于跌幅榜前列。截止发稿，沪指下跌0.67%，创业板指下跌0.11%。', '2018-07-16 02:06:30')
('好两极啊一边是买了纵横通信的告诉我爽歪歪，，一边是只买了聚灿光电问我怎么办，，，我看了一下，聚灿周五预告业绩中报亏损1000万左右。但是政府补贴的8000万没算，估计年报盈利。亏损1000万，总股本2亿多股，才几分钱亏损。，，不着急的话就等解套。\ue627 财经第一美女', '2018-07-16 02:05:42')
('朋友们下午好，继续看盘。#上证指数 sh000001[股票]# \ue627 新浪理财师 \ue627 新浪财经股指早盘低位整理，分时先抑后扬，科技股在中兴通讯解禁带动下反弹。由于大盘技术上周右侧底部震荡，可适当轻大盘重给，但要注意仓位。早盘热点——5G概念：意华股份、纵横通信、中兴通讯、美格智能、沃特 ...展开全文c', '2018-07-16 01:05:20')
('#午评# 【今日午评】不出所料，沪指对通线进行了回踩，并在2800附近寻得支撑后小幅反弹，午后继续关注此处的支撑。创业板探底回升，但不排除午后继续下探的可能，关注60分钟分时上的重要位置，通线。板块方面，美国商务部宣布取消中兴禁令，5G概念走强，中兴通讯、意华股份、纵横通信等多只个股涨 ...展开全文c', '2018-07-16 00:44:45')
('纵横通信涨停，上周预测中心通讯见底，周五买的纵横通信涨停，无关消息只是技术', '2018-07-16 00:10:00')
('#上证快讯#【沪深两市涨跌互现 通信板块表现活跃】沪深两市早盘涨跌互现。盘面上，5G概念、国产芯片、国产软件、云计算等科技概念板块全线飘红，纵横通信、美格智能、沃特股份等多股涨停；另一方面，金融以及地产板块表现欠佳，跌幅居前。|沪深两市涨...', '2018-07-16 00:04:47')
('上周五带部分策略用户进场的5G概念策略股603602纵横通信。今天早盘开盘强势拉涨停，目前已经获利9个点以上，大家注意等我指令止盈出局。\ue627 上证指数 \ue627 A股 #金融理财#', '2018-07-15 23:55:19')
('#赢在早盘# 周一早盘指数弱势震荡，盘面偏弱机会不多；富勒烯概念的通产丽星一字三连板，维科技术T字连板，玉龙股份平开连板；锂电池京威股份T字三连板，宁德时代概念的星云股份高开连板，天华超净高开7连板放量回调；中兴通讯解禁复产，意华股份高开三连板，纵横通信高开反包板，中兴通讯高开反包板， ...展开全文c', '2018-07-15 23:34:35')
('【7月16日午评：两市低位震荡，5G通信活跃】早盘沪指和创业板指双双低位震荡，盘面上5G概念股持续活跃，纵横通信等7股涨停；此外，煤炭、军工、国产软件等板块也涨幅居前；保险、银行、环保板块表现不佳，位于跌幅榜前列。短期市场有所反弹，一是外部因素，二是内部来看，最新的社融信贷数据有所回暖， ...展开全文c', '2018-07-15 23:33:38')
('集合竞价准备买纵横通信，想着中兴通讯涨停有点难，就放弃了，结果纵横通信和中兴涨停，后来买了垃圾天邑。早上又把另外一个股搞忘记了，错过了俩次好机会，反正满仓了，最近有点不在状态。。。', '2018-07-15 23:27:54')
('#纵横通信 sh603602[股票]# 这个票不仅今天涨停了，而且最近的5G表现是很不错的，所以是值得继续关注的，所以继续拿着，开板之后再做减仓的操作', '2018-07-15 23:15:42')
('这里面除了中兴通讯，意化股份概念最强，其他的几个当中其实纵横通信要比盛洋科技沾边多点，毕竟是5g 相关基站的，看明天表现了', '2018-07-15 23:02:49')
('【热点解析】股指快速杀跌延续调整，中兴事件彻底尘埃落定，5G（纵横通信、意华股份、中兴通讯）、集成电路（至纯科技、万盛股份）等科技股走强。连板股方面，天华超净冲击七板被砸，绿色动力低开震荡迅速跌停，资金自发高低切换，三变科技四连板成为高度担当，通产丽星（富勒烯）、京威股份（新能源 ...展开全文c', '2018-07-15 22:38:19')
('市场指数出现了弱势的行情，较为疲软，但是通信板块出现了强势的爆发走势，主要是中心通讯的涨停板，带动了市场相关的个股出现了较为强势拉升走势的行情出现。涨势最快的是盛洋科技的爆发涨停，其次是纵横通信的涨停板，中兴通讯是第三只涨停板个股。其次还有移为通信、奥维通信、长江通信都出现了强势 ...展开全文c', '2018-07-15 22:28:46')
('$上证指数 sh000001$ 开盘30分钟5G周末受中兴通讯解禁，开盘再度活跃，龙头意华股份开盘秒封3连板，纵横通信、美格智能随后涨停，权重中兴通讯50万封单涨停，中际旭创、中富通、烽火通信纷纷跟涨。权重方面煤炭板块早盘单边走强，龙头宝泰隆率先涨停，大同煤业涨8%，陕西黑猫、新集能源涨4%，山煤国际 ...展开全文c', '2018-07-15 22:14:16')
('5G股的走势真好看啊。纵横通信三角裤衩的涨停。移为通信周五摸压力今天涨停突破。美格智能三角裤衩后涨停突破双影线。中心通讯更暴力，周五打到压力今天今天高开突破。啧啧啧 其他的也不丑。', '2018-07-15 22:07:27')
('让子弹飞一会 分歧转一致 这是今天地表最强的板[奋斗]中兴通讯是近期最精彩的操作 7.2号买完半小时涨停 7.11号买完 次日涨停 7.13号加仓 今天涨停$中兴通讯 sz000063$ $锐科激光 sz300747$ $纵横通信 sh603602$ $金力泰 sz300225$ $盛屯矿业 sh600711$', '2018-07-15 22:04:06')
('大家对我的鬼脸战法很感兴趣呀感谢$纵横通信 sh603602$', '2018-07-15 22:01:26')
('5G板块开盘再度活跃，中兴通讯大涨8%，意华股份秒板，纵横通信随后涨停，中际旭创、中富通、烽火通信纷纷跟涨。中兴通讯7月15日晚公告，根据美国商务部工业和安全局(BIS)于7月13日(美国时间)发布的命令，BIS已终止2018年4月15日拒绝令并将中兴通讯从《禁止出口人员清单》中移除，上述事项自拒绝令 ...展开全文c', '2018-07-15 21:59:17')
('中兴通讯正式解禁，5G再次走强，纵横通信、宏达电子、意华股份先后涨停，中兴通讯也大涨逾8%，中兴通讯近期可能会出现补涨！', '2018-07-15 21:59:10')
('【大盘：5G概念走强 纵横通信等2股涨停】5G概念7月16日早盘走强，截至发稿，板块指数涨近1%。个股方面，纵横通信(33.500, 3.05, 10.02%)、意华股份(28.820, 2.62, 10.00%)涨停，风华高科(23.540, 1.58, 7.19%)、中兴通讯(15.510, 1.41, 10.00%)涨逾7%，中际旭创(59.560, 2.99, 5.29%)涨逾4%。消息面上 ...展开全文c', '2018-07-15 21:57:45')
('5G概念走强，板块内纵横通信、宏达电子、意华股份涨停，其中意华股份已经连续3涨停，中兴通讯涨幅达将近8%。', '2018-07-15 21:53:44')
('中兴通讯涨近9% 5G概念股走强5G板块开盘再度活跃，中兴通讯H股涨幅扩大至近13%，A股涨9%，意华股份秒板，纵横通信随后涨停，中际旭创、中富通、烽火通信纷纷跟涨。中兴通讯7月15日晚公告，根据美国商务部工业和安全局(BIS)于7月13日(美国时间)发布的命令，BIS已终止2018年4月15日拒绝令并将中兴通 ...展开全文c', '2018-07-15 21:48:48')
('5G板块开盘再度活跃，中兴通讯H股涨幅扩大至近13%，A股涨9%，意华股份秒板，纵横通信随后涨停，中际旭创、中富通、烽火通信纷纷跟涨。$上证指数 sh000001$ \ue627 今日看盘', '2018-07-15 21:43:41')
('中兴通讯H股涨幅一度扩大至13%，在深圳的涨幅为9.2%，带动5G概念走强，纵横通信涨停。但在5G拉升的同时，指数却返身向下走，市场变幻莫测', '2018-07-15 21:41:49')
('5G板块开盘再度活跃，中兴通讯大涨8%，意华股份秒板，纵横通信随后涨停，中际旭创、中富通、烽火通信纷纷跟涨。', '2018-07-15 21:41:16')
('$纵横通信 sh603602$ 这个洗盘洗的漂亮！', '2018-07-15 21:39:45')
('天华超净不及预期，5G继续发酵，意华股份缩量板，纵横通信助攻', '2018-07-15 21:38:48')
('新股最佳申购时间点分解，中签率高达258%，相信坚持的力量！ $纵横通信 sh603602$ $方盛制药 sh603998$ $爱康科技 sz002610$ $华力创通 sz300045$ 姚晓浪的秒...', '2018-07-15 21:32:12')
('68岁上海股神曝:“三不卖七不买”,字字珠玑,背熟5句实现千万本金 $绿城水务 sh601368$ $纵横通信 sh603602$ $通合科技 sz300491$ $富瀚微 sz300613$ 姚晓浪的秒...', '2018-07-13 11:00:48')
('兴业矿业(000426)华天酒店(000428)粤高速A(000429)张家界襄阳轴承(000678)大连友谊(000679)山推股份(000680)视觉中国\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# ...展开全文c', '2018-07-13 02:27:11')
('发布了头条文章：《机构19亿增持，将引爆首席大妖王？纵横通信+友邦吊顶+恒通科技》 $纵横通信 sh603602$ $友邦吊顶 sz002718$ $恒通科技 sz300374$ #股票分析# #今日看盘# #短线牛股# |机构19亿增...', '2018-07-13 02:19:46')
('万一股票出现“钓鱼线”形态，毫不犹豫清仓，否则深度套牢 $通策医疗 sh600763$ $九洲药业 sh603456$ $海汽集团 sh603069$ $纵横通信 sh603602$ 3305079245...', '2018-07-13 01:56:47')
('周五盘前三只标的。绿色动力封死涨停，锐科技光封死涨停。山河药辅秒板被砸死。 手上持仓汉嘉设计冲高7%，早盘集合竞价卖了。周四盘前三只标的：次新锐科激光涨停，周五2连板。特斯拉长盛轴承涨停，周五二连板。5g纵横通信死了。 （威唐工业是看到某大v吹爆了，后来加上去的）手上贬值概念天地数 ...展开全文c', '2018-07-12 23:44:01')
('解票个股形势不稳。股票在线解析，解析格式【成本+代码】在评论栏留言$超频三 sz300647$$广东甘化 sz000576$$山河药辅 sz300452$$纵横通信 sh603602$ \ue627 股票 #微博股票# #今日看盘# #股市~a股~大盘~股票#', '2018-07-12 22:47:54')
('“KDJ+MACD”是A股唯一赚钱指标，牢记五点，再忙也要花3分钟看完 $纵横通信 sh603602$ $神州信息 sz000555$ $新朋股份 sz002328$ $兰太实业 sh600328$ 李域悟看盘...', '2018-07-12 20:09:06')
('今日早间，通讯板块集体反弹走高，天邑股份、中兴通讯和纵横通信开盘涨停，中富通大涨逾9%，中通国脉、欣天科技和润建通信等大幅跟涨关注老周朋友圈F300567', '2018-07-12 08:28:21')
('7月12日早盘，5G概念股表现活跃，截至发稿，除中兴通讯外，新易盛、纵横通信、太辰光也收获涨停，新天科技涨逾6%、东方通信涨逾5%。关注老周朋友圈F300567', '2018-07-12 08:26:59')
('金鸿控股(000669)盈方微(000670)阳光城(000671)上峰水泥\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# #东方环宇 sh603706[股票]# #太辰光 sz300570[股票]# #纵横通信 sh603602[股票]# #天成自控 sh603085[股票]# #至纯科技 sh603690[股票]# #芯能科技 sh603105[股票]# #浩物股份 sz000757[股票]# #融钰集团 sz002622[股票]# 上官诚论股...收起全文d', '2018-07-12 07:55:16')
('湖北广电(000665)经纬纺机(000666)美好置业(000667)荣丰控股\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:54:52')
('ST南华(000660)长春高新(000661)天夏智慧(000662)永安林业\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:54:24')
('金科股份(000656)中钨高新(000657)ST海洋(000658)珠海中富\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:53:45')
('7月12日重点股发布大单流向超短线赫美集团、高风险科沃斯、欣锐科技、锐科激光、森霸传感、深信服、山河药辅、晓程科技、天地数码、天永智能、亿嘉和、环能科技、彤程新材、文灿股份、三联虹普、智动力、威唐工业、绿色动力、纵横通信、欣天科技、亨通光电、京东方、超跌股备选...展开全文c', '2018-07-12 07:53:24')
('格力电器(000651)泰达股份(000652)ST九州(000653)*ST金岭\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:53:22')
('茂化实华(000637)万方发展(000638)西王食品(000639)仁和药业\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:52:58')
('三木集团(000632)合金投资(000633)英力特(000635)风华高科\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:52:30')
('高新发展(000628)*ST钒钛(000629)铜陵有色(000630)顺发恒业\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:52:08')
('吉林敖东(000623)长安汽车(000625)远大控股(000626)天茂集团\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:51:38')
('海螺型材(000619)新华联(000620)*ST比特(000621)恒立实业\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:51:13')
('京汉股份(000615)海航投资(000616)中油资本(000617)吉林化工\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:50:48')
('西安旅游(000610)天首发展(000611)焦作万方(000612)大东海A\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:50:24')
('顺利办(000606)华媒控股(000607)阳光股份(000608)中迪投资\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:49:53')
('韶能股份(000601)金马集团(000602)盛达矿业(000603)渤海股份\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:49:36')
('东北制药(000597)兴蓉环境(000598)青岛双星(000599)建投能源\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:49:28')
('超频三，贵州燃气，万兴科技，华锋股份，宏川智慧\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# #东方环宇 sh603706[股票] ...展开全文c', '2018-07-12 07:48:18')
('黔轮胎A(000589)启迪古汉(000590)太阳能(000591)平潭发展\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:47:29')
('*ST东电(000585)汇源通信(000586)金洲慈航(000587)PT粤金曼\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:46:52')
('威孚高科(000581)北部湾港(000582)S*ST托普(000583)哈工智能\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:46:31')
('泸州老窖(000568)长城股份(000569)苏常柴A(000570)新大洲A\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:45:38')
('供销大集(000564)渝三峡A(000565)海南海药(000566)海德股份\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:45:12')
('我爱我家(000560)烽火电子(000561)宏源证券(000562)陕国投A\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:44:53')
('PT南洋(000556)西部创业(000557)莱茵体育(000558)万向钱潮\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:44:25')
('靖远煤电(000552)沙隆达A(000553)泰山石油(000554)神州信息\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:43:34')
('湖南投资(000548)S湘火炬(000549)江铃汽车(000550)创元科技\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:43:07')
('中原环保(000544)金浦钛业(000545)金圆股份(000546)航天发展\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:42:37')
('中天金融(000540)佛山照明(000541)TCL通讯(000542)皖能电力\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 07:38:15')
('行情暴跌个股筹码已经出现了异常，不知道是出是留?投资股票可以加wei信：wangshi5202010，指导最佳买卖点和解套方法，总可以为你指点迷津，纵横通信(sh603602) 联合光电(sz300691) 双一科技(sz300690) 创业黑马(sz300688) 澄天伟业(sz300689) 中国出版(sh601949)', '2018-07-12 03:58:52')
('发布了头条文章：《机构15亿增持，7月首席妖王冠绝A股！思维列控+长江通信+纵横通信》 #股票分析# #今日看盘# #财经趣闻# $思维列控 sh603508$ $长江通信 sh600345$ $纵横通信 sh603602$ |机构15亿增...', '2018-07-12 03:27:13')
('发布了头条文章：《走势以及操作技巧精准解析：纵横通信+翔港科技+金奥博+深信服》 $纵横通信 sh603602$ $翔港科技 sh603499$ $金奥博 sz002917$ $深信服 sz300454$ |走势以及操...', '2018-07-12 02:59:09')
('华映科技(000536)广宇发展(000537)云南白药(000538)粤电力A\ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# #明德生物 sz002932[股票]# ...展开全文c', '2018-07-12 02:30:13')
('发布了头条文章：《妖股逻辑拆解：超频三，贵州燃气，万兴科技，华锋股份，宏川智慧》 \ue627 股票分析 \ue627 股票 #大通燃气 sz000593[股票]# #意华股份 sz002897[股票]# #鼎信通讯 sh603421[股票]# #华昌达 sz300278[股票]# #江苏新能 sh603693[股票]# #天邑股份 sz300504[股票]# ...展开全文c', '2018-07-11 23:18:12')
('发布了头条文章：《601600 中国铝业：意外惊喜要重演 这回不怕买错卖错!》 \ue627 财经头条文章 \ue627 股票分析 $中国铝业 sh601600$ $纵横通信 sh603602$ |601600 中...', '2018-07-11 23:07:11')
('$中兴通讯 sz000063$ AH股均大涨，中兴通讯H股高开14.9%，A股一字涨停，5G板块开盘异动，太辰光、纵横通信、天邑股份一字涨停，科创新源、中富通等多股大涨。消息面上：美商务部与中兴通讯达成协议，取消制裁。此前有报道称美国已经与中兴签署协议，取消近三个月来禁止美国供应商与中兴进行商业往来的 ...展开全文c', '2018-07-11 22:53:42')
('#今日看盘#我在#新浪理财师#发布了投资观点【出货的个股积极减仓，炸板个股不断。】天邑股份、文灿股份、绿色动力、纵横通信炸板，控制仓位 明天又周五 大概率有捡便宜筹码的机会 *仅供参考*今日策略如下 网页链接', '2018-07-11 22:53:12')
('对于今天的5G，还有昨天的特斯拉看法基本是一致的，没法做，能做进去的都是套er，好票做不进去，如果要是潜下心找好票来做中线，还是可以的，我们看5G里面，纵横通信已经炸板，除了涨停板的个股以外，不是冲高回落就是高开低走，能做进去的票就是套，大家可以参照今天的特斯拉。', '2018-07-11 22:40:19')
('我们看5G里面，纵横通信已经炸板除了涨停板的个股以外，不是冲高回落就是高开低走能做进去的票就是套，大家可以参照今天的特斯拉', '2018-07-11 22:38:39')
