('A股历史上的底部：股价底，经济底，估值底 那个先来？$跃岭股份 sz002725$$保利地产 sh600048$$海南瑞泽 sz002596$ 杨超分析的...', '2018-07-24 08:29:18')
('股友们，直播间重点潜伏的跃岭股份002725再次的冲击涨停板，不过由于龙头超频三出现跳水的举动，因此建议大家注意，如果今日不继续的封死涨停板，就建议大家先止盈吃肉先。', '2018-06-27 22:17:24')
('关于半年报高送转，首先，晓程科技直接四板，但是我分析了，这个股目前市场上并没有完全当做这个题材在炒，有部分分流去了芯片，跟风最紧的芯片是跃岭股份，其次是友讯达。所以这个股对半年报高送转题材的带动作用有限，那就主要看金奥博和振静股份的，早盘两个股都在消化昨天的大阴线中，没封板，热度 ...展开全文c', '2018-06-27 22:15:04')
('实力见证，sz002725(跃岭股份)周二盘前给大家公开提示二次参与机会，并提示大家短线还有活跃空间，昨日成功逆市涨停板，，目前继续拉升上涨6个点左右，自周二提示机会后有跟上的朋友这里看见20%左右利润，实力大家看得到，恭喜跟上步伐的朋友继续扩大利润。\ue627今日看盘 \ue627投资达人说 ...展开全文c', '2018-06-27 22:12:50')
('\ue627 今日看盘 \ue627 微博股票 \ue627 期权近期的妖股诸如超频三，跃岭股份。红宇新材，三联虹普，晓程科技、华纺股份等均是持续上涨，今天超频三终于是跌了', '2018-06-27 22:11:58')
('跃岭股份我说此股已成妖，如何？昨天说他至少还有15个点的上涨，也差不多了，后面的话，自求多福吧！谁还敢去追，不追还涨，追了就跌', '2018-06-27 22:11:32')
('盘面还有一只趋势股也是走的很漂亮的，$跃岭股份 sz002725$ ，贴着均线上移，这个也是很强悍的', '2018-06-27 22:10:44')
('盘前提示了两支股，开盘都出现了极好的买点，现在两股都走强，一支是$红宇新材 sz300345$ ,开盘不久后涨停封板，强势两连板。另一支是$跃岭股份 sz002725$ ，低一后走强，低开后走强。选股真是没话说，早盘一直在卖股（昨天手上持股过多），先处理好手上的个股再买股。现在盘中等机会，不着急。', '2018-06-27 22:06:58')
('10：01 漂亮，创业板这节奏大家喜欢吗？今日股指真的还是出现了抵触点，也就是说2780点附近的支撑有效，接下来大家就要看着一波反弹的力度怎么先。#跃岭股份 sz002725[股票]#', '2018-06-27 22:02:37')
('9：54 创业板继续领涨强势活跃，中小盘继续领先权重蓝筹，这开盘一幕真是闹剧，这速度来回玩玩的投资者开盘就找不到方向了，好玩就会有意思，指不定今天盘口直接抵触反弹出现呢？大家注意这个节点的到来。#跃岭股份 sz002725[股票]#', '2018-06-27 21:54:57')
('老股民豪言：炒股20年坚持只用一个指标，从未亏损，太绝了！$鹏鹞环保 sz300664$ $世名科技 sz300522$ $跃岭股份 sz002725$ $远望谷 sz002161$ 汪哥论市的...', '2018-06-27 21:53:30')
('延续昨日大跌，今天继续低开开盘，低开后再次下探，继续留意好次新板和超跌品种的低吸机会，晓程科技 欣锐科技 已经连续三天三个涨停了，晓程科技 更是连续四个涨停晋升新龙头，强悍！次新板个股 如 新疆火炬，泰永长征，振静股份，金奥博，路畅科技，跃岭股份，阿科力，阿石创，晶华新材，森霸传 ...展开全文c', '2018-06-27 21:52:33')
('002725 跃岭股份 参考点位：12.50-60附近300715凯伦股份 参考点位：23.70-24区间 |柳州·南亚...', '2018-06-27 21:32:43')
('利好消息：中国软件 跃岭股份 贵州茅台 刘庆谈财的...', '2018-06-27 21:17:12')
('3、晓程科技如果四板，会带动芯片走强，进一步带动贸易战概念股走强。其中，芯片叠加高送转的有：必创科技，跃岭股份，友讯达，富满电子，江化微，还有个华锋股份老妖反抽，如果今天没反应大家手里还有的可以离场了', '2018-06-27 21:15:52')
('新股与次新股绿色动力、锐科激光、欣锐科技、金奥博、锋龙股份新能源汽车概念安凯客车、京威股份、浩物股份、迪生力、今飞凯达、科泰电源、猛狮科技高送转填权雄帝科技、盛弘股份、三联虹普、凯伦股份、跃岭股份超跌股 ...展开全文c', '2018-06-27 21:13:21')
('$跃岭股份 sz002725$猎牛点评：近期活跃股，今日涨停创近期新高，具有高送转+汽车配件概念。短线可看高一线。', '2018-06-27 21:10:46')
('【周三热点复盘】新能源汽车：欣锐科技、盛弘股份、京威股份、安凯客车、浩物股份、合康新能、今飞凯达、迪生力、锋龙股份、跃岭股份、科达利、猛狮科技、科泰电源、晶瑞股份填权：超频三、盛弘股份、科达利、今飞凯达、迪生力、晶瑞股份、跃岭股份、长川科技、必创科技、凯伦股份、双一科技人民币 ...展开全文c', '2018-06-27 21:09:51')
('|上一波尾盘... #牛股推荐#\ue627 收盘说说 $跃岭股份 sz002725$ $华纺股份 sh600448$', '2018-06-27 21:09:22')
('今天关注#红宇新材 sz300345[股票]# ，8.18能不能突破很重要，一旦突破就奔向涨停，另外是#跃岭股份 sz002725[股票]# ，#智动力 sz300686[股票]# 公布登记日时间，但该股登记日行情好不好还不清楚，现在很多都是做除权后行情，登记日几天走势并不是很好，横盘比较多，但该股除权后你一定要买，登记日不 ...展开全文c', '2018-06-27 21:06:34')
('发表了博文《利好消息中国软件跃岭股份春兴精工安凯客车》写写停停，距离自己写第一篇文章的时间已经过去了有好几年了，看着文章的内容也是一天一变，每天进步一小点，几年后再回首，发现自己的能力提升的确是非常之|利好消息中...', '2018-06-27 21:04:06')
('2798.80点是大盘这一次有可能成为绝对低点的试探点位观察三天站稳则成立--002725跃岭股份 晓程科技 东方嘉盛 友讯达 盛弘股份 星网宇达 京泉华 会畅通讯 广和通!      大盘昨天虽然没有走出博主预期的大阳线收盘，但是其中个别细节的密码已经悄无声息被博主细心发掘到了，下跌40余点而且创新低 ...展开全文c', '2018-06-27 21:03:33')
('8：54 券商、期货以及基金它以前就会缴纳监管费，此次是国家对他们的减负，从今年到2020年末不再征收，没有提及个人投资者，这则消息是利好，利好市场，利好券商的，利好期货公司的，但粗略估算省下的钱不是太多（与净利润对比），所以利好程度有但一般#跃岭股份 sz002725[股票]#', '2018-06-27 20:56:12')
('今天消息面主要吸引眼球的是国内方面，两部委：三年内暂免券商、基金、期货公司机构监管费，外围市场方面美油涨逾3%创三年半新高 纳指跌破7500点，大家注意到盘面情况没有，这两条消息与盘面上蠢蠢欲动的两桶油以及频频抽筋式拉升的券商板块有着密切关联，由此看来2800点多空之间的博弈可能要加剧，凡 ...展开全文c', '2018-06-27 20:53:10')
('今天继续低吸了债转股天津普林。亚夏出了一半。加仓跃岭股份，看好明天继续强势。晓程科技原仓位没动，看好明天继续封板。雪浪科技昨天预转送龙二，今天选择它试错失败。超频三整天没有低于三个点，坚持昨晚的策略，没加仓。龙虎榜显示欢乐海岸加仓。说实话，欢乐海岸情节深入我心，但总觉得到了博傻阶 ...展开全文c', '2018-06-27 12:09:18')
('【盘中主要热点题材及点评】1、 人民币贬值纺织：华纺股份、嘉麟杰、华升股份、孚日股份外销：迪生力、锋龙股份、新潮能源、跃岭股份...展开全文c', '2018-06-27 10:47:52')
('6月27日重点股发布大单流向超短线高风险友讯达、华自科技、中信建投、亿嘉和、宁德时代、集泰股份、金奥博、福达合金、阿石创、南京证券、汉嘉设计、盛弘股份、锋龙股份、延华智能、跃岭股份、金力泰、振静股份、猛狮科技、宏川智慧、文化长城、新潮能源、超跌股备选 ...展开全文c', '2018-06-27 10:37:23')
('人民币贬值纺织：华纺股份、嘉麟杰、华升股份、孚日股份外销：迪生力、锋龙股份、新潮能源、跃岭股份点评：随着人民币贬值势头加剧相关概念股迎风而起，且由昨天的纺织股延伸到出口业务占多的外销股。这个方向延伸后把握难度其实在加大，毕竟涉及的个股太多，至于 ...展开全文c', '2018-06-27 10:29:03')
('中国股市泄露两大内幕消息：幸福来的太突然！$跃岭股份 sz002725$$保利地产 sh600048$$海南瑞泽 sz002596$ 江雅凡分析...', '2018-06-27 10:25:25')
('惊现一爆炸性信号：扯开股市神秘面纱，A股接下来要疯！$跃岭股份 sz002725$$保利地产 sh600048$$海南瑞泽 sz002596$ 杨超分析的...', '2018-06-27 10:16:48')
('为什么股票会尾盘急速拉升？揭秘鲜为人知的秘密，不想亏钱必看#跃岭股份 sz002725[股票]# 颂娟评股的...', '2018-06-27 09:56:55')
('$跃岭股份 sz002725$ 周期暴力突破，后市上涨！', '2018-06-27 09:37:39')
('发布了头条文章：《板哥复盘6.27 锁定这些主流把握妖股行情！（附股票池）》 板哥股票池（不构成操作建议，仅供参考）：$超频三 sz300647$ 、$晓程科技 sz300139$ 、$华纺股份 sh600448$ 、$三联虹普 sz300384$ 、$跃岭股份 sz002725$ 。 |板哥复盘6....', '2018-06-27 09:37:18')
('汉嘉设计，欣锐科技，超频三，猛狮科技，宏川智慧，星云股份，晓程科技，华纺股份，神州信息，三连虹普，锋龙股份，跃岭股份，红宇新材', '2018-06-27 09:30:05')
('跃岭股份今天突破前高涨停，明天行情大家看好不', '2018-06-27 09:04:15')
('老铁！双板$跃岭股份 sz002725$ ➕$晓程科技 sz300139$', '2018-06-27 08:43:26')
('发布了头条文章：《6月最后的机会：锐科激光 汉嘉设计 今飞凯达 跃岭股份 》 |6月最后的...', '2018-06-27 07:23:00')
('资金情绪转-$超频三 sz300647$ 明日需要落后，$盛弘股份 sz300693$ 均量快接二连。双题材$跃岭股份 sz002725$ 接4天3板$欣锐科技 sz300745$ 可带 2个附属性 汽车配件和 新开板次新', '2018-06-27 05:17:55')
('A股神秘高手爆KDJ买卖点技巧 学会一招精准买卖$跃岭股份 sz002725$ $保利地产 sh600048$ 金花财经的...', '2018-06-27 04:56:46')
('开盘可以买些跃岭股份\ue627 今日看盘', '2018-06-27 04:27:54')
('[瓢虫]盘后闲聊：今天市场下跌很猛，昨天就提示过小票不怎么跟跌，并且到在下跌时，次新小票还在不断踊跃上攻。像这两天操作的小票涨停：跃岭股份，拉升强势的星网宇达、嘉城国际等，因此我们认为现在可以继续操作小票，不可碰大盘股。[西瓜]对于明天操作小票，不知道如何选股的，可以联系助理要票 ...展开全文c', '2018-06-27 04:15:50')
('今天涨停56个 自然涨停43个，曾跌停9个跌停22个炸板32个首板31 只二连板10只三连板6只猛狮科技7天5板(超跌+锂电池) ...展开全文c', '2018-06-27 04:03:02')
('这行情 必须买涨停积极分子 猛狮跃岭 一买一个准阿科力涨几天了 你不累吗 成功被你勾引 $猛狮科技 sz002684$ $跃岭股份 sz002725$ $阿科力 sh603722$ 防火防盗防周四', '2018-06-27 03:57:50')
('今日我的早盘，$跃岭股份 sz002725$ ，收盘涨停。', '2018-06-27 03:46:19')
('实时播报：【6月27日资金流向】主力净流入行业板块前五：采掘服务、基础化学、纺织服饰、农业服务、公交主力净流入概念板块前五：可燃冰、油品改革、页岩气、天然气、共享单车主力净流入个股前十：中信建投、红宇新材、猛狮科技、中国石化、超频三、晓程科技、盛弘股份、长川科技、友讯达、跃岭股份', '2018-06-27 03:36:07')
('$跃岭股份 sz002725$ 涨停，很强势！看来是趋势不死，跟风不止啊！这次又是激进派胜一筹了，还持有的朋友恭喜了，利润扩大化~', '2018-06-27 02:59:20')
('在这一波幸存下来的股友们，昔风发现一只很不错的潜力次新股，走势有望复制跃岭股份的疯狂，两周上涨30%，不过为了不影响主力操盘，故不在博里公开推荐，有兴趣想要了解的股友＋gdxf888 希望大家投资顺利！', '2018-06-27 02:58:23')
('晓程科技（300139）及跃岭股份（002725）两只股涨停，几乎每一天都有股票涨停，在如此明显下跌的行情里可以实实在在选到与操作到两只涨停的个股，应该算是不错的呀！如果还有第三只，应该是那一只呢？午盘真希望是永创智能（603901），当然不能只是希望期待，要看市场的认同与否。其实，东方嘉盛（0028 ...展开全文c', '2018-06-27 02:55:12')
('我在微信群推了五只股票，快意电梯，跃岭股份，盛宏股份，星网宇达，会畅通讯，竟然今天三只涨停，我这是要炸了', '2018-06-27 02:54:14')
('我们的外贸股题材金股002725跃岭股份拉板，继续新高。', '2018-06-27 02:52:29')
('现在你们回头看$跃岭股份 sz002725$ 跃岭股份，是不是6月19日当时建议买的点位也不高？\ue627 新浪理财师 \ue627 今日股市 \ue627 微博股票', '2018-06-27 02:52:12')
('002725 跃岭股份 恭喜跟进的朋友', '2018-06-27 02:51:21')
('放飞了 $跃岭股份 sz002725$ #投资达人说#', '2018-06-27 02:49:39')
('提醒的个股都很抗跌，哪怕指数跌的时候他们也是稳健走势，指数一反弹他们就反弹更稳健，大家注意到了没有，跃岭股份002725$继续的封死涨停板，这样的个股大家觉得如何。', '2018-06-27 02:49:09')
('今天及时雨提醒的多数个股都很抗跌，哪怕指数跌的时候他们也是稳健走势，指数一反弹他们就反弹更稳健，大家注意到了没有，$跃岭股份 sz002725$继续的封死涨停板，这样的个股大家觉得如果，要不要给及时雨一个大大大拇指呢？', '2018-06-27 02:47:12')
('一直跟踪的 002725 跃岭股份 逆势拉涨停了，昨天也都强调看好该股短期空间的，强者恒强恭喜跟进的朋友， 软件板块个股尾盘也发威。中国软件 再次拉升在涨停 带动软件板块个股上涨，浪潮软件，创业软件，卫士通，湘邮科技 等都有回升，软件板块是属于超跌品种，已经有两天持续走势了#原创首发# ...展开全文c', '2018-06-27 02:45:49')
('昨天尾盘让老伴去买跃岭股份他也跑早了', '2018-06-27 02:43:19')
('跃岭股份，又一次在暴跌中接近尾盘拉升涨停', '2018-06-27 02:43:10')
('高送转这方面，有两派资金，一是中报高送转预期，二是高送转填权。昨天是中报高送转预期个股强，今天是高送转填权强，从友讯达，跃岭股份，超频三这些表现都看得到。而阿科力之所以要布局是因为贸易摩擦并没有结束，后期如果有资金炒这一块，它走成龙头的话，我们提前潜伏的不就又能吃口肉了。 布局适 ...展开全文c', '2018-06-27 02:21:12')
('大盘给出杀跌信号，开盘将直取3800点，这就是你想看到的大牛行情！$跃岭股份 sz002725$ 金花财经的...', '2018-06-27 01:59:07')
('午评:指数回落，主要是人气股封板不稳，同时权重股砸盘造成。所以也提醒了不要追高。但是个股还是有赚钱机会，只是节奏要加快，开盘说的跃岭股份目前还不错，今天也出不去，就晚上复盘再定明天策略。世名科技到了目标位28.9，也吃肉了，有的可以自由操作，护送至此，其余的就下午再看。#今日看盘[超话] ...展开全文c', '2018-06-27 01:46:43')
('跃岭股份应该没有走完，高抛后，明日可能还会等机会低吸。$跃岭股份 sz002725$', '2018-06-27 00:43:41')
('跃岭股份今天看来又是奔着涨停去的！这股天天都有买点！', '2018-06-26 23:30:23')
('跃岭股份今日继续反弹拉升了，该股我们昨日高位推荐高抛了，今日继续拉升，还没出的朋友可以继续高抛了，落袋为安为好！激进的朋友想持有也可以继续持有。@微博股票 #今日看盘# $中兴通讯 sz000063$ #投资达人说 # $猛狮科技 sz002684$', '2018-06-26 23:29:11')
('新能源车概念继续表现强势#欣锐科技 sz300745[股票]# 继续大涨 小龙头，#跃岭股份 sz002725[股票]# 早盘回踩又拉起来了，没回接有有点可惜，不追高。地产3大利空影响下继续大跌，我们的#沙河股份 sz000014[股票]# 逆势冲板已经是非常幸运了，锁定利润防补跌吧。钢铁煤炭继续被拖累，逢低是机会。', '2018-06-26 23:21:24')
('#投资达人说# #今日看盘# @微博股票 $猛狮科技 sz002684$ $乐视网 sz300104$ 跃岭股份有要突破的意思呀，6个点了。', '2018-06-26 23:19:21')
('前天卖出阿科力，今天开盘11.89买进15手，希望能继续上涨，继续。 #跃岭股份吧#：网页链接 (分享至@新浪股吧)', '2018-06-26 23:05:47')
('晓程科技、星网宇达、会畅通讯、跃岭股份，四大金刚。反复轮做这几个，其它的不用看', '2018-06-26 23:03:46')
('星网宇达，继续拿，盛宏股份涨停，买进的恭喜啦，跃岭股份还有差不多15个点的上升空间', '2018-06-26 22:46:53')
('一位顶级操盘手的均线秘籍：此线往上拐，回踩坚决买！大道至简#跃岭股份 sz002725[股票]# 彭曲评股的...', '2018-06-26 22:23:19')
('$跃岭股份 sz002725$ 成妖了，大盘大跌时也很顽强，后市还有反复活跃机会', '2018-06-26 22:23:02')
('怎么用集合竞价选股？比集合竞价抓涨停收益更高的选股技巧！$宇环数控 sz002903$ $跃岭股份 sz002725$ $申通快递 sz002468$ $乐普医疗 sz300003$ 马旷盈的秒...', '2018-06-26 21:51:21')
('会畅通讯、跃岭股份和晓程科技，活跃股中的极品。涨幅不大，赚钱机会巨多。', '2018-06-26 10:18:44')
('A股最全庄家洗盘信号：一旦牢记 永不被庄家洗出局！$红宇新材 sz300345$ $跃岭股份 sz002725$ $阿科力 sh603722$ $宁德时代 sz300750$ 胡亦彰的秒...', '2018-06-26 08:49:29')
('6月26日重点股发布大单流向超短线格林美、高风险福达合金、科锐国际、星网宇达、路畅科技、森霸传感、跃岭股份、翔港科技、亿嘉和、欣天科技、当升科技、工业富联、智动力、阿石创、宁德时代、京泉华、晓程科技、世名科技、澄天伟业、亚夏汽车、地素时尚、宏川智慧、 ...展开全文c', '2018-06-26 08:25:06')
('牛股形态骤然爆发：$中国神华 sh601088$ $民生银行 sh600016$ $康美药业 sh600518$ $跃岭股份 sz002725$ \ue627 股票分析 #财经头条# #财经趣闻# 期待词组宁...', '2018-06-26 05:21:29')
('超级涨停潮震撼登场！$兖州煤业 sh600188$ $苏宁易购 sz002024$ $农发种业 sh600313$ $跃岭股份 sz002725$ \ue627 股票分析 #个股推荐与走势分析# #短线牛股# 可以鲜嫩恬...', '2018-06-26 05:01:30')
('广和通和跃岭股份脉冲全出.缩小仓位.早盘错过了世嘉科技和川金诺.还是谨慎点没错.尾盘入了个超跌票.熊市踏好节奏.毕竟大盘继续破位.棚改让权重带坏了指数.创业板还是走的可以的.', '2018-06-26 03:17:50')
('持续跟踪关注的跃岭股份是不是也很强？昨日尾盘逆势拉板，今日午后继续从绿盘拉升至5个多点，强中至有强中手，牛逼！不过该股目前已经面临压力位了，建议逢高减仓较好。@微博股票 #牛股推荐# $中兴通讯 sz000063$ #今日看盘# $猛狮科技 sz002684$', '2018-06-26 01:51:14')
('掌声呱唧呱唧！sz002725(跃岭股份)（002725）直线启动，拉升大涨6个点，漂亮，跟着亚林步伐走的朋友感觉是不是很爽呢？早盘盘前公开提示把握二次操作机会，有低吸的朋友这里轻松看见10%利润，实力见证。点赞表示一下。#牛股推荐# #沪港通# @微博股票 $中兴通讯 sz000063$ $猛狮科技 sz002684$', '2018-06-26 01:35:08')
('朋友们早盘推荐(跃岭股份)低开3个多点！目前翻红拉升5个多点恭喜把握的朋友！佛山帮派，擅长接力新股，N字板，低位首板，翘跌停板，有熊市指路明灯之称，果然不错#世界杯吐槽大会# #一起迷世界杯# #创造101#网页链接', '2018-06-26 01:33:30')
('跃岭股份妖股资质已经具备，星网宇达完美拉升，从此要开启上升之路！！', '2018-06-26 01:29:20')
('蓝筹股补跌，高位股补跌是今天上午最典型的特征。该来的终归回来，一旦杀跌杀伤力不小，有的高位股近期持续不断地大幅杀跌都是很惨烈的。连权重蓝筹都可以大跌，那那些高位非权重的跌起来就会更凶狠。而短期前期超跌的中小题材则展开了修复反弹，近期提醒的跃岭股份002725再次疯狂。', '2018-06-26 01:23:33')
('跃岭股份低吸的没毛病。', '2018-06-26 01:17:02')
('跃岭股份（002725）午后开盘翻红了，昨日我们获利5个点止盈后，亚林今日早盘盘前再次提示把握二次参与机会，早盘最低4个多点，这里翻红，有把握低吸的朋友看见5个点利润，另外一直 邦宝益智（603398）也翻红上涨1个多点，早盘最低2个多点，这里看见3个点利润，朋友们点赞的热情高一点，拉上大涨去。 ...展开全文c', '2018-06-26 01:14:53')
('靠，$晓程科技 sz300139$ 都妈的连板了。$跃岭股份 sz002725$ 还没翻红。佛山早盘也不知道往上打一笔。', '2018-06-26 01:09:19')
('sz002725(跃岭股份)早盘墨迹了一早上，开盘最低下跌4个多点，目前跌一个点，有三个点获利，昨日我们止盈后今日提示二次机会的个股，看看今日能否被资金挖掘出来。', '2018-06-26 00:45:56')
('跃岭股份（002725）早盘墨迹了一早上，开盘最低下跌4个多点，目前跌一个点，有三个点获利，昨日我们止盈后今日提示二次机会的个股，看看今日能否被资金挖掘出来。#沪港通# #牛股推荐# @微博股票 $中兴通讯 sz000063$ $猛狮科技 sz002684$', '2018-06-25 23:15:58')
('盘前心水潜力股：sz002725(跃岭股份)上周五老严盘前推荐关注的个股，昨日涨停板，我们在获利5个点左右止盈出来了，短线有望继续活跃，关注二次机会。', '2018-06-25 21:27:39')
('跃岭股份（002725）上周五直播瑞雯推荐关注的个股，昨日涨停板，我们在获利5个点左右止盈出来了，短线有望继续活跃，关注二次机会。#牛股推荐##沪港通# @微博股票 $中兴通讯 sz000063$ $猛狮科技 sz002684$', '2018-06-25 21:24:43')
('几个除权股也要关注：#集泰股份 sz002909[股票]# 、#会畅通讯 sz300578[股票]# 、#跃岭股份 sz002725[股票]# 、#广和通 sz300638[股票]# 等前期除权股。', '2018-06-25 21:10:09')
('6、跃岭股份(002725)：龙虎榜显示湘财佛山祖庙路扫板买入2397万。5月28日当天的大油条阴线是重压力位，今日封单并不牢靠也就再一次佐证了明天又要再次面临这个位置的压力了，所以参与意义并不大。', '2018-06-25 20:52:37')
('一旦股价出现“跌停式”试盘，必定是大牛股，成功率达百分百！ $泰格医药 sz300347$ $宇环数控 sz002903$ $跃岭股份 sz002725$ 马旷盈的秒...', '2018-06-25 18:33:30')
('49岁杭州女股民讲透了“K线的线上阴线买，线下阳线抛”，太绝了$宏辉果蔬 sh603336$ $莱茵体育 sz000558$ $跃岭股份 sz002725$ $阿科力 sh603722$ 胡亦彰的秒...', '2018-06-25 18:20:44')
('A股唯一能盈利20年王者指标——“线上阴线买”，股市就是印钞机 $跃岭股份 sz002725$ $天目药业 sh600671$ $厦门钨业 sh600549$ $网宿科技 sz300017$ 我的小蜗牛...', '2018-06-25 12:33:07')
('6月25日重点股发布大单流向超短线高风险智动力、亚夏汽车、世名科技、淳中科技、振静股份、晓程科技、中大力德、欣锐科技、星网宇达、森霸传感、宏川智慧、邦宝益智、威星智能、阿石创、跃岭股份、翔港科技、路畅科技、金奥博、欣天科技、延华智能超跌股备选长园集团、ST天马、金力泰、奥瑞德、 ...展开全文c', '2018-06-25 12:01:12')
('千股跌停二连板.明天你说板不板$跃岭股份 sz002725$', '2018-06-25 11:56:00')
('跃岭股份明天如果高开在12.3之上，估计会很快起飞，涨停！', '2018-06-25 11:52:44')
('上次我说过跃岭股份有成妖的苗头，今天这个涨停也许就是开端，未来还会继续上涨，涨幅多少不敢判断，至少10几个点还是有的，还是那句话，他就是能翻翻，我也不追', '2018-06-25 11:49:43')
('填权+锂电：超频三、星云股份填权+超跌：高升控股、陕西金叶次新+石油涨价：宏川智慧、阿科力开板新股：欣锐科技、亿嘉和填权+汽配外销：跃岭股份填权+智能制造：威星智能次新+填权+芯片：阿石创 ...展开全文c', '2018-06-25 10:56:45')
('发表了博文《偶遇龙头股：龙虎榜解析，游资大佬放豪言（附股名单）》佛山帮佛山佬今天买入跃岭股份2397万，该股之前多次上过龙虎榜，也点评过，说过该股股性是十分活跃|偶遇龙头股...', '2018-06-25 10:54:32')
('关注股池新股：宁德时代、药明康德、宏川智慧、亿嘉和送转+业绩：新余国科、创业黑马、中大力德超跌：猛狮科技、冀凯股份新能源+填权：超频三、星云股份、川环股份rmb贬值：振静股份、延江股份其它：红宇新材、星网宇达、亚夏汽车、跃岭股份、乐视网', '2018-06-25 10:30:03')
('今天航空股大跌，纺织板块大涨，rmb大跌消息的影响，短期消息刺激的。myz那边，芯片，农业尾盘还有拉升动作，晓程科技、跃岭股份、宏辉果蔬等，也是加剧尾盘指数加速回落的情绪。中兴通讯终于开板了，老章的5亿割了一身血。金融去杠杆大环境下，保险银行等金融资产也是一路向南的走势。上证50再创新 ...展开全文c', '2018-06-25 10:19:03')
('每天复盘功课是必须的，思路会逐步清晰。地产杀跌的逻辑是利好预期落空，因为降准定向给特定的债转股企业，我们都粗心了。还好我们的股票都比较坑跌，多只冲板，比较幸运。经过今天的再次挑战，指数又会到2852，那分时上就完成调整五浪周期，所以不需要悲观，估计郭家队又会有动作。就目前资金流看，情 ...展开全文c', '2018-06-25 09:45:15')
('晓程科技，广和通，跃岭股份，可立克回头一看个个都是绝色佳人，每一个动作都是那么到位和得体，教你欲罢不能。', '2018-06-25 08:53:34')
('发布了头条文章：《跃岭股份(002725)：神秘资金悄然筑底建仓，趋势开启股价将翻倍拉升！》$跃岭股份 sz002725$ #跃岭股份 sz002725[股票]# \ue627 微博股票 |跃岭股份(0...', '2018-06-25 08:07:01')
('今日热门概念股一览送转填权高升控股、川环科技、星云股份、阿石创、跃岭股份、超频三、威星智能高升控股（000971）：超跌填权+主力自救２板$上证指数 sh000001$', '2018-06-25 07:29:17')
('行家看门道，立本看热闹。@北京豪哥888:六月量化股今天8支涨停板:集泰股份，阿石创，威星智能，世名科技,森霸传感，跃岭股份,星网宇达,晓程科技。其中世名科技,森霸传感,星网宇达,晓程科技,跃岭股份,集泰股份是前几天发布过的今天又板的，更牛的是集泰股份今天是第2个地天板。', '2018-06-24 07:58:23')
('豪哥分享-----每周大盘晴雨表（留个资料）发布时间：2018.06.24.20:08. <豪哥工作室>诚邀天使投资人。跟我合作有多种方式：一、做天使投资人每年分红。二、代客理财给固定回报，年化收益率18%。三、代客操盘，用你的账户我来炒，一票一结三七分。四，指导操盘，一票一算三七分成。', '2018-06-25 07:01:41')
('目前持仓，五成$星网宇达 sz002829$ ，两成$国民技术 sz300077$ ，两成$福达合金 sh603045$ ，看起来卖飞了$跃岭股份 sz002725$ ，没有按照系统之行卖出，因为$国民技术 sz300077$ 是确定性交易，在当前市场环境，芯片股值得投资', '2018-06-25 05:31:32')
('$跃岭股份 sz002725$ 辛苦佛山了。。明天你先走。', '2018-06-25 05:02:09')
('$猛狮科技 sz002684$ $跃岭股份 sz002725$ $阿科力 sh603722$ $怡达股份 sz300721$ $宏川智慧 sz002930$ 涨停就行', '2018-06-25 03:53:57')
('发布了头条文章：《跃岭股份002725：盘面迎接第二春，令小散退而却步，该怎么把握！》\ue627 财经头条文章 \ue627 股票分析 $跃岭股份 sz002725$ 跃岭股份002725：盘面迎接第二春，令小散退而却步，该怎么把握！ |跃岭股份00...', '2018-06-25 03:22:58')
('超频三开板几次，明天涨停关黑屋，资金谨慎了，大幅减仓后，换成另外两个。低吸？不可能低吸，这辈子都不会低吸！因水平太次。$跃岭股份 sz002725$ $集泰股份 sz002909$', '2018-06-25 03:19:21')
('发布了头条文章：《跃岭股份(002725)：震荡只为蓄势，后市有望持续拉升！》 $跃岭股份 sz002725$ \ue627 微博股票 \ue627 牛股推荐 \ue627 新浪理财师 \ue627 股票推荐 |跃岭股份(0...', '2018-06-25 03:14:34')
('虽然大盘跳水，但是早盘送出的 晓程科技 下午经过两拨弹力，强势拉上涨停了，跃岭股份 也是打上涨停，晶华新材 尾盘也 拉升了一波，这些都是早盘有提示的，恭喜跟进的朋友，今天高开低走，午后更是一路狂跌，行情让人彻底无语，降准利好不管用呀#原创首发# #今日看盘# #投资达人说# @微博股票 ...展开全文c', '2018-06-25 03:05:00')
('$跃岭股份 sz002725$ 涨停，像这样的必须等突破，涨停后的波动太大了', '2018-06-25 02:56:37')
('跃岭股份 午后也一度冲板了，但未能封死，目前再次回封涨停了，强者恒强，很牛！关注尾盘能否封死涨停！从昔风的角度看：高送转行业大家一定要注意查看，每年的7月份都是它们的天下，今年大概率也是不能避免，注意节奏把握。#原创首发# #今日看盘# #投资达人说# @微博股票 $华谊兄弟 sz300027$ ...展开全文c', '2018-06-25 02:34:14')
('我们上周持续跟踪关注的$跃岭股份 sz002725$ 午后也一度冲板了，但未能封死，目前再次回封涨停了，强者恒强，很牛！关注尾盘能否封死涨停！从牛哥的角度看：高送转行业大家一定要注意查看，每年的7月份都是它们的天下，今年大概率也是不能避免，注意节奏把握。', '2018-06-25 02:32:11')
('跃岭股份、会畅通讯、冀凯股份、友讯达等几只高送转概念股午后明显拉升，且均是除权不久，可关注。', '2018-06-25 02:30:10')
