('发布了头条文章：《亿利达002686 ：主力暴力洗盘暗藏做多意图，此点企稳必将一飞冲天》 $亿利达 sz002686$ \ue627 微博股票微博股票热议榜\ue627 股票分析 |亿利达0026...', '2018-07-24 07:02:18')
('2018年4月15日 （周日） 10:00-18:00   市集地点  （南方航空公司对面）深圳市南山区南山大道2011号亿利达村亿舍公寓 地铁11号线南山站H出口  |深圳·中信...', '2018-04-11 23:09:22')
('今天路过了南油，其实之前白天的时候也有路过过，可是晚上，一路从华福士走到亿利达 中油大厦 桂庙新村，真的，光影陆离，一种熟悉又陌生的感觉。两年多前，来到深圳的第一站，一个人，整整一年。每天下班，无聊就从公司一路走回来，把周边的小巷子都串了个遍。我是怎么过来的？那时候开心吗？感觉都 ...展开全文c', '2018-04-04 11:09:55')
('【亿利达】给品牌一个世界的高度，对产品的要求就必须有一个国际的标准#逢山开路遇水架桥#', '2018-03-26 09:31:03')
('目前资金流入最快的个股：乐心医疗，四川双马，西昌电力，神思电子，亿利达', '2018-03-26 02:28:11')
('发布了头条文章：《资金涌动暗藏玄机：南方传媒+亿利达+露天煤业+周大生》 |资金涌动暗...', '2018-03-26 01:52:52')
('#轩宝の日常##轩宝美食记#坐标：深圳·合気屋·居酒屋- - -南山大道2009号亿利达村3栋112总被盆友吐槽说，走到哪里都有一起饭搭子，那当然深圳也不例外。这家是在南山区的一个旧小区里面的，一家很小的日式居酒屋，仅容14人堂食。是我在失眠一个晚上之后，随便翻翻大众点评看到的，被评价 ...展开全文c', '2018-03-21 21:02:43')
('限售解禁：002364中恒电气002850科达利603309维力医疗300221银禧科技002686 亿利达002247帝龙文化 300609汇纳科技600249两面针000885同力水泥002928华夏航空600283钱江水利603997继峰股份300296利亚德复牌凯恩股份、万丰奥威、顾地科技、星普医科、合纵科技、*ST丹科；停牌兆新股份、*ST昌九。复 ...展开全文c', '2018-03-01 20:22:40')
('本公司招聘文职岗位5位，五天八小时，双休，会电脑，会沟通，活泼开朗乐观积极向上的人即可。有意向者与我联系：18926034365，工作地点:深圳南山，地铁11号线南山站，公交：亿利达大厦或者中油大厦 |深圳·南园...', '2018-02-27 10:14:38')
('限售解禁：002825纳尔股份603969银龙股份603680今创集团002017东信和平002686亿利达002508老板电器300074华平股份603008喜临门', '2018-02-26 20:17:31')
('#投资达人说# #今日看盘# @微博股票 $赣锋锂业 sz002460$ $士兰微 sh600460$ 复牌个股：哈药股份、绿庭投资、江泉实业、人民同泰、雪莱特、中超控股、乐金健康、超华科技、猛狮科技、博腾股份、山鼎设计。限售股解禁：银龙股份、喜临门、东信和平、华平股份、老板电器、亿利达、纳尔 ...展开全文c', '2018-02-26 20:00:51')
('发布了头条文章：《002686 亿利达： 主力蓄势待发，后市展望精准预测!》#股票分析# #财经头条文章# $亿利达 sz002686$ |002686 亿...', '2018-02-26 01:11:47')
('$上证指数 sh000001$#财经头条文章##微博时评团##今日看盘##原创首发# 综合解禁市值，解禁比例，解禁类型可以看出东兴证券、TCL集团、盛和资源、科达利、同方股份、继峰股份、瑞康医药、新奥股份、江苏国泰、利源精制、春兴精工、华仁药业、柯利达、亿利达、共进股份、 ...展开全文c', '2018-02-25 09:07:37')
('发布了头条文章：《002686 亿利达： 主力已强力控盘，后市有望疯狂拉升！》 #股票分析# #财经头条文章# $亿利达 sz002686$ |002686 亿...', '2018-02-23 11:00:23')
('“...那亿利达大厦你总知道在哪里吧？”“你刚说益什么？我只听说过益力多”哈哈哈哈哈哈，感觉自己蠢起来也是挺可爱的哈哈哈哈哈', '2018-02-22 08:54:17')
('亿利达: 《景林资产蒋锦志教材级演讲：投资如何做到年复合收益率30%+？》投资理念前言：我很少在外面讲课，但这是与五道口师弟师妹们的交流，义不容辞。今天我想给大家讲的价值投资理念大家应该都听说过，是最简单的东西，但大道至简，最简单的理念往往是最...『钟华守正出奇: 景林资产蒋锦志教材级演 ...展开全文c', '2018-02-21 09:26:31')
('|深圳·亿利...，新年总是在外一个人过。。。下一年估计回家一次吧。 |深圳·亿利...', '2018-02-20 09:08:58')
('#安信证券实盘晒活动# 安信A股机器人组合（2018年2月12日）一、机器人昨日收益率-1.70%，中证800指数昨日涨幅为-4.12%。二、机器人今日开盘调入：000554泰山石油、000565渝三峡A、000700模塑科技、002350北京科锐、002686亿利达。三、机器人今日收盘调出：300390天华超净、300328宜安科技、002547春 ...展开全文c', '2018-02-11 19:12:42')
('发布了头条文章：《亿利达002686：主力精心布局，散户不可不知！》 $亿利达 sz002686$ #财经头条# #微博股票# #投资达人说# |亿利达0026...', '2018-02-05 03:22:26')
('发布了头条文章：《002686亿利达：调整已近尾声，主力将超跌反弹？》 #股市~a股~大盘~股票# #财经头条文章##亿利达 sz002686[股票]# |002686亿利...', '2018-02-05 02:26:34')
('发布了头条文章：《002686亿利达：主力究竟在耍什么“心眼”，小散们被坑死了！》 $亿利达 sz002686$ #财经头条文章# |002686亿利...', '2018-02-03 10:01:15')
('发布了头条文章：《盘中异动：亿利达(002686)大幅拉升,后势将何去何从》 @微博股票 @新浪财经 #上证快讯# #股票，期货精准分析喊单# $亿利达 sz002686$ |盘中异动：...', '2018-02-02 22:12:17')
('大盘两市大幅低开重挫后，展开了绝地反击，开始拉升。还有绿的，或者已经拉升的，都可以问我，我帮你们看看。像$亿利达 sz002686$ 、 $汇源通信 sz000586$、 $得利斯 sz002330$、$胜利股份 sz000407$ 等等。还是老规矩，只回复股票问题，只要是股票问题都回复。#老郝看股# #今日大盘解析# ...展开全文c', '2018-02-01 22:41:04')
('发布了头条文章：《002686亿利达：盘面透露重大现象后市或将这样走！》 #微博股票# #股票技术分享# #牛股分享# #财经头条# #财经股票头条# #股市~a股~大盘~股票# #大盘~股市~股票~证券~中线~短线# #股票##亿利达 sz002686[股票]# |002686亿利...', '2018-02-01 21:39:11')
('发布了头条文章：《002686亿利达：“棺材本”化为“棺材板”！》$亿利达 sz002686$ #财经头条文章# |002686亿利...', '2018-02-01 21:25:13')
('#亿利达 sz002686[股票]# 像是在井底呼救的人', '2018-02-01 21:06:40')
('【昨"扫雷"今"闪崩" 一大批公司纷纷停牌、兜底增持】据不完全统计，“闪崩股”包括：广汽集团、融钰集团、宝德股份、和佳股份、商赢环球、华仪电气、小康股份、天广中茂、亿利达、兴源环境、刚泰控股、德美化工、南洋股份、长缆科技、迅游科技、激智科技、香溢融通、万方发展、神开股份、三圣股份、安 ...展开全文c', '2018-02-01 19:22:34')
('亿利达，后市暴跌。', '2018-02-01 07:08:23')
('【方正证券：“闪崩”股增多 三大因素影响】近期，“闪崩”股频繁出现，继昨日方大炭素等10多只个股“闪崩”后，今日“闪崩”股数量增多，据不完全统计，今日盘中，广汽集团、融钰集团、宝德股份、和佳股份、商赢环球、华仪电气、小康股份、天广中茂、亿利达、兴源环境、刚泰控股、德美化工、南洋股份 ...展开全文c', '2018-02-01 02:46:45')
('【沪指收盘跌近1%四天跌掉上百点 近200只股跌停】\u3000沪指今日延续下跌走势，收盘跌近1%，日K线四连跌，四天跌掉上百点。两市合计成交超过5500亿元，行业板块全线下挫。两市跌停股数量接近200只，广汽集团、融钰集团、宝德股份、和佳股份、商赢环球、华仪电气、小康股份、天广中茂、亿利达、兴源环境、刚 ...展开全文c', '2018-02-01 02:09:33')
('#潍坊爆料#员工心声：潍坊青州亿利达上汽大众有限公司员工在正常上班工作中，突然接到通知要求全体员工在车间开会，第二天早上公司经理吕涛拿着一张纸念了如下内容：由于公司经营困难现由临淄汇源注资本公司负责经营，公司决定辞退一部分员工，九点接到电话的员工去二楼会议室。然后直接宣布辞退，没有 ...展开全文c', '2018-01-26 02:01:26')
('深圳11号线南山地铁站批量房出租『亿利达村 1室1厅1卫』网页链接', '2018-01-25 21:17:56')
('(租)亿利达村 1室1厅1卫 网页链接', '2018-01-25 20:34:28')
('发布了头条文章：《亿利达002686：主力惊天异动，后期走势大揭秘！》$亿利达 sz002686$ #财经头条# #微博股票# #投资达人说# |亿利达0026...', '2018-01-20 21:30:41')
('#有炙气#从你在北纬寿司店做师傅，到你现在开店。小店变大店，大店变分店。给你赞赞赞🏻还有每年送我的寿司蛋糕！谢谢大武南山的小伙伴 你们有口福了。...展开全文c', '2018-01-18 11:36:09')
('U23无缘八强～～～我终于信了“都是吃货！”中央电视台大球的广告～巧克力～姚明也参与的那则广告，就明确中国大球是吃货，输球就是肯定的了。对了，田径的宣传好像也是吃货～亿利达的口香糖。吃货是没有战斗力的，可惜了那么多人的支持啊！', '2018-01-16 19:54:04')
('#mccx-均仓交易# 1月16日组合$安琪酵母 sh600298$$上海机场 sh600009$$新华保险 sh601336$$中国巨石 sh600176$$亿利达 sz002686$ ...展开全文c', '2018-01-15 19:35:28')
('#博州新闻# 【亿利达纺织有限公司运营5个月实现产值近亿元】 2017年12月30日，记者在阿拉山口市亿利达纺织有限公司厂房内看到，一台台整齐摆放的机器，正在高速运转。网页链接', '2018-01-08 03:41:05')
('个股利好 ：1.中顺洁柔：控股股东拟推10转10派1元2.赫美集团：拟每10股转增7股派1元3.佳沃股份：控股股东再增持49.47万股4.万科2017年合同销售额5298.8亿元 同比增长45%5.株冶集团：实控人五矿集团完成改制及更名6.亿利达：1.98亿元增资三进压铸获51%股权 布局新能源汽车领域 ...展开全文c', '2018-01-03 20:22:20')
('亿利达：1.98亿元增资三进压铸获51%股权 布局新能源汽车领域佳沃股份：控股股东再增持49.47万股东方电缆：中标4.79亿元海缆项目腾达建设：实控人配偶拟增持不低于1亿元东安动力：2017年收到1230万元财政补贴东方明珠：与联通公司签订战略合作协议新凤鸣：2017年度预增100%-109% ...展开全文c', '2018-01-03 19:54:44')
('个股公告：万科2017年合同销售额5298.8亿元 同比增长45%ST保千里：连续三日一字跌停 公司称正在寻找债务重组机会株冶集团：实控人五矿集团完成改制及更名亿利达：1.98亿元增资三进压铸获51%股权 布局新能源汽车领域华峰超纤：子公司投资6.42亿元新建分布式能源站项目...展开全文c', '2018-01-03 19:50:13')
('参考上市公司重要消息一览:1、菲达环保：子公司签订6亿元工程总承包合同2、亿利达：1.98亿元增资三进压铸获51%股权 布局新能源汽车领域3、佳沃股份：控股股东再增持49.47万股4、东方电缆：中标4.79亿元海缆项目5、腾达建设：实控人配偶拟增持不低于1... 网页链接', '2018-01-03 18:25:53')
('亿利达：1.98亿元增资台州三进压铸获51%股权，布局新能源汽车领域。三进压铸专注于节能型、新能源动力总成汽车零部件研究、开发、制造和服务，与公司铁城信息车载充电机在新能源汽车领域有很好的板块协同效应。', '2018-01-03 18:14:36')
('晚间公司重要公告筛选：达华智能：拟出售卡友支付股权 中顺洁柔：控股股东提议年报10转10派1元赫美集团：控股股东提议年报10转7派1元 亿利达：拟1.98亿元增资三进压铸获51%股权步长制药：及子公司获2.78亿政府补助...展开全文c', '2018-01-03 09:34:21')
('【周三 #晚间上市公司公告汇总# 】 *ST中安：控股股东所持3.39亿股被轮候冻结；亿利达：1.98亿元增资三进压铸获51%股权 布局新能源汽车领域；云投生态：联合预中标曲靖市PPP项目 总投资逾20亿元；华峰超纤：子公司投资6.42亿元新建分布式能源站项目；万里马预中标被装物资装备金额逾1亿元；航新科技拟 ...展开全文c', '2018-01-03 09:05:03')
('发布了头条文章：《你真的会看盘吗？关于盘口语言的干货分享》 $华西能源 sz002630$ $雪人股份 sz002639$ $华宏科技 sz002645$ $利君股份 sz002651$ $亿利达 sz002686$ |你真的会看...', '2017-12-29 02:48:32')
('发布了头条文章：《后势精准剖析：中信海直+亿利达+西安旅游》 $中信海直 sz000099$ $亿利达 sz002686$ $西安旅游 sz000610$ |后势精准剖...', '2017-12-27 02:45:39')
('【市商务委主任张爱国会见天津伊势丹有限公司董事总经理美川龙二先生】日前，张爱国主任在市商务委会见了天津伊势丹有限公司董事总经理美川龙二先生一行。天津伊势丹是一家高档百货公司，于1993年12月18日在天津市吉利大厦开业，由日本伊势丹出资90%，亿利达有限公司出资10%成立，注册资金210万美元。2 ...展开全文c', '2017-12-21 02:13:25')
('#金正解套【解套宝】# 【解套宝】今日个股实战：以亿利达002686为例，每日盘前查询【解套宝】（每日更新），今日使用【解套宝】可做出4.64%的差价。更多资讯关注：金正解套', '2017-12-19 00:01:30')
('发布了头条文章：《亿利达（002686）：主力万箭齐发，后市必将强势崛起！》 $亿利达 sz002686$ #财经头条# #股票# |亿利达（00...', '2017-12-18 20:33:28')
('个股利空：永安行下修年报预增幅度；亿纬锂能可转债未通过；花王股份终止一PPP 项目合同；华测检测控股子公司存在资产被转移风险；龙力生物债务逾期；亿利达、美晨生态股东减持；新大洲A股东减持，拟继续减持；保千里、远望谷、***凡谷、正业科技、清水源、平治信息、福达股份股东拟减持。', '2017-12-18 20:28:54')
('【股东减持】亿利达、美晨生态、新大洲A；【今日复牌】东旭蓝天、华钰矿业、药石科技、高新兴、国瓷材料。【限售股解禁】东方明珠、金科股份、凯迪生态、洲际油气、大冷股份、华媒控股、中葡股份、武进不锈、欧比特、天业通联、亚威股份、完美世界、创意信息、顾地科技、思美传媒； ...展开全文c', '2017-12-18 20:21:11')
('【股东减持】$亿利达 sz002686$ 、$美晨生态 sz300237$ 、$新大洲Ａ sz000571$ ；【今日复牌】$东旭蓝天 sz000040$ 、$华钰矿业 sh601020$ 、$药石科技 sz300725$ 、$高新兴 sz300098$ 、$国瓷材料 sz300285$ 。【限售股解禁】$东方明珠 sh600832$ 、$金科股份 sz000656$ 、$凯迪生态 sz000939$ 、 ...展开全文c', '2017-12-18 20:08:28')
('『亿利达: 科大讯飞 风险巨大 2017-08-29 作者： 薛云奎 智慧财报 薛云奎 长江商学院终身教授，长江商学院创办副院长，上海国家会计学院创办副... - 雪球』|科大讯飞 ...', '2017-12-18 11:02:27')
('今日自选股排名前三：东方银星，亚太药业，亿利达。', '2017-12-17 20:26:51')
('#恩施身边事#恩施市停电原因：因市政迁改工程，10kV桂车一回线、10kV桂化线负荷割接。停电时间：|2017年12月... 。停电区域：巨鑫农业2#专变，消防专变，巨鑫农业1#专变，天艺酒店，元昌医药专变，亿利达加气站专变。停电范围：亿利达加气站——元昌医药——长友公司——龙凤置业——硒产品质 ...展开全文c', '2017-12-17 04:18:59')
('2017.12.14 个股关注：【600869 智慧能源 002686 亿利达】 五星关注！验证实力即可，实盘跟进 风险自理', '2017-12-13 07:10:36')
('发布了头条文章：《A股主力或悄悄布局： 冀凯股份 亿利达 神开股份 大连重工》 |A股主力或...', '2017-12-13 04:00:15')
('亿利达: 景林资产蒋锦志教材级演讲：投资如何做到年复合收益率30%+？ 投资理念前言：我很少在外面讲课，但这是与五道口师弟师妹们的交流，义不容辞。今天我想给大家讲的价值投资理念大家应该都听说过... - 雪球|亿利达: 《...', '2017-12-10 04:44:46')
('#亿利达 sz002686[股票]# 这个股这段时间主要都是震荡趋势，主要受到60日线和半年线的压制，不能有效突破站稳难有起色，这种股只是震荡不破位的话你可以持有，只要能受得了这种墨迹，受不了墨迹的话最好还是找一些活跃的上行趋势的机会参与吧。', '2017-12-07 05:59:03')
('纺织界大佬聚会：\u202d跟榜样学习：亚星、亚太、新冬日、双盈、恒丰、华建、昊磊、亿利达、苏州经弹、中冠、红太阳、冠盛、永耀、粤盛、腾达、嘉宜豪、山海、金利达…… |苏州·苏州... 巴宝礼旭的...', '2017-12-06 06:40:02')
('亿利达，龙力生物，中科新材，科华恒盛，三圣股份，永利股份，特一药业，天业股份，金陵药业，金河生物', '2017-12-05 23:37:35')
