('#投资达人说# #今日看盘# $恒通股份 sh603223$ 恒通股份是短信坑人票，明天注意回避，谨慎不要追高！', '2018-07-15 14:26:14')
('一路一带中字军团冲高，$中国交建、$中国建筑、$中国铁建、$中铁工业、$中材国际等冲高，装配式板块位列涨幅傍第一，$富煌钢构、$恒通科技、$东易日盛、$太空板业、$花王股份等领先，关注持续性。', '2018-01-18 02:11:44')
('1-18热点板块富煌钢构带动装配式建筑涨幅居前，富煌钢构，硅宝科技（300019）涨停，恒通科技（300374）涨逾8%，太空板业（300344），花王股份（603007），鸿路钢构（002541）涨逾4%。张家港行延续强势，带动银行股反弹张家港行涨逾8%，江阴银行（002807）涨逾4%，建设银行，工商银行，无锡银 ...展开全文c', '2018-01-17 23:09:39')
('1月18日消息，装配式建筑板块盘中走高，富煌钢构、硅宝科技涨停，恒通科技、鸿路钢构、太空板业、花王股份等股涨幅居前，东易日盛、杭萧钢构亦有不错涨幅。', '2018-01-17 22:00:04')
('恒通科技涨停，维业股份今天这个开盘价也在5均线上，那么大概率也会上攻，当然，涨停是最好的走势，主力们，come on! 雄安规划势不可挡。建筑装饰行业基本上包括了规划设计类的个股。。再不济上攻一下22.6才是王道。磨磨唧唧是不是男人。', '2018-01-17 21:05:56')
('金龙羽和春风动力都减仓了。。回归雄安。补了点恒通科技和维业股份，算是比较正宗的吧。恒通科技预计近期会预告业绩。', '2018-01-16 21:27:48')
('大盘股，恒通股份，小盘创业板的走势，参考房地产板块中的，万科，华夏幸福（之前说过与恒通股份金证股份的关系），和荣安地产。不要着急，盈利是耐心的奖赏。', '2018-01-16 09:27:58')
('【热点跟踪】雄安内部分化，核心消息利好股多股一字板，大多数冲高回落。目前凯发电气、银龙股份、科林电气、中设股份、建研院、冀东装备等8只涨停，青龙管业、创业环保、恒通科技、博深工具等震荡上冲。绩优化工股（桐昆股份、恒逸石化）延续趋势上行。油价大涨刺激油服板块走强，中曼石油、石 ...展开全文c', '2018-01-03 21:23:36')
('整理了一份雄安概念，供大家收藏分享！雄安+基建：冀东装备、金隅股份、巨力索具、中化岩土、恒通科技、河北宣工雄安+环保：首创股份、创业环保、渤海股份、津膜科技、乾景园林雄安+能源：东方能源、保变电气、建投能源、汉钟精机、北京科锐...展开全文c', '2018-01-03 19:20:50')
('发表了博文《2018年01月03日》1、新股：赛腾股份、联诚精密、朗博科技、伊戈尔、中石科技、光弘科技、上海雅仕2、雄安雄安+基建：冀东装备、金隅股份、巨力索具、中化岩土、恒通科技、河北宣工雄安+环保|2018年01月...', '2018-01-03 09:16:13')
('今日盘中主要热点题材1、 新股：赛腾股份、联诚精密、朗博科技、伊戈尔、中石科技、光弘科技、上海雅仕2、 雄安雄安+基建：冀东装备、金隅股份、巨力索具、中化岩土、恒通科技、河北宣工...展开全文c', '2018-01-03 08:45:58')
('【周三热点复盘】雄安板块：中设股份、冀东装备、凯发电气、银龙股份、科林电气、建研院、东方能源、首创股份、博深工具、保变电气、巨力索具、金隅股份、建投能源、青龙管业、韩建河山、创业环保、华斯股份、启迪设计、中化岩土、渤海股份、河北宣工、同济科技、建新股份、恒通科技、汉钟精机、乾景 ...展开全文c', '2018-01-03 07:36:02')
('赫美集团 基蛋生物 至纯科技 睿康股份$赫美集团 sz002356$ $基蛋生物 sh603387$ $至纯科技 sh603690$ $睿康股份 sz002692$#股票视频讲座# 宏发股份恒通科技台基股份广深铁路坚瑞沃能安徽合力天津港京投发展天壕环境济川药业华纺股份四环生物美诺华大连热电城地股份华体科技 令哥看盘_...', '2018-01-02 08:05:10')
('发布了头条文章：《主力暗藏玄机： 佳沃股份 恒通科技 柘中股份 吉峰农机》 $佳沃股份 sz300268$ $恒通科技 sz300374$ $柘中股份 sz002346$ $吉峰农机 sz300022$ |主力暗藏玄...', '2017-12-26 22:21:53')
('12.27【停复牌】停牌：亿阳信通、*ST弘高、恒通科技、泰禾集团复盘： ...展开全文c', '2017-12-26 20:34:13')
('【今日停牌】亿阳信通、*ST弘高、恒通科技、泰禾集团；【今日复盘】狮头股份；【限售股解禁】杭叉集团、天神娱乐、长高集团、德尔未来、安控科技、岭南园林。 网页链接', '2017-12-26 20:14:01')
('实时播报：【深天地A：股东将公司股份转让给广东君浩 后者将成为公司控股股东】深天地午间公告称，收到公司股东华旗同德、东部集团、恒通果汁通知，拟19亿元将公司3800万股份转让给广东君浩。本次交易完成后，广东君浩将合计持有上市公司 38,000,000 股， 占上市公司总股本的 27.39 % ，成为上市公司的 ...展开全文c', '2017-12-19 23:04:51')
('复牌：东旭蓝天、高新兴、药石科技、华钰矿业。停牌：天马股份、*ST东数、龙星化工、中欣氟材、恒通科技、卧龙电气、玲珑轮胎、圣达生物。', '2017-12-18 20:19:56')
('发布了头条文章：《大兵淘金：12.6日收评》 $梅雁吉祥 sh600868$ $恒通股份 sh603223$ $天富能源 sh600509$ $福能股份 sh600483$ $金山股份 sh600396$ |大兵淘金：...', '2017-12-06 03:52:39')
('发布了头条文章：《A股史上绝无仅有的连续12个跌停板，一场最大的“阴谋”》 $天海投资 sh600751$ $宁波海运 sh600798$ $览海投资 sh600896$ $中远海控 sh601919$ $恒通股份 sh603223$ |A股史上绝...', '2017-12-05 20:53:30')
('|临沂·山东...，上殿云霄生羽翼，论兵齿颊带风霜。归来衫袖有天香。三观不同，少点交流。踏实做事。 |临沂·山东...', '2017-12-05 08:50:24')
('板块异动：物流概念纷纷拉起，截至发稿，圆通速递涨幅达6%，恒通股份涨幅达4%，音飞储存、原尚股份涨幅达2%。', '2017-11-28 00:13:19')
('发布了头条文章：《最新重大利好：宏达新材 百川股份 中化岩土 宝新能源》 #财经头条文章# #森特股份 sh603098[股票]##东尼电子 sh603595[股票]# #恒通科技 sz300374[股票]# |最新重大利...', '2017-11-27 02:06:52')
('knightwang1影响力 吧龄 4个月 恒通股份发表于 2017-11-23 11:41:14 股吧网页版准备好资金，下午伺机抢入。大家不要错失良机，这点量，几十个小散能把它顶到涨停。准备好资金，下午伺机抢入。大家不要错失良机，这点量，几十个小散能把它顶到涨停。', '2017-11-23 22:21:16')
('【关于网友反映山东恒通化工股份有限公司排放气体伴有恶臭味，有一处没有覆盖的灰尘存放处问题的调查处理情况】@山东环境 @临沂环境 @临沂校园事接到网友反映后，执法人员立即进行了调查。根据投诉记录表和网上视频来看，举报人所反映的应为山东阳煤恒通化工股份有限公司热电厂。视频所指企业每天排 ...展开全文c', '2017-11-21 22:25:26')
('发布了头条文章：《恒通科技 万邦达 欧普照明 智慧农业 延江股份，本周操作走势解读》 $恒通科技 sz300374$ $万邦达 sz300055$ $欧普照明 sh603515$ $智慧农业 sz000816$ $延江股份 sz300658$ |恒通科技 ...', '2017-11-20 01:12:31')
('雄安新区个股也开始启动了，$启迪设计 sz300500$ 早早封板，而$太空板业 sz300344$ 午后开始加速拉升，$青龙管业 sz002457$ 、$银龙股份 sh603969$ 、$恒通科技 sz300374$ 等分时均有不错的跟风动作。', '2017-09-29 01:37:26')
