('19岁股市奇才豪言曝光：MACD指标100%盈利方法，4分钟获28次掌声 $东山精密 sz002384$ $璞泰来 sh603659$ $罗平锌电 sz002114$ $太极股份 sz002368$ 论A股堂的...', '2018-07-24 10:58:37')
('【5.17睡前观点】今天很多中小创拒绝下跌，特别是软件股与芯片股。故明天大盘与中小创收盘应该为红。今天尾盘买了2成太极股份做短。', '2018-05-17 10:30:22')
('我比较看好科技股的反弹，边走边看，带R的太极股份 启明星辰 网宿科技 贵州百灵。不带R的我打算继续搞底部的医药股，例如步长制药', '2018-05-17 02:23:55')
('太极股份-002368-"数据驱动、云领未来、网安天下”战略稳步推进 网页链接', '2018-05-16 10:22:00')
('发布了头条文章：《汉王科技 太极股份 天原集团 北京利尔：本周主升浪即将开启？》 $汉王科技 sz002362$ $太极股份 sz002368$ $天原集团 sz002386$ $北京利尔 sz002392$ $上证指数 sh000001$ |汉王科技 ...', '2018-05-15 10:24:23')
('发布了头条文章：《新行情一触即发：太极股份 中集集团 华西能源 海正药业 》 $太极股份 sz002368$ $中集集团 sz000039$ $华西能源 sz002630$ $海正药业 sh600267$ #个股专业点评# #头条文章# #微博股票# #股票分析# |新行情一触...', '2018-05-15 03:52:01')
('$太极股份 sz002368$ 一只小白的炒股笔记T了没？？T了没？小赚零花没问题。。。缩量上涨，轻仓，继续保留现金准备T它。。。', '2018-05-15 03:08:28')
('关注1815点抵抗力量，目前明显的，中短线跌幅超20%的前期强势股抗跌迹象明显，考虑一下是否可以趁恐慌大举杀入？举一些例子，启明星辰，太极股份，东方国信等……', '2018-05-14 22:57:53')
('发布了头条文章：《002368太极股份+601336新华保险：此股惨遭庄家“血洗”！全力争夺5月》 $太极股份 sz002368$ $新华保险 sh601336$ $上证指数 sh000001$ $深证成指 sz399001$ #短线牛股# #投资达人说# #财经头条文章# #股票分析# |002368太极...', '2018-05-10 09:21:16')
('发布了头条文章：《太极股份002368：主力暗中出逃，散户们小心了！》#股票分析# #财经头条文章# $太极股份 sz002368$ 太极股份002368：主力暗中出逃，散户们小心了！ |太极股份00...', '2018-05-10 07:08:18')
('#这不是推荐#$太极股份$如果无法突破（突破就飞天了），就会在28到33之间震荡，多空相爱相杀的股总要时间修复，那么在震荡中主力解套，一走了之可以有，回马枪也可以有，会烦躁的及时止损，这是智慧，不丢人。。。这股我打算中长线玩，T着玩，上支想玩T的三六零现在还停牌中呢，不知道出来什么样。。 ...展开全文c', '2018-05-10 06:33:48')
('这两天持续亏损，太极股份由挣5个点到赔5个点，真是垃圾股啊。', '2018-05-10 06:08:21')
('收盘了，有拿着国民技术，神雾环保，深南电路，太极股份这几只票的，留言或私信我，一一答复。$国民技术 sz300077$ $神雾环保 sz300156$$深南电路 sz002916$ $太极股份 sz002368$#.今日看盘.# #微博看市# #股票#', '2018-05-10 03:27:29')
('收盘：有持有 三泰控股、新安股份、太极股份、光环新网 这几只票的朋友可以给我留言或私信我，我帮你看看。$三泰控股 sz002312$ $新安股份 sh600596$$太极股份 sz002368$ $光环新网 sz300383$', '2018-05-10 03:22:05')
('收盘了，持有下面这几支票的有不会操作的，不知道后期走势如何，被套的或还没解套的就来找我，给大家看看票，解解套，给大家点最直接的建议。$太极股份 sz002368$ $长亮科技 sz300348$$南风股份 sz300004$ $光环新网 sz300383$', '2018-05-10 03:21:31')
('14:27:38 . 国产软件板块今日跌幅居前，截至发稿，用友网络、太极股份、宝信软件跌超4%，浪潮信息、超图软件、润和软件跌超3%。', '2018-05-10 03:16:43')
('《股市分析：太极股份未来3-5年的十倍股？》根据CWWResearch统计数据，2016年我国政务云市场总体规模为91.5亿元，同比增长93%。网页链接', '2018-05-09 23:59:40')
('发布了头条文章：《太极股份002368：庄家“逆势”大爆发！18年首席妖王早已内定？》$太极股份 sz002368$ $上证指数 sh000001$ #短线牛股# #投资达人说# #财经头条文章# #股票分析# |太极股份00...', '2018-05-09 11:23:34')
('最近手黑需洗白白，今天31.96买了$太极股份$、6.50买了$德美化工$，22.38买了$招商蛇口$，好像都卡在高位上了，$老白干酒$赚了1.35元跑了，$贵州燃气$赚了2.01元跑了，$合肥城建$成本抛了，$亨通光电$可能会持有一年，长线试水（纯吐槽，非推荐），希望不要影响他人赚钱呵。。。', '2018-05-09 08:25:55')
('#新浪理财师# #今日看盘# 我刚刚回答了网友的问题"老师您好晶盛机电和太极股份可以介入吗 ", 大家有任何投资理财相关问题都可以来找我！提问请猛戳网页链接', '2018-05-08 23:39:17')
('21世纪经济报道记者注意到，13只养老金“宠股”几乎都有着细分领域龙头的身份。比如金域医学是医学检测龙头、天地科技是煤炭机械龙头央企、法拉电子是国内薄膜电容龙头、太极股份是数字中国概念龙头股、歌华有线是数字电视龙头、大亚圣象是地板龙头、永创智能是智能包装设备龙头、百联股份是商业零售龙 ...展开全文c', '2018-05-08 08:58:35')
('此外，上钧从去年就带大家布-局过的几只老牌芯片软件类概念，在2018年的第二次布-局中也纷纷取得不俗的表现，如北方华创（波段涨幅27%左右）、浪潮信息（累计涨幅24%左右）、太极股份（累计涨幅39%左右）！在这波波段操作中，因个股在时间和空间上都给足了上车的机会，内-部操作的伙伴无不纷纷表示感谢 ...展开全文c', '2018-05-08 01:18:24')
('发布了头条文章：《一场资本阴谋游戏开始：天山生物 精测电子 以岭药业 太极股份》 $天山生物 sz300313$ $精测电子 sz300567$ $以岭药业 sz002603$ $太极股份 sz002368$ #收盘盘点# #复盘小结# |一场资本阴...', '2018-05-07 05:07:47')
('发布了头条文章：《000975银泰资源：怎样寻找中长线股票？》 #微博股票# #股票# #财经头条# $银泰资源 sz000975$ $太极股份 sz002368$ |000975银泰...', '2018-05-07 04:40:05')
('数字中国概念股开启反弹，中军$太极股份 sz002368$ 强势拉升6%，在国家政务信息化方面，公司继续保持领先优势!', '2018-05-07 01:46:55')
('发布了头条文章：《最新A股诊断：太极股份+徐工机械+蓝晓科技》 $太极股份 sz002368$徐工机械 sz000425$蓝晓科技 sz300487$ #股票#A股# |最新A股诊...', '2018-05-06 23:58:14')
('【养老金一季度新进7只个股】随着上市公司一季报披露落下帷幕，备受瞩目的养老金一季度持股也浮出水面。根据同花顺统计，一季度养老金共现身13家A股的前十大流通股股东中。其中，养老金一季度新进金域医学、法拉电子、永创智能、太极股份、轻纺城、世荣兆业、歌华有线等7只个股。根据同花顺数据统计， ...展开全文c', '2018-05-05 06:30:03')
('中国芯这么快来了！特意查了下，这次真不是骗国家经费，而是搞了12年搞起来的，性能好坏还有待验证。但这也证明了，中国芯片产业没那么不堪。不过，饭要一口口吃，路要一步步走，最后别搞成大跃进，放卫星了！电科系旗下上市公司不少，四创电子、国睿科技、杰赛科技、太极股份、卫士通等，下周会不会 ...展开全文c', '2018-05-05 01:04:14')
('本周微损0.3%，基本持平，功臣是前天追高买入的长生生物今天大涨8.75%，今天尾盘已出。兆日科技遭遇减持（其实减持已经完成），可市场预期不好，跌停不过送了我1.7%的利润，谢了科技股表现疲软，太极股份、纳思达这二货揉搓K线、缩量并出，差不多了！今天已经加大了生物医 ...展开全文c', '2018-05-04 06:03:18')
('太极股份也最后半小时择机出掉，昨天做了T的可能总体还是小亏点，但是回避周一的下跌。深南不要动，后面还要做T。有亏损的就从别的股赚回来', '2018-05-04 03:28:54')
('收盘吃饭，有拿着神州信息，中国软件，华友钴业，太极股份这几只票的，留言或私信我，一一答复。$神州信息 sz000555$ $中国软件 sh600536$$华友钴业 sh603799$ $太极股份 sz002368$#.今日看盘.# #微博看市# #股票#', '2018-05-02 23:55:41')
('周四习惯性的走低，早盘开盘后以31.1元将太极股份小幅止损卖出，弱势下左侧交易风险太大，还是多观望吧，今天重点关注芯片及医药股的调整位置', '2018-05-02 22:23:56')
('#华锋股份 sz002806[股票]# 周五玩了这么一手好牌。偶像欢乐海岸被困，看来要去救援。如果竞价出现核按钮，跌停就接盘，未偶像接盘。#中国软件 sh600536[股票]# 明天复牌，竞价别搞核按钮啊，会影响情绪的发酵。我的太极股份还等着大佬眼色做人的。拉高走。预计明天大盘收大阳线。那么会是哪个板块 ...展开全文c', '2018-05-01 10:18:14')
('发布了头条文章：《最新重磅牛股：卓翼科技+北方华创+太极股份》 $卓翼科技 sz002369$北方华创 sz002371$太极股份 sz002368$ #A股#股票# |最新重磅牛...', '2018-04-30 02:47:25')
('发布了头条文章：《002368太极股份+000410沈阳机床：爆炸性消息来袭，主力上演惊人一幕》 #投资达人说# #股票分析# #财经头条文章# $上证指数 sh000001$ $太极股份 sz002368$ $沈阳机床 sz000410$ |002368太极...', '2018-04-30 02:23:15')
('至今还在后悔，完美的错过了两只牛股：赣锋锂业，北方国际！究其原因，格局大小。中线持股以周K为准，波段操作：以60周线为持股条件。在接下来的二年，认真做好这个股票：太极股份。 |富阳·兴达...', '2018-04-28 01:48:54')
('发布了头条文章：《重磅消息：亿通科技+太极股份+兄弟科技，五月详细操作策略》 $亿通科技 sz300211$ +$太极股份 sz002368$ +$兄弟科技 sz002562$ $上证指数 sh000001$ #财经头条文章# $深证成指 sz399001$ |重磅消息：...', '2018-04-27 23:30:17')
('发布了头条文章：《002007华兰生物:炒期货用哪个均线做参考比较好？》#财经头条# #股票# #股市~a股~大盘~股票# $华兰生物 sz002007$ $太极股份 sz002368$ |002007华兰...', '2018-04-27 23:29:32')
('发布了头条文章：《000820神雾节能 美股全面反弹，科技股强势领涨》#股票分析# #微博股票热议榜# #股市~a股~大盘~股票# #太极股份 sz002368[股票]# #乐视网 sz300104[股票]# |000820神雾...', '2018-04-27 21:43:11')
('太极股份如果再回落就加仓，找机会T出来。 深南不动#今日看盘#', '2018-04-27 00:03:26')
('勤劳的散户，为你打CALL$乐视网 sz300104$ $中科创达 sz300496$ $太极股份 sz002368$', '2018-04-26 22:34:36')
('神创没钱还敢这么拉$乐视网 sz300104$ $中科创达 sz300496$ $太极股份 sz002368$', '2018-04-26 22:26:30')
('资金破前高，股价有足够的上升空间太极股份堆量启动，资金追捧，上涨仍在加速。行情已经三次夯实底部，此时是绝佳的低吸机会，选择强势热点主题，把握低吸机会。网页链接', '2018-04-26 21:54:14')
('最近三个月白马股休息期间。长期深跌个股进行了暴涨的现象。中国软件，兆日，麦达，合肥城建，国睿，浪潮，国民技术，海得控制，神州信息，天华超净，蓝英，卫宁健康，奥普光电，太极股份，中成股份，长亮科技，大恒科技，北信源，杰赛科技，东方通，鼎捷软件，华东电脑，中国长城，晓程科技，天津普 ...展开全文c', '2018-04-26 12:03:59')
('芯片：紫光国芯、中科曙光、景嘉微、汇顶科技、晶盛机电、长电科技、江丰电子、？北斗：振芯科技、北斗星通版权：视觉中国、捷成股份数字中国：科大讯飞、美亚柏科、太极股份、易华录、？ ...展开全文c', '2018-04-26 05:57:26')
('中电系的个股最近走势非常强，像太极股份、中国软件、国睿科技、华东电脑、中国长城等大幅上涨，所以前面以15.2买入振华科技，以9.18买入深桑达', '2018-04-26 02:34:49')
('太极股份(002368)后市具体操作策略! 非妍看盘的...', '2018-04-26 02:05:43')
('$中国软件 sh600536$，$太极股份 sz002368$，$启明星辰 sz002439$，在用友网络见顶之后，同时作为软件股里面的国产软件替代，更看好中国软件，虽然中国软件没拿住，因为主仓位都在做连板主升，但是一直都在跟踪，中国软件能够走出来的逻辑：一是血统更纯正。二是实际流通盘最小。三，在目前的市场流动 ...展开全文c', '2018-04-25 11:41:16')
('【大学】中科大： 科大讯飞、时代出版、科大国创中科院：中科信息、中科曙光、中国科传、东方中科；福晶科技、奥普光电、中科三环、机器人、汉王科技；中电信息：中软、中国长城、。。中电科： 太极股份、国睿科技、卫士通等等等。 ...展开全文c', '2018-04-25 09:31:05')
('太极股份32.8加回昨天T的仓', '2018-04-25 07:05:35')
('发布了头条文章：《重磅消息：海螺水泥+太极股份+上海贝岭，本周详细操作策略》 $海螺水泥 sh600585$ +$太极股份 sz002368$ +$上海贝岭 sh600171$ #深圳指数39901#热门个股#热门股票推荐#股票最热门#热门股票点评# |重磅消息：...', '2018-04-25 05:41:13')
('发布了头条文章：《最新重磅妖股:信雅达 恒瑞医药 永东股份 太极股份》$信雅达 sh600571$ $恒瑞医药 sh600276$ $永东股份 sz002753$ $太极股份 sz002368$ #头条文章# #上证快讯# #股票# #微博股票热议榜# |最新重磅妖...', '2018-04-25 04:42:25')
('发布了头条文章：《太极股份(002368)：深港通概念股，主力17亿狂砸，接下来将再度反弹！》 #太极股份 sz002368[股票]# $太极股份 sz002368$ |太极股份(0...', '2018-04-25 04:00:18')
('【自主创新】四创电子、国睿科技、中国长城、浪潮信息、振华科技、太极股份、深科技', '2018-04-25 01:28:51')
('自主可控的软硬件概念，计算机板块细分领域(1) 医疗信息化: 卫宁健康、创业软件(2) 新规带来收入/利润增量: 恒生电子(3) 信息安全: 绿盟科技，中新赛克，美亚柏科(4) 核心技术: 太极股份、中科曙光、浪潮信息; 中国软件 ...展开全文c', '2018-04-24 21:47:02')
('发布了头条文章：《太极股份002368：主力持续进场，后期走势可期！》 #财经头条文章# #太极股份 sz002368[股票]# |太极股份00...', '2018-04-24 21:45:26')
('#太极股份 sz002368[股票]# 涉及云计算、国防军工等多个概念、是社保重仓的，近期上升趋势中，可以采取10日线上持股，关注35附近压力能否突破', '2018-04-24 21:12:20')
('现在震荡市的特征一览无遗。3月23日单日大跌之后，带来超短线的大幅反弹机会。4月17日大跌也是如此。昨天大跌后，还是如此。 ——震荡市，机会是跌出来的。 巧的是，这3天大跌当天，我都是逢低加了重仓。第一次是医药，第二次是太极股份，这第三次，希望也能够收获满满。', '2018-04-24 19:42:56')
('过去这一个月，市场出现了3次大跌而次日大涨，而我都准确把握了市场节奏：3月23日大跌，我们重仓加仓医药；4月17日大跌，我们重仓加仓太极股份；昨天大跌，我们重仓加仓中小创几只个股（今天学员们的总仓位盈利4%左右，因为今天减仓减早了一点，而且手中个股今天没有涨停。不过，我已经选了几个好票明 ...展开全文c', '2018-04-24 11:07:11')
('信息技术国产软件芯片大热，二三四五、浪潮软件、中国软件，创意信息 菱西科季 万兴科技 创业软件 柯蓝软件 顶点软件，卫明宁健康等涨停，汇金科技 万达信息 宝信软件 全通教育 华东电脑 神州信息 卫士通 太极股份 高新兴等大涨 这与中兴华为事件后 国家鼓励支持国产有很大关系 预计未来一段时间将会 ...展开全文c', '2018-04-24 08:14:33')
('发布了头条文章：《太极股份002368：黑马卷土重来，4月将暴涨成新妖王！》 $太极股份 sz002368$ $上证指数 sh000001$ #股票分析# #投资达人说# #财经头条文章# |太极股份00...', '2018-04-24 07:38:30')
('三超新材、风华高科和太极股份由于短线调整充分，三超和风华都是在出下轨买的，并且业绩优良，因此它们都是短线防守兼进攻的好品种，虽然今天进攻性不是太强，相信在大盘企稳后明后天它们一定会出现预期中的大阳线。', '2018-04-24 03:17:47')
('太极股份尾盘不能上冲到5日线的话，就T出32.1加的仓位，其余的仓位明天再看。深南电路不动', '2018-04-24 03:14:08')
('上午在太极股份和中国软件中选了太极股份，以为太极股份连调3天，比中国软件调整更充分，由于是重仓出击，所以也没分仓一道买中国软件了，不过我相信太极股份一定也能给我带来丰厚收益，因为这两年操作太极股份无数次，没有一次失手过，所以对它情有独钟。', '2018-04-24 02:56:20')
('收盘了，解析时间到 有中国软件 长电科技 太极股份 东旭光电的朋友们，有什么问题，可以下方评论或直接私信我。让我看到你们的双手 #大盘#$中国软件 sh600536$ $长电科技 sh600584$$太极股份 sz002368$ $东旭光电 sz000413$', '2018-04-23 23:58:45')
('之前说过只有银行地产股联袂上涨，周期股跟随，大盘才能企稳上攻，在今天这个时间窗口大盘如期放量长阳验证了我之前的判断，短期已开启反弹节奏，可以逢低吸纳调整充分的前期强势个股，前面又以32.85买入太极股份', '2018-04-23 23:16:47')
('空仓的朋友可以开仓了，六连板，华锋成为新妖王 ，必创科技涨停板创新高，这些但是做多信号，大胆买入太辰光，太极股份，紫光国芯等等前期回调到位强势股', '2018-04-23 22:05:55')
('发布了头条文章：《002368太极股份 ：主力暴力洗盘或是上车良机？此支撑位将至关重要》 $太极股份 sz002368$ #个股推荐与走势分析#微博股票#股票最热门#热门股票推荐#股票分析# |002368太极...', '2018-04-23 21:32:56')
('发布了头条文章：《本周A股走势热点解析：光启技术+中国长城+赛托生物+太极股份》 #头条文章# #微博财经# #微博股票# $广汽集团 sh601238$ $中国长城 sz000066$ $赛托生物 sz300583$ $同济科技 sh600846$ |本周A股走...', '2018-04-23 10:16:58')
('小结下，今天没什么热点，5G稍显强悍，但是属于超跌，持续性不能确定。因此也不适合玩。而数字中国，国产芯片，国产软件今天出现了大面积回落，跌停股较多。个股方面深南电路60日线加了仓，但是跌停了，封单不大，看看明天的走势。太极股份按计划在32.1埋伏加仓了，反弹了一点，仓位也没T。看看明天的 ...展开全文c', '2018-04-23 07:54:02')
('【网络安全和信息化重点股】【信息安全】绿盟科技、启明星辰、北信源、卫士通【自主可控】中科曙光、中国长城、中国软件、太极股份、浪潮信息【工业互联网】宝信软件、东方国信、汉得信息、用友网络【军工信息化】旋极信息、同有科技、星网宇达、绿盟科技、启明星辰、中国长城【电子政务】华宇软 ...展开全文c', '2018-04-23 07:23:42')
('恒邦股份：主力强势控盘，妖王归来再出山！成功逆袭而上！$恒邦股份 sz002237$恒生电子 sh600570$太极股份 sz002368$ 风晓解股的...', '2018-04-23 06:22:03')
('【从去IOE到去IOEWICS，这些关键行业自主可控国产条件成熟、爆发在即！】 首推硬件整机平台长城电脑（合并长城信息）、基础软件和集成龙头中国软件、中间件东方通、ERP用友网络、网络安全启明星辰、集成和生态太极股份等。关注产业链其它受益标的：图形处理环节景嘉微、方大化工；服务器天玑科技；中间 ...展开全文c', '2018-04-23 02:21:51')
('太极股份到32.1加仓，可以设值埋伏#今日看盘# $太极股份 sz002368$', '2018-04-23 02:18:36')
('发布了头条文章：《太极股份(002368)：数字中国概念股，主力资金62亿翻增，将暴涨！》 #太极股份 sz002368[股票]# $太极股份 sz002368$ |太极股份(0...', '2018-04-23 02:17:31')
('发布了头条文章：《002368太极股份 ：股价暴跌暗藏上车良机，股民：此点做好上车准备》 $太极股份 sz002368$ #个股推荐与走势分析#股票最热门#股票分析#热门股票推荐#微博股票# |002368太极...', '2018-04-23 01:51:25')
('早盘芯片股跌幅较大，还好我上周五除了留点观察盘外基本卖出，当前行情下有获利就减仓的策略不会错，早上以34.5减了一半太极股份，目前重点关注风华高科的操作，接近60日均线便加仓，今日有望先企稳。数字中国峰会周末已召开，有利好兑现便下跌的惯例，美亚柏科杀至跌停，所以个股各方面风险依然很大， ...展开全文c', '2018-04-22 22:17:07')
('尤其是上周一些国产软件个股受到了机构资金和游资的大幅追捧，如芯片股公认的中军紫光国芯逆市创出新高，国产软件个股太极股份和中国软件等都逆市创出了近期新高，这个逻辑值得我们关注，多关注游资和机构形成合力的板块和个股。$上证指数 sh000001$ #.今日看盘.#', '2018-04-22 21:22:46')
('$诚迈科技 sz300598$ $贵州茅台 sh600519$ $贵州燃气 sh600903$ $七一二 sh603712$ #牛股挖掘者# #强势之道# #短线老张擒牛# @微博股票尤其是上周一些国产软件个股受到了机构资金和游资的大幅追捧，如芯片股公认的中军紫光国芯002049逆市创出新高，国产软件个股太极股份和中国软件等都逆市创出了 ...展开全文c', '2018-04-22 21:06:10')
('今日热点（第一手资料）1、数字政通（300075）、达实智能（002421）2、蓝盾股份（300297）、格尔软件（603232）3、东方能源（000958）、建投能源（000600）4、建科院（300675）、韩建河山（603616）5、易华录（300212）、太极股份（002368）以上内容仅供参考，不构成投资依据。', '2018-04-22 20:58:39')
('今天风险和机会同在，但机会大于风险，短线应有见底反弹。周末重磅消息多雄安:关注华讯方舟是否换手二板。数字信息周末超预期，中国软件，太极股份。华锋四板未被停，打开想象空间，国之重器，自主可控。低位关注2222福晶，2185华天，603421鼎信，酱子。', '2018-04-22 20:55:09')
('【网安及信息化受到高度重视、政务IT有望率先受益】相关概念股：易华录（300212）、太极股份（002368）、美亚柏科（300188）等。', '2018-04-22 20:46:03')
('对于国产芯片类上市公司，不追高，可以逢低做月线结构破掉77或177均线后，再次向上，出现三条件进场信号的股票，看看我们自选股中的太极股份002368的表现，高低点，接近翻番，这类股票一定不追高，防止走成去年的雄安新区板块，就够完美的可以做一把，不用理会指数震荡！#中国芯片股票#', '2018-04-22 20:41:32')
('网安及信息化受到高度重视、政务IT有望率先受益易华录（300212）太极股份（002368）南威软件（603636）美亚柏科（300188）全国网络安全和信息化工作会议20日至21日在北京召开。会议强调，信息化为中华民族带来了千载难逢的机遇。必须敏锐抓住信息化发展的历史机遇，加强网上正面宣传，维护网络安全 ...展开全文c', '2018-04-22 19:16:37')
('网安及信息化受到高度重视、政务IT有望率先受益。易华录(300212)是数字中国核心标的，数据湖模式持续创新；太极股份(002368)是电子政务龙头，新业务占比提升，转型进入收获期。南威软件(603636)、美亚柏科(300188)均为福建当地企业，分别从事电子政务、电子数据取证相关业务。', '2018-04-22 18:49:42')
('发布了头条文章：《下周A股资金黑马关注：宜昌交运+太极股份+新文化+盈峰环境》 #微博股票# #头条文章# #微博财经# $宜昌交运 sz002627$ $同济科技 sh600846$ $太极股份 sz002368$ $欣旺达 sz300207$ |下周A股资...', '2018-04-22 11:26:40')
('发布了头条文章：《太极股份(002368)：主力悄悄布局，散户一定要注意了！》 #新浪股吧# #财经头条文章# #今日看盘# @微博股票 $太极股份 sz002368$ #太极股份 sz002368[股票]# |太极股份(0...', '2018-04-22 10:36:43')
('全国网络安全和信息化工作会议周六结束，最高领导人出席会议并讲话。相关概念股如下:网络安全：启明星辰、绿盟科技、美亚柏科、北信源；自主可控：中国软件、中国长城、太极股份、纳思达。芯片：兆易创新、紫光国芯、国民技术、景嘉微、全志科技、大唐电信、汇顶科技、盈方微。数字中国：神州数码 ...展开全文c', '2018-04-22 08:36:29')
('发布了头条文章：《下周重点布局股票：太极股份 一汽夏利 湖南盐业 粤传媒 》 |下周重点布...', '2018-04-22 06:04:42')
('发布了头条文章：《后期即将一路飘红：中国软件，太极股份，深科技，任子行》 $中国软件 sh600536$ $太极股份 sz002368$ $深科技 sz000021$ $任子行 sz300311$ #原创首发# |后期即将一...', '2018-04-22 05:06:05')
('发布了头条文章：《下周重点关注：网宿科技 华能水电 二三四五 浙大网新 太极股份》 $网宿科技 sz300017$ $华能水电 sh600025$ $二三四五 sz002195$ $浙大网新 sh600797$ $太极股份 sz002368$ #上证快讯# #股票# #微博股票热议榜# |下周重点关...', '2018-04-22 03:21:06')
('发布了头条文章：《太极股份002368：盘中巨震大有动静，小散多留心眼没坏事！》#财经头条文章# #股票分析# $太极股份 sz002368$ 太极股份002368：盘中巨震大有动静，小散多留心眼没坏事！ |太极股份00...', '2018-04-22 02:53:21')
('发布了头条文章：《下周最新A股诊断：太极股份 中国联通 永安药业 五粮液》 $太极股份 sz002368$ $中国联通 sh600050$ $永安药业 sz002365$ $五粮液 sz000858$ #上证快讯# #股票# |下周最新A...', '2018-04-22 00:34:44')
('发布了头条文章：《002368太极股份 ：主力暴力洗盘暗藏做多意图，此点企稳必将一飞冲天》 $太极股份 sz002368$ #股票#大盘-个股-趋势-解答#微博股票#股票分析#热门股票推荐#微博股票热议榜# |002368太极...', '2018-04-22 00:04:09')
('发布了头条文章：《下周走势精彩看点：海特高新 云铝股份 太极股份 安妮股份》 $海特高新 sz002023$ $云铝股份 sz000807$ $太极股份 sz002368$ $安妮股份 sz002235$ #上证快讯# |下周走势精...', '2018-04-21 23:46:00')
('未来1-3个月关注用友 宝信，美亚柏科，浪潮信息，北信源，启明星辰，超图软件 新北洋，中国软件，中国长城，太极股份，军用航空类的这次涨幅不错的股，中科曙光，圣邦股份，振芯科技开立医疗，大参林，老百姓，葵花药业，康泰生物江丰电子天士力，兆日科技，双鹭药业，普利制药我武生物 英特集团，北方 ...展开全文c', '2018-04-21 23:41:44')
('持仓：（万华化学，停牌）合盛硅业，祁连山，深南电路，盈趣科技，万兴科技，凯伦股份，太极股份，紫光国芯。', '2018-04-21 06:24:34')
('中国电子信息产业集团有限公司，中国航空工业集团有限公司，中国航空发动机集团有限公司，航天科工集团有限公司。 从近期的逆势股票来看 太极股份 四创电子 中国软件 国睿科技 中航飞机 卫士通 中航沈飞。。。一系列。去观察他的股东情况。在集权制体系下，代表高科技制造体系的 也多数集中在军工企业 ...展开全文c', '2018-04-21 00:22:34')
('芯片里面昨天3只备选$中国软件 sh600536$太极股份、兆日科技。里面最强的不用我说了吧，就是中国软件了。芯片里面肯定会竖一个标杆股票起来。', '2018-04-20 11:13:49')
('曾经梦想仗剑走天涯，现因大跌取消原计划！$美的集团 sz000333$ $安妮股份 sz002235$ $太极股份 sz002368$', '2018-04-20 06:19:54')
('周末这种大事件狂轰滥炸的情况下，你肯定犹豫到底买军工呢，还是海南呢，或者数字中国。。。不用纠结，$太极股份(SZ002368)$ 早已经包罗万象，集万千宠爱于一身。 一、最强风口： 1、数字中国：上周最强板块，并且稍有了解的都知道... 分享自@雪球 |太极股份——... |广州·东风...', '2018-04-20 05:21:36')
('发布了头条文章：《收评：沪指跌近1.5%失守3100点 次新股现跌停潮》 #太极股份 sz002368[股票]# #天邑股份 sz300504[股票]# |收评：沪指...', '2018-04-20 05:05:53')
('收盘，周末愉快，控制仓位，弱势行情，小赌怡情，大赌伤身，下边这几只票有问题的评论留言或者直接私信我，在线解答。$风华高科 sz000636$ $天邑股份 sz300504$ $太极股份 sz002368$$万兴科技 sz300624$ $神火股份 sz000933$ $湖南盐业 sh600929$#股票# #每日个股解答# #大盘解析 ...展开全文c', '2018-04-20 04:27:50')
('收盘一个半小时了，给大家看几支票，持有的不会操作的就来找我。$凯乐科技 sh600260$ $太极股份 sz002368$$德赛西威 sz002920$ $机器人 sz300024$被套的或者还没有解套的也可以来找我 @股票狙击包老师', '2018-04-20 04:26:27')
('收盘了，有拿着粤传媒，太极股份，智能自控，盘龙药业这几只票的，留言或私信我，一一答复。$粤传媒 sz002181$ $太极股份 sz002368$$智能自控 sz002877$ $盘龙药业 sz002864$#.今日看盘.# #微博看市# #股票#', '2018-04-20 03:36:35')
('发表了博文《太极股份》太极股份是在4月12号选出发文讲解的，当时股价回踩10日均线，企稳之后开始反弹拉升，截至目前涨幅25%。很多新手股民有幸看到本人12号文章，介入了太极股份，到现在都抓到了这一波2|太极股份', '2018-04-20 03:32:38')
('回复@-虎虎升巍-:哈哈哈，明白人，给你点赞//@大连刘巍:老师，复盘看了挺多三条线朝上的股票，发现很多都上影线特别长。突然想到15年6月份，大盘暴跌后，第2天反弹，然后又继续下跌。有个段子说的，大盘看上面有一帮兄弟没上车，所以大盘又开回去，把他们带上，然后一路继续朝下。', '2018-04-19 06:39:05')
('临近尾盘，一波炸板潮来袭，$万兴科技 sz300624$ 、 $必创科技 sz300667$ 、 $太极股份 sz002368$ 、 $德生科技 sz002908$ ，这几支算是比较有人气的股票了——尾盘炸板说明游资信心还不稳定，另外一方面，资金全天都没有打造出来一个足够强的主线热点——股票不要追高，在这种盘面下，再次强调。 ...展开全文c', '2018-04-20 03:01:45')
('小结下今天的行情：盘面跌的很惨，但是近期强调的也一直是不要追高，所以不追高损失就不会太大，昨天买的深南电路完美的按照计划做了个3%+的T,已经在成本区，剩下的仓位下周再择机出。今天芯片本身走的很强，后面也是被盘面拖累了。另外按计划35.43进的太极股份，浮亏近2%，周末的时候把为什么选它，和 ...展开全文c', '2018-04-20 03:01:38')
('下午不要再买新股，进了太极的不要加仓等待反弹就可以#今日看盘# $太极股份 sz002368$', '2018-04-20 02:32:00')
