('东江环保 西部证券 兴业科技 东诚药业 顺威股份 股海大咖的...', '2018-07-24 04:10:19')
('东江环保：2018年一季度收入增长12%，扣非利润增长18%。预计上半年业绩增长15-35%。评：东江环保的股东改为国资后，发展思路将大为拓展，业绩未来爆发性强，市场没有充分重视。', '2018-04-25 22:37:06')
('翔安新圩镇东寮社区的居民@毒清不在毒 反应：厦门市东江环保产业股份有限公司2010年以来，燃烧医药垃圾，经常性的产生很刺鼻的味道，几乎每天都可以闻到这么刺鼻的味道（医疗垃圾味道），窗户不敢开。以前井水是饮用水，现在村里人都不喝了，有拿去检测，已经不能食用了毒清不在毒...', '2018-04-23 22:28:57')
('厦门翔安区东江环保科技不知由于何种原因长期排放的白烟释放出刺鼻，作呕难以呼吸的气味影响着东寮新村居民的日常生活，剥夺了我们呼吸新鲜空气、基本户外活动的需求。长期门窗紧闭，身心受损，无法在正常的自然环境下生活，望环保局及相关部门给与支持协助调查，还我们一个正常的生活环境！ ...展开全文c', '2018-04-21 11:35:49')
('股票的乐趣在于既有矇眬的趋势性又有严重的不确定性与搏弈性，像东江环保这股，经过漫长的下跌，一个跳空缺口就能决定命运，不补，将会往上反转，补了，还得往下折腾一翻，赌还是不赌？那就见仁见智了。乐趣就在这里。', '2018-04-15 22:56:29')
('【这10家“金牌”最受机构欢迎，1500亿公募资金重仓他们！】#第十四届新财富金牌董秘# 本届共评选出10名最受机构投资者青睐董秘，他们分别是：东江环保、共进股份、华夏幸福、金螳螂、科士达、立讯精密、深圳华强、天威视讯、益丰药房、赢时胜；截至2017 年度三季度，共有2187 家上市公司被机构重仓， ...展开全文c', '2018-04-13 11:00:40')
('发布了头条文章：《主力惊天阴谋揭露：长川科技+东江环保+扬农化工+顺鑫农业》 $长川科技 sz300604$ $东江环保 sz002672$ $扬农化工 sh600486$ $顺鑫农业 sz000860$ #上证快讯# |主力惊天阴...', '2018-04-12 21:56:24')
('#小新第一现场# 【提升缉毒效能 我省公安机关销毁毒化学品及制毒危废物品243.08吨】为有效提升缉毒执法效能，前天上午，省禁毒办与厦门东江环保科技有限公司在省公安厅举办签约仪式，共同推进制毒危废物品无害化处置工作。 福建台新闻...', '2018-04-12 02:00:03')
('银行股迎来灭顶危机！大佬们早已搭飞机逃亡国外$华润电力 hk00836$ $东江环保 hk00895$ $万裕科技 hk00894$ 壹支小仙女...', '2018-04-11 03:31:04')
('半导体第一股从78跌至4元，18年走势将复制江南化工暴涨龙虎板$金朝阳集团 hk00878$ $东江环保 hk00895$ $中国铁钛 hk00893$ 壹支小仙女...', '2018-04-11 03:30:42')
('京东方A：高送转拟5送25股，主力蓄势待发，后期将6连板！#东江环保 sz002672[股票]# #康芝药业 sz300086[股票]# #首开股份 sh600376[股票]# 颂娟评股的...', '2018-04-09 07:29:27')
('发布了头条文章：《本周最新消息提前公布：东江环保+扬农化工+亿帆医药+东土科技》 $东江环保 sz002672$ $扬农化工 sh600486$ $亿帆医药 sz002019$ $东土科技 sz300353$ #股票# |本周最新消...', '2018-04-09 05:51:58')
('海特生物：就在刚刚千万亿巨资套现撤离，主力无情错杀，股价或再#东江环保 sz002672[股票]# #恒通科技 sz300374[股票]# #航发科技 sh600391[股票]# 颂娟评股的...', '2018-04-09 05:22:43')
('一位老股民的短线秘密武器：一招“涨停双响炮”抓涨停板无数#东江环保 sz002672[股票]# #润欣科技 sz300493[股票]# #凌云股份 sh600480[股票]# 颂娟评股的...', '2018-04-09 05:09:22')
('三是建议关注供需严重失衡、监管执法趋严的危废处置领域，优选具备资源、项目经验以及技术优势的细分龙头个股，推荐：东江环保（002672.SZ）。', '2018-04-06 11:55:44')
('#老余说股# #微博股票# #投资达人说#再给你们一个福利$东江环保 sz002672$公司致力于工业和市政废物的资源化利用与无害化处理,配套发展水治理、环境工程、环境检测及PPP等业务,构建完整产业链，凭借技术优势和发展规模，公司在工业危废处理行业中处于领先地位。短期均线形成金 ...展开全文c', '2018-04-03 04:41:25')
('环保工程快速上涨，中环环保冲击涨停！上海洗霸，高能环境，联泰环保，东江环保大幅拉升', '2018-04-02 22:11:58')
('我刚刚调仓了微博股票组合网页链接，委托卖出$东江环保 sz002672$。', '2018-04-02 20:53:50')
('2017年年报（三）——东江环保|2017年年报...', '2018-04-02 08:13:10')
('发布了头条文章：《A股主力布局:东江环保 杭氧股份 盘龙药业 大康农业 风华高科》 #股票分析# #头条文章# #股票# #A股# |A股主力布...', '2018-04-02 07:38:16')
('【最佳董秘畅言新经济】第二期，每日经济新闻携手#中国上市公司口碑榜#最佳董秘，我们一同逐梦新时代、拥抱新经济！  写下你最关注的新经济话题，和当升科技、沃尔核材、上海家化、科大讯飞、雅戈尔、三七互娱、东江环保、友阿股份的董秘们一起畅言新经济、共启新征程。', '2018-04-02 06:25:54')
('东江环保：收入增长18%，扣非利润增长22%。评：公司大股东易主后，与各地政府的关系更加密切，发展雄心更大。市场对未来存在预期差！', '2018-03-30 05:00:46')
('废物处理合同东江环保2018', '2018-03-30 02:38:39')
('3月25日，17环艺2班举行东江环保活动。清晨，志愿者相约到这，齐心协力要把这打扫干净。放眼过去，尽是他们的身影。阳光下，志愿者们展现美丽的风采，在这繁华盛开的春天，更加美丽。@河职院青年志愿者协会 @河职院人文青年志愿者服务队 @河职院电信青年志愿者服务队 @河职院机电青年志愿者服务队 ...展开全文c', '2018-03-25 01:07:31')
('发布了头条文章：《本周最新布局：东江环保、天音控股、福斯特》 #牛股笔忆录# #妖股点评# #牛股推荐# $东江环保 sz002672$ $天音控股 sz000829$ $福斯特 sh603806$ |本周最新布...', '2018-03-18 04:55:16')
('工信部开展固废排查行动，危废处置迎千亿市场。评：当前我国危废的产生量和处理量之间存在巨大缺口，且危废实际处理率低下和产能利用率低下同时存在。政策细化叠加环保督查影响，倒逼产废单位交出危废，危废处理行业产能利用率有望进一步提升。相关公司包括东江环保（002672）、金圆股份（000546）、 ...展开全文c', '2018-03-15 21:36:40')
('【早盘核心概念】1. 固废处置概念 工信部开展固废排查行动相关个股：东江环保（002672）、金圆股份（000546）2.水泥概念 北方多地水泥企业上调价格相关个股：祁连山（600720）、冀东水泥（000401）', '2018-03-15 21:23:17')
('工信部开展固废排查行动 危废处置迎千亿市场因此受益的相关公司包括东江环保（002672）$东江环保 sz002672$ 、金圆股份（000546）$金圆股份 sz000546$ 等', '2018-03-15 21:22:57')
('消息面：1、我国铁路建设将保持高位运行态势 研发飞行列车（601002晋亿实业，600495晋西车轴）；2、工信部开展固废排查行动 危废处置迎市场（002672东江环保，000546金圆股份）；3、港珠澳大桥正式通车倒计时 打开大湾区发展想象空间（000507珠海港，002492恒基达鑫）；...展开全文c', '2018-03-15 21:19:31')
('【消息整理】工信部发布关于做好长江经济带固体废物大排查行动的通知。据测算，危废无害化处置的市场空间约为2000亿元左右。机构关注：东江环保（002672）、金圆股份（000546）等', '2018-03-15 21:19:14')
('#危废处置#工信部开展固废排查行动 危废处置迎千亿市场东江环保（002672）、金圆股份（000546）工信部网站15日发布关于做好长江经济带固体废物大排查行动的通知。一是全面排查工业固体废物综合利用量、综合利用产值、产品种类、企业数量、就业人数等，以及财税、资金等政策支持情况。二是全面排查 ...展开全文c', '2018-03-15 10:13:13')
('3月10日,17园林2班举行东江环保活动。柔和的春光下，大地一片绿意，我们来到这里，拿着工具，要将这条江边点缀着更美。所以我们正努力着，低头巡视着，一点屑也不放过，让江变得更美，也让我们更懂得活动的意义。@河职院青年志愿者协会 @河职院人文青年志愿者服务队 @河职院电信青年志愿者服务队 ...展开全文c', '2018-03-10 12:09:37')
('#牛股爱传递# 东江环保002672，公司发布2017年业绩快报，预计2017年全年营收 31.02亿元，同比增长 18.52%，归母净利 4.71 亿元，同比减少 11.81%，扣非后归母净利润4.60 亿元，同比增长21.40%。该股亮点为低估值，预计2018年跟2019年估值分别为20倍跟17倍，当前环保行业最低估值为20倍，再结合危废行业 ...展开全文c', '2018-03-04 19:34:27')
('发布了头条文章：《002672东江环保：主力暗箱操作10亿，新一代妖王诞生后市必将爆发!》 ##股票分析# #财经头条# #股票# $东江环保 sz002672$ |002672东江...', '2018-03-01 04:42:26')
('发布了头条文章：《东江环保:遭中概股86亿举牌获批，18年趋势已成定局》 |东江环保:...', '2018-02-28 21:44:29')
('东江环保：营业总收入人民币310,188.51万元，较上年同期增长18.52%，扣除非经常性损益的影响，本报告期归属于上市公司股东的净利润较上年同期增长约21.40%。评：港股目前估值便宜。', '2018-02-28 00:51:02')
('|武小松的图...【环保】环保补位，龙1三维丝，龙2可容环境，龙3东江环保，消息上环保部研究制定打赢蓝天保卫战作战计划，催化非电领域大气治理显著提速，环保税、排污权等长效机制有序推进。', '2018-02-27 20:55:01')
('环保股逆势造好，科融环境涨4%，东江环保、清新环境、博世科小幅跟涨。$创业板指 sz399006$ $深证成指 sz399001$ $上证指数 sh000001$', '2018-02-27 20:42:37')
('东江环保(002672)2月27日晚公告业绩快报，公司2017年实现营业总收入31亿元，同比增长18.52%，净利润4.7亿元，同比下降约11.81%，主要是上期净利润包含转让子公司股权所产生的非经常性投资收益，本期扣非净利润同比增长约21.40%。', '2018-02-27 05:20:06')
('发布了头条文章：《最新消息出炉：太阳纸业+东江环保+上海临港》 |最新消息出...', '2018-02-22 21:53:19')
('发布了头条文章：《002672 东江环保：主力暗中注资，霸气反攻，拉开上升序幕!》 #财经头条文章# #股票分析# $东江环保 sz002672$ |002672 东...', '2018-02-22 07:11:38')
('那啥，昨天13.99的价格，我加了一倍东江环保 |金华·财富...', '2018-02-09 18:49:40')
('发布了头条文章：《股市分析：只谈东江环保值不值得长期持有！》 $东江环保 sz002672$ #股票分析# |股市分析：...', '2018-02-06 00:50:03')
('限售股解禁：603686龙马环卫、603678火炬电子、603089正裕工业、603002宏昌电子、300602飞荣达、300578会畅通讯、300083劲胜智能、002672东江环保、002580圣阳股份、002281光迅科技、002151北斗星通、002125湘潭电化、002020京新药业、000767 漳泽电力。复牌：*ST云网、蓝晓科技、山西焦化。停牌：...展开全文c', '2018-01-25 20:16:32')
('发布了头条文章：《备受主力关注：弘业股份+东江环保+海翔药业》 |备受主力关...', '2018-01-23 22:37:50')
('发布了头条文章：《重大利好消息：东江环保 集泰股份 祥和实业 福星股份 》 #财经头条文章# #千红制药 sz002550[股票]# #赣锋锂业 sz002460[股票]# #梅雁吉祥 sh600868[股票]# |重大利好消...', '2018-01-23 03:16:47')
('发布了头条文章：《重磅利好：怡球资源 国药股份 兴齐眼药 锦龙股份》 $如通股份 sh603036$ $洛阳玻璃 sh600876$ $光大证券 sh601788$ $东江环保 sz002672$  #微博头条# #大盘分析# #微博股票# #新浪看点# #新浪股吧# |重磅利好：...', '2018-01-23 02:55:18')
('问：东江环保(002672) 16.80元成本，严重被套，重仓，求指明方向答：环保一直是政策比较重视的方向，把握热点变化。该股近短期谨慎些，15.5上方可先持有，跌破建议规避$东江环保 sz002672$', '2018-01-15 19:49:11')
('卖出华联控股、深物业、东江环保，目前空仓。等待下一波买入机会！', '2018-01-10 00:26:04')
('想了一下我还是不现在去东江环保了好像这要是回调起来也挺快的。', '2018-01-04 22:29:35')
('环保公司：水环境，推荐东方园林和博世科，一大一小；大气治理，推荐清新环境和聚光科技，两家都是150亿-200亿市值的公司；也有别的类别的，因为行业属性都好，比方说龙净环保，比如说雪迪龙；危废的话，现在看起来东江环保可以，也有别的像金圆股份，大概是这样的情况。', '2018-01-03 22:51:21')
('2000亿危废大市场正在洗牌 东江环保如何重塑新格局？近年来资本入驻危废行业的热情不减，但是盲目入局却容易忽略高利润背后的高风险。市场优胜劣汰的“洗牌”加速，危废领域的监管力度不断加强，千亿蛋糕看起来“好看”却不一定“好吃”，对危废企业来说，如何迎接挑战？评：看好危废处理。', '2017-12-25 20:13:03')
('『002365永安药业、002672东江环保——个股分析_李股长-』网页链接', '2017-12-23 21:49:58')
('当然，除了龙头企业之外，鉴于环保行业的投资回收期比较长的缺陷，具备较强融资能力的上市业绩会更具备发展优势。而当下，PPP模式在环保领域应用比较广泛。那么，涉及PPP模式的相关公司也值得关注，如国祯环保、万邦达和东江环保等。另外，刚才也提到，在生态文明建设的大背景下，大规模的绿化行动即 ...展开全文c', '2017-12-23 04:37:48')
